Island,latitude,longitude
Pianosa,42.5804,10.0751
Capri,40.5532,14.2222
Corsica,42.0396,9.0129
Sardinia,40.1209,9.0129
Tuscany,42.7905,11.3625
Lampedusa,35.5086,12.5929
Madagascar,-18.7669,46.8691
Cebu ,10.3157,123.8854
Luzon,16.5662,121.2626
Ilin,12.2334,121.0679
Palawan,9.8349,118.7384
Mindanao,8.4961,123.3034
Panay,11.005,122.5373
Masbate,12.3574,123.5504
Tawi Tawi,5.1338,119.9509
Samar,11.5795,124.9748
Negros,9.7151,122.8987
Karakelang,4.2887,126.825
Sulawesi,-1.8479,120.5279
Sangihe,3.6329,125.5001
Flores,-8.6574,121.0794
Sumba,-9.6993,119.9741
Alor,-8.2754,124.7299
Pantar,-8.4167,124.1167
Timor,-9.8628,124.331
Kisar,-8.079,127.1902
Kobroor,-6.1234,134.6255
Rote,-10.7386,123.1239
Gebe,-0.1226,129.4968
Morotai,2.3657,128.4008
Halmahera,1.3121,128.485
Kayoa,0.0519,127.4361
Borneo,0.9619,114.5548
Balambangan,7.2718,116.9264
Sumatra,-0.5897,101.3431
Kaua i ,22.0964,-159.5261
O ahu ,21.4389,-158.0001
Moloka i ,21.1444,-157.0226
Maui ,20.7984,-156.3319
Hawai i,19.5429,-155.6659
Grande Terre (New Caledonia),-21.3109,165.4345
New Guinea,-5.0122,141.347
Manus,-2.0941,146.8761
New Ireland,-3.33,152
Buka,-5.2384,154.6451
Pororan,-5.2036,154.5217
Eua,-21.387,174.9297
Efate,-17.6577,168.4297
Tikopia,-12.2928,168.8278
Lord Howe,-31.5553,159.0821
Aitutaki,-18.858,-159.7853
Ma uke,-20.1606,-157.3384
Mangaia,-21.9352,-157.9166
Rurutu,-22.4801,-151.3385
Tubuai,-23,-150
Rota,14.1509,145.2149
South Island,-45.1527,169.8926
North Island,-39.2378,175.6024
Sri Lanka,7.8731,80.7718
Santa Rosa,33.9773,-120.0896
Santa Cruz,34.0232,-119.7658
San Miguel,34.0376,-120.3724
San Nicolas,33.2465,-119.4992
West Anacapa,34.0106,-119.4251
Fernando de Noronha,-3.853808,-32.423786
Iceland,64.9631,-19.0208
Curaçao,12.1224,-68.8824
Bonaire,12.2019,-68.2624
Aruba,12.5124,-69.9789
Grenada,12.1186,-61.6898
Carriacou,12.4786,-61.4494
Barbados,13.1776,-59.5412
St Lucia,13.9167,-60.9833
Martinique,14.6818,-61.0006
Marie-Galante,15.9235,-61.2572
La Désirade,16.319,-61.0518
Petite Terre,16.265,-61.551
Grande-Terre,16.265,-61.551
Ilet du Gosier (Grande-Terre),16.265,-61.551
Basse-Terre,16.265,-61.551
Montserrat,16.7494,-62.1927
Antigua,17.0747,-61.8175
Barbuda,17.6266,-61.7713
Ile Coco (St Barthelemy),17.9005,-62.8206
St Martin,18.0708,-63.0501
Anguilla,18.2232,-63.0501
Saba,17.6355,-63.2327
St Eustatius,17.489,-62.9736
St Kitts,17.3434,-62.7559
Nevis,17.1554,-62.5796
Cayman Brac,19.7235,-79.8017
Grand Cayman,19.3222,-81.2409
Little Cayman,19.6897,-80.0367
Cyprus,35.1264,33.4299
Astypalaea,36.539,26.3131
Delos,37.3963,25.2689
Karpathos-Kassos,35.4011,26.9264
Kythnos,37.3934,24.4173
Milos,36.6914,24.3936
Naxos,37.1036,25.3777
Paros,37.0854,25.1515
Rhodes,36.4341,28.2176
Seriphos,37.1563,24.4886
Tilos,36.4231,27.3734
Crete,35.2401,24.8093
Java,-7.6145,110.7122
El Hierro ,27.7255,-18.0243
Fuerteventura ,28.3587,-14.0537
Gran Canaria ,27.9202,-15.5474
La Graciosa ,29.2554,-13.5032
Lanzarote ,29.0469,-13.59
Lobos ,28.7514,-13.8245
Tenerife ,28.2916,-16.6291
Santa Cruz Galapagos,-0.6394,-90.3372
Isabela,-0.8292,-91.1353
Rábida,-0.4172,-90.7105
Floreana,-1.3083,-90.4314
Sán Christobal,-0.8675,-89.4364
Socotra,12.4634,53.8237
Mona,18.0829,-67.8927
Puerto Rico,18.2208,-66.5901
Vieques,18.1263,-65.4401
St Thomas,18.3381,-64.8941
St John,18.3368,-64.7281
St Croix,17.7246,-64.8348
Guana,18.4753,-64.5696
Tortola,18.4335,-64.6333
Jost Van Dyke,18.4463,-64.7429
Great Abaco,26.3555,-77.1485
Andros,24.7064,-78.0195
Cat Island,24.2133,-75.3645
Acklins,22.3658,-74.0535
Crooked,22.6391,-74.0065
Eleuthera,24.9314,-76.19
Long,23.1764,-75.0962
Mayaguana,22.4018,-73.0641
Middle Caicos,21.7946,-71.7385
New Providence,25.0443,-77.3504
Providenciales,21.7738,-72.2719
San Salvador,24.0776,-74.476
Samana Cay,23.0818,-73.7537
Little Exuma,23.45,-75.6167
Great Exuma,23.5333,-75.8333
Jamaica,18.25,-77.5
Hispaniola,19.0019,-71.5724
Ile de la Gonave,18.8497,-73.0641
Ile de la Tortue,20.0549,-72.7925
Cuba,21.5218,-77.7812
Isla de la Juventud,21.7085,-82.822
Gargano,41.7333,15.7667
Scontrone,41.7466,14.039
Taiwan,23.9037,121.0794
Kikai,28.3216,129.971
Tokunoshima,27.7904,128.9668
Kume,26.3504,126.7712
Yonaguni,24.456,122.9945
Ishigaki,24.4064,124.1754
Miyako,24.7674,125.3247
Okinawa,26.5,127.9333
Kudaka,26.1612,127.8923
Irabu,24.8367,125.1819
Ie,26.7201,127.7928
Eivissa,39.02,1.4821
Menorca,39.9496,4.1104
Mallorca,39.6953,3.0176
Cabrera,39.1407,2.9451
Dragonera,39.5849,2.3197
Honshu,36.17,138.04
Kyushu,32.59,130.8
Shikoku,33.7432,133.6375
Awajishima,34.3257,134.8131
Favignana,37.9268,12.3063
Levanzo,37.9997,12.3321
Marettimo,37.974,12.0547
Sicily,37.6377,13.9311
Mauritius,-20.3,57.5833
Réunion,-21.1151,55.5364
Armathia,35.4388,26.8645
