Island,First_human_arrival_old_chronology_Ma,First_human_arrival_young_chronology_Ma,Source,Notes
Sumba,0.3,0.129,Louys et al. 2021: Simanjuntak et al. 2010,Late Middle Pleistocene-Early Late Pleistocene: Hominin gen et sp indet
Java,0.13,0.07,O’Connell et al. 2018: Kaifu et al. 2022: Louys et al. 2021,Debated: early dispersal model ((MIS) 5/4 (130-57 ka): possibly Homo erectus
Sumatra,0.073,0.063,O’Connell et al. 2018: Louys et al. 2021,
New Guinea,0.065,0.043,O’Connell et al. 2018: Louys et al. 2021,General first human arrival on Sahul
Cebu,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Ilin,0.032,0.032,Louys et al. 2021,
Luzon,0.03,0.03,Louys et al. 2021,
Masbate,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Mindanao,0.03,0.03,Louys et al. 2021,
Negros,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Palawan,0.058,0.047,Corny et al. 2017: Louys et al. 2021,
Panay,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Samar,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Tawi Tawi,0.058,0.047,Corny et al. 2017: Louys et al. 2021,Same as Palawan
Balambangan,0.05,0.045,O’Connell et al. 2018,
Borneo,0.05,0.045,O’Connell et al. 2018,
Taiwan,0.05,0.05,Chen 2017,
Flores,0.047,0.047,Sutikna et al. 2018,
Sulawesi,0.0455,0.0455,Brumm et al. 2021,
Gargano,0.045,0.045,Columbu et al. 2020,Earliest European modern human in Apulia (Grotta di Cavallo)
Scontrone,0.045,0.045,Columbu et al. 2020: Benazzi et al. 2015,Earliest European modern human in Italy (Grotta di Cavallo)
Tuscany,0.045,0.045,Columbu et al. 2020: Benazzi et al. 2015,Earliest European modern human in Italy (Grotta di Cavallo)
Timor,0.044631,0.044631,Hawkins et al. 2017,
New Ireland,0.044,0.035,O’Connell et al. 2018: Louys et al. 2021,
Alor,0.04,0.04,Roberts et al. 2020,
Naxos,0.04,0.04,Carter et al. 2019,
Sri Lanka,0.045,0.038,Louys et al. 2021: Premathilake 2012,
Halmahera,0.036651,0.036651,O’Connor et al. 2010,
Gebe,0.036,0.036,O’Connor et al. 2017,
Ie,0.036,0.036,Takamiya et al. 2019: Fujita et al. 2016,Same as Okinawa (= general colonization of central Ryukyu islands)
Kikai,0.036,0.036,Takamiya et al. 2019: Fujita et al. 2016,Same as Okinawa (= general colonization of central Ryukyu islands)
Kudaka,0.036,0.036,Takamiya et al. 2019: Fujita et al. 2016,Same as Okinawa (= general colonization of central Ryukyu islands)
Kume,0.018,0.018,Louys et al. 2021,
Okinawa,0.036,0.036,Fujita et al. 2016,
Tokunoshima,0.036,0.036,Takamiya et al. 2019: Fujita et al. 2016,Same as Okinawa (= general colonization of central Ryukyu islands)
Karakelang,0.035,0.035,Kealy et al. 2017,
Kyushu,0.084,0.03372,Morisaki et al. 2019: Louys et al. 2021,
Awajishima,0.084,0.03323,Morisaki et al. 2019: Louys et al. 2021,Paleo-Honshu
Honshu,0.084,0.03323,Morisaki et al. 2019: Louys et al. 2021,Paleo-Honshu
Shikoku,0.084,0.03323,Morisaki et al. 2019: Louys et al. 2021,Paleo-Honshu
Mona,0.004654,0.004654,Turvey et al. 2021: Louys et al. 2021,Same as Puerto Rico
Rote,0.0286,0.0286,Kealy et al. 2016,
Buka,0.028,0.028,Ono et al. 2020,
Pororan,0.028,0.028,Ono et al. 2020,
Ishigaki,0.028,0.024,Kawamura 2016: Louys et al. 2021,
Yonaguni,0.024,0.024,Nishioka et al. 2016: Kawamura 2016,Same as Ishigaki (= general colonization of Yaeyama group)
Irabu,0.032,0.0234,Kawamura et al. 2016: Louys et al. 2021,Same as Miyako
Miyako,0.032,0.0234,Kawamura et al. 2016: Louys et al. 2021,
Sangihe,0.022,0.022,O’Connor et al. 2017,
Sicily,0.022,0.022,Lo Presti et al. 2019,
Kobroor,0.0211,0.0211,O’Connor et al. 2005,
Manus,0.021,0.021,Ono et al. 2020,
Morotai,0.017,0.017,O’Connor et al. 2017,
Favignana,0.0158,0.0158,Lo Presti et al. 2019,
Pianosa,0.014,0.014,Antonioli et al. 2011,
Kisar,0.01375,0.01375,O'Connor et al. 2019,
Marettimo,0.0137,0.0137,Lo Presti et al. 2019,
Levanzo,0.0134,0.0134,Lo Presti et al. 2019,
Milos,0.013,0.013,Papoulia 2017,
San Miguel,0.013,0.012,Mychajliw et al. 2020: Louys et al. 2021,
San Nicolas,0.013,0.012,Mychajliw et al. 2020: Louys et al. 2021,
Santa Cruz,0.013,0.012,Mychajliw et al. 2020: Louys et al. 2021,
Santa Rosa,0.013,0.012,Mychajliw et al. 2020: Louys et al. 2021,
West Anacapa,0.013,0.012,Mychajliw et al. 2020: Louys et al. 2021,
Cyprus,0.0125,0.0125,Zazzo et al. 2015,
Corsica,0.011134,0.011134,Vetro & Martini 2016,
Sardinia,0.011075,0.011075,Lugliè 2018: Valenzuela et al. 2021,
Crete,0.011,0.009,Strasser et al. 2010: Louys et al. 2021,
Socotra,0.011,0.011,Van Damme et al. 2018,
Kythnos,0.00945,0.00945,Honea 1975,
Paros,0.00795,0.00795,Patton 2013,
Rhodes,0.00795,0.00795,Erdo?u 2003,
Lampedusa,0.00675,0.00675,Ratti 2016,
Hispaniola,0.006024,0.006024,Turvey et al. 2021,
Ile de la Gonave,0.006024,0.006024,Turvey et al. 2021,Same as Hispaniola
Ile de la Tortue,0.006024,0.006024,Turvey et al. 2021,Same as Hispaniola
Capri,0.006,0.006,http://www.cmsnf.it/la-preistoria-dellisola-di-capri-nei-reperti-del-museo-di-antropologia/,
Armathia,0.00595,0.00595,Nappi et al. 2020,Same as Karpathos-Kassos
Karpathos-Kassos,0.00595,0.00595,Nappi et al. 2020,
Cuba,0.005904,0.005904,Turvey et al. 2021,
Isla de la Juventud,0.005904,0.005904,Turvey et al. 2021,Same as Cuba
Curaçao,0.005685,0.005685,Napolitano et al. 2019,
Tilos,0.00545,0.00545,Bachmayer et al. 1976: Michailidis et al. 2014,
St Martin,0.005131,0.005131,Turvey et al. 2021,
Antigua,0.005095,0.005095,Turvey et al. 2021,
Astypalaea,0.00495,0.00495,Vlachopoulos & Angelopoulou 2019,
Marie-Galante,0.004889,0.004889,Turvey et al. 2021,
Puerto Rico,0.004654,0.004654,Turvey et al. 2021,
Barbados,0.004495,0.004495,Turvey et al. 2021,
Delos,0.00445,0.00445,https://www.efa.gr/en/recherche/sites-de-fouilles/cyclades/delos/delos-histoire-de-delos,
Cabrera,0.004389,0.00423,Burjachs et al. 2017: Bover et al. 2016,
Dragonera,0.004389,0.00423,Burjachs et al. 2017: Bover et al. 2016,
Eivissa,0.004389,0.00423,Burjachs et al. 2017: Bover et al. 2016,
Mallorca,0.004389,0.00423,Burjachs et al. 2017: Bover et al. 2016,
Menorca,0.004389,0.00423,Burjachs et al. 2017: Bover et al. 2016,
St Kitts,0.004151,0.004151,Turvey et al. 2021,
Bonaire,0.00406,0.00406,Napolitano et al. 2019,
Seriphos,0.00395,0.00395,Patton 2013,
Tortola,0.00395,0.00395,Davis 2011,
St Thomas,0.003923,0.003923,Turvey et al. 2021,
Aruba,0.003895,0.003895,Napolitano et al. 2019,
Barbuda,0.003774,0.003774,Turvey et al. 2021,
Vieques,0.003731,0.003731,Turvey et al. 2021,
Martinique,0.003709,0.003709,Turvey et al. 2021,
Basse-Terre,0.003639,0.003639,Turvey et al. 2021,
Grande-Terre,0.003639,0.003639,Turvey et al. 2021,
Petite Terre,0.003639,0.003639,Turvey et al. 2021,
Kayoa,0.003579,0.003579,Bellwood et al. 2019,
Anguilla,0.003501,0.003501,Turvey et al. 2021,
Rota,0.00345,0.00345,Hung et al. 2011,
Saba,0.003303,0.003303,Turvey et al. 2021,
Efate,0.0029,0.0029,Herrscher et al. 2018,
Tikopia,0.0029,0.0029,Kirch & Swift 2017,
Grande Terre (New Caledonia),0.0028,0.0028,Anderson et al. 2010,
Aitutaki,0.0027,0.0027,Herrscher et al. 2018,
Eua,0.0027,0.0027,Herrscher et al. 2018,
St Eustatius,0.002452,0.002452,Turvey et al. 2021,
St John,0.002445,0.002445,Turvey et al. 2021,
Gran Canaria,0.002438,0.002438,De Nascimento et al. 2020,
La Graciosa,0.002311,0.002311,De Nascimento et al. 2020,Same as Lanzarote
Lanzarote,0.002311,0.002311,De Nascimento et al. 2020,
Nevis,0.002153,0.002153,Turvey et al. 2021,
Tenerife,0.002115,0.002115,De Nascimento et al. 2020,
Montserrat,0.002074,0.002074,Turvey et al. 2021,
Madagascar,0.0105,0.002,Li et al. 2020,
Guana,0.00195,0.00195,David 2011: Kostro 2018,
Pantar,0.001807,0.001807,Hawkins et al. 2020,
Eleuthera,0.001594,0.001594,Turvey et al. 2021,
El Hierro,0.00153,0.00153,De Nascimento et al. 2020,
Carriacou,0.001472,0.001472,Turvey et al. 2021,
Grenada,0.00146,0.00146,Turvey et al. 2021,
Fuerteventura,0.001385,0.001385,De Nascimento et al. 2020,
Lobos,0.001385,0.001385,De Nascimento et al. 2020,Same as Fuerteventura
St Lucia,0.00137,0.00137,Turvey et al. 2021,
Jost Van Dyke,0.001313,0.001313,Napolitano et al. 2019: Davis 2011,
St Croix,0.001313,0.001313,Turvey et al. 2021,
San Salvador,0.001278,0.001278,Turvey et al. 2021,
Jamaica,0.001208,0.001208,Turvey et al. 2021,
Hawai i,0.00115,0.00115,Ziegler et al. 2016,
Kaua i ,0.00115,0.00115,Ziegler et al. 2016,
Maui ,0.00115,0.00115,Ziegler et al. 2016,
Moloka i ,0.00115,0.00115,Ziegler et al. 2016,
New Providence,0.00115,0.00115,LeFebvre et al. 2019b,
O ahu ,0.00115,0.00115,Ziegler et al. 2016,
Iceland,0.001084,0.001084,Schmid et al. 2018,
Cat Island,0.00105,0.00105,"Berman & Gnivecki 1995
",
Ma uke,0.00105,0.00105,Sear et al. 2020,
Mangaia,0.00105,0.00105,Sear et al. 2020,
Great Exuma,0.001,0.001,Oswald et al. 2020,General first human arrival on Bahamas
Little Exuma,0.001,0.001,Oswald et al. 2020,General first human arrival on Bahamas
Mayaguana,0.001,0.001,Oswald et al. 2020,General first human arrival on Bahamas
Samana Cay,0.001,0.001,Oswald et al. 2020,General first human arrival on Bahamas
La Désirade,0.000985,0.000985,Turvey et al. 2021,
Long Island,0.00093,0.00093,LeFebvre et al. 2019a: Ciofalo et al. 2018,
Great Abaco,0.000923,0.000923,Turvey et al. 2021,
Tubuai,0.000923,0.000923,Worthy & Bollt 2011,
Middle Caicos,0.000854,0.000854,Turvey et al. 2021,
North Island,0.00075,0.00075,Seersholm et al. 2018,
South Island,0.00075,0.00075,Seersholm et al. 2018,
Rurutu,0.000731,0.000731,Prebble & Wilmshurst 2009,
Acklins,0.000692,0.000692,Turvey et al. 2021,Same as Crooked Island
Crooked,0.000692,0.000692,Turvey et al. 2021,
Andros,0.000685,0.000685,Fall et al. 2021,
Providenciales,0.000616,0.000616,Ciofalo et al. 2019,
Ile Coco (St Barthelemy),0.000457,0.000457,Cousin & Chauvin 2013,
Cayman Brac,0.000447,0.000447,Stokes & Keegan 1996,
Fernando de Noronha,0.000447,0.000447,Russell et al. 2018,
Grand Cayman,0.000447,0.000447,Stokes & Keegan 1996,
Little Cayman,0.000447,0.000447,Stokes & Keegan 1996,
Floreana,0.000415,0.000415,Steadman et al. 1991,
Isabela,0.000415,0.000415,Steadman et al. 1991,
Rábida,0.000415,0.000415,Steadman et al. 1991,
Sán Christobal,0.000415,0.000415,Steadman et al. 1991,
Santa Cruz Galapagos,0.000415,0.000415,Steadman et al. 1991,
Mauritius,0.000312,0.000312,Li et al. 2020,
Réunion,0.000304,0.000304,Combeau 2002,
Lord Howe,0.000172,0.000172,Hutton et al. 2007,
