Order,Family,Genus,Species,Latin_binomial,Island,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Endemism,Source,Original_source,Notes
Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon_humilis,Salebabu,0.400058318,1075,430.0626914,-0.397876696,0.397876696,dwarfism,EN,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon_jubatus,Mindanao,1.25603222,1075,1350.234637,0.09900078,0.09900078,gigantism,EN,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon_mackloti,Sumba,1,390,390,0,0,no_change,VU,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon_mackloti,Flores,1.115277143,390,434.9580857,0.047382802,0.047382802,gigantism,VU,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon_mackloti,Timor,1.176097394,390,458.6779835,0.070443288,0.070443288,gigantism,VU,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon_mackloti,Alor,1.54302332,390,601.7790947,0.18837249,0.18837249,gigantism,VU,yes,Lomolino et al. 2013,Krzanowski 1967,
Chiroptera,Vespertilionidae,Aeorestes,cinereus,Aeorestes_cinereus,Hawai i,0.566282024,29.43333333,16.66756757,-0.246967224,0.246967224,dwarfism,LC,yes,Benítez-López et al. 2021,Jacobs 1996,
Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops_alecto,Lombok,0.877,15,13.155,-0.057000407,0.057000407,dwarfism,LC,no,Meiri et al. 2008b,Kitchener et al. 1993a,
Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops_alecto,Bali,1.053,15,15.795,0.022428371,0.022428371,gigantism,LC,no,Meiri et al. 2008b,Kitchener et al. 1993a,
Rodentia,Cricetidae,Alexandromys,oeconomus,Alexandromys_oeconomus,Baranof,0.755,33.1,24.9905,-0.122053048,0.122053048,dwarfism,LC,no,Meiri et al. 2008b,Bailey 1900,
Rodentia,Cricetidae,Alexandromys,oeconomus,Alexandromys_oeconomus,Kodiak,1,33.1,33.1,0,0,no_change,LC,no,Meiri et al. 2008b,Bailey 1900,
Primates,Cercopithecidae,Allochrocebus,preussi_insularis,Allochrocebus_preussi_insularis,Bioko,0.717184416,7639,5478.571758,-0.144369156,0.144369156,dwarfism,EN,yes,Lomolino et al. 2013,Butynski et al. 2009,
Primates,Atelidae,Alouatta,belzebul,Alouatta_belzebul,Mexiana,0.886191956,7300,6469.201278,-0.052472196,0.052472196,dwarfism,VU,no,Lomolino et al. 2013,Bromham & Cardillo 2007,
Primates,Atelidae,Alouatta,palliata_coibensis,Alouatta_palliata_coibensis,Coiba,0.761653851,7150,5445.825037,-0.118242358,0.118242358,dwarfism,VU,yes,Lomolino et al. 2013,Bromham & Cardillo 2007,
Primates,Atelidae,Alouatta,seniculus,Alouatta_seniculus,Trinidad,0.670638114,6850,4593.871078,-0.173511768,0.173511768,dwarfism,LC,no,Lomolino et al. 2013,Bromham & Cardillo 2007,
Rodentia,Sciuridae,Ammospermophilus,leucurus,Ammospermophilus_leucurus,Espiritu Santo,1.23,125,153.75,0.089905111,0.089905111,gigantism,LC,no,Lomolino et al. 2013,Lomolino 1985 2005: Lomolino et al. 2011,
Eulipotyphla,Soricidae,Anourosorex,yamashinai,Anourosorex_yamashinai,Taiwan,0.571,20,11.42,-0.243363892,0.243363892,dwarfism,LC,yes,Meiri et al. 2008b,Motokawa & Lin 2002,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Borneo,0.811054874,3530,2863.023705,-0.090949762,0.090949762,dwarfism,VU,no,Lomolino et al. 2013,Meiri et al. 2008a,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Java,1.00120048,3530,3534.237695,0.000521049,0.000521049,gigantism,VU,no,Lomolino et al. 2013,Meiri et al. 2004a,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Laut,1.009,3530,3561.77,0.003891166,0.003891166,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Palawan,1.084,3530,3826.52,0.035029282,0.035029282,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Bintan,1.257,3530,4437.21,0.099335278,0.099335278,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Karimunbesar,1.268,3530,4476.04,0.103119254,0.103119254,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Setoko,1.436,3530,5069.08,0.15715444,0.15715444,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Carnivora,Mustelidae,Aonyx,cinereus,Aonyx_cinereus,Galang,1.455,3530,5136.15,0.162862993,0.162862993,gigantism,VU,no,Meiri et al. 2008b,Meiri et al. 2006,
Rodentia,Muridae,Apodemus,agrarius,Apodemus_agrarius,Jeju,1.53,21.1,32.283,0.184691431,0.184691431,gigantism,LC,no,Meiri et al. 2008b,Oh et al. 2003,
