Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Rodentia,Abeomelomys_sevia,New Guinea,,,,52,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Acerodon_celebensis,Sulawesi: Butan: Talenge: Mangole: Sanana: Siau: Sangihe: Selayar,Acerodon_mackloti,0.82925792,470.3,390,-0.081310372,0.081310372,dwarfism,VU,Faurby et al. 2020,Musser et al. 1982,yes,
Chiroptera,Acerodon_humilis,,,0.400058318,1075,430.0626914,-0.397876696,0.397876696,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Acerodon_jubatus,,,1.25603222,1075,1350.234637,0.09900078,0.09900078,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Acerodon_leucotis,Palawan: Basuanga: Balabac: Bat,Acerodon_mackloti,1.091218371,470.3,513.2,0.037911669,0.037911669,gigantism,VU,Faurby et al. 2020,Musser et al. 1982,yes,
Chiroptera,Acerodon_mackloti,Lombok: Sumbawa: Sumba: Flores: Timor: Alor: Moyo,,1.145687268,390,446.8180346,0.059066087,0.059066087,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Aegialomys_galapagoensis,Sante Fe: San Cristobal,Aegialomys_xanthaeolus,1.447368421,79.8,115.5,0.160579093,0.160579093,gigantism,VU,Faurby et al. 2020,Weksler et al. 2006,yes,
Chiroptera,Aeorestes_cinereus,,,0.566282024,29.43333333,16.66756757,-0.246967224,0.246967224,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Aeromys_thomasi,Borneo,,,,1435,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Aethalops_aequalis,Borneo,,,,11.6,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Aethalops_alecto,,,0.965,15,14.475,-0.015472687,0.015472687,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Ailurops_melanotis,Sangihe: Salebabu ,Ailurops_ursinus,0.67,10000,6669,-0.173925197,0.173925197,dwarfism,CR,Faurby et al. 2020,Repi et al. 2019,yes,
Diprotodontia,Ailurops_ursinus,Sulawesi: Butung: Peleng: Togian: Muna,,,,10000,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Alexandromys_oeconomus,,,0.8775,33.1,29.04525,-0.056752875,0.056752875,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Alionycteris_paucidentata,Mindanao,,,,16.2,,,,LC,Faurby et al. 2020,,yes,
Primates,Allocebus_trichotis,Madagascar,,,,77.5,,,,EN,Faurby et al. 2020,,yes,
Primates,Allochrocebus_preussi_insularis,,,0.717184416,7639,5478.571758,-0.144369156,0.144369156,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Alouatta_belzebul,,,0.886191956,7300,6469.201278,-0.052472196,0.052472196,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Primates,Alouatta_palliata_coibensis,,,0.761653851,7150,5445.825037,-0.118242358,0.118242358,dwarfism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Alouatta_seniculus,,,0.670638114,6850,4593.871078,-0.173511768,0.173511768,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Ammospermophilus_leucurus,,,1.23,125,153.75,0.089905111,0.089905111,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Anisomys_imitator,New Guinea,,,,510.5,,,,LC,Faurby et al. 2020,,yes,
Eulipotyphla,Anourosorex_yamashinai,,,0.571,20,11.42,-0.243363892,0.243363892,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Aonyx_cinereus,,,1.1705,3530,4131.865,0.068371418,0.068371418,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Apodemus_agrarius,,,1.53,21.1,32.283,0.184691431,0.184691431,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Apodemus_argenteus,,,1.033,21,24.549,0.014100322,0.014100322,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
