Order,Family,Taxon_name_original,Taxon_name_analysis,Local_Status,Global_Status,MinAge,MaxAge,Site,Island,Source,Criteria
Artiodactyla,Bovidae,Bos_primigenius_bubaloides,Bos_primigenius_bubaloides,extinct,extinct,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Carnivora,Canidae,Vulpes_vulpes,Vulpes_vulpes,extinct,extant,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Carnivora,Ursidae,Ursus_arctos,Ursus_arctos,extinct,extant,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Perissodactyla,Equidae,Equus_hydruntinus,Equus_hydruntinus,extinct,extinct,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Artiodactyla,Cervidae,Capreolus_capreolus,Capreolus_capreolus,extinct,extant,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Artiodactyla,Cervidae,Cervus_elaphus,Cervus_elaphus,extinct,extant,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Artiodactyla,Cervidae,Cervus_elaphus_ssp,Cervus_elaphus_ssp_Pianosa,extinct,extinct,0.008276,0.285,Bone breccias,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Salari & Masseti 2016: Marra et al. 2018ab,Biochronology or chronological seriation
Perissodactyla,Equidae,Equus_hydruntinus,Equus_hydruntinus,extinct,extinct,0.008276,0.0215,Cala Giovanna,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Antonioli et al. 2011,Biochronology or chronological seriation
Artiodactyla,Cervidae,Cervus_elaphus,Cervus_elaphus,extinct,extant,0.008276,0.0215,Cala Giovanna,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Antonioli et al. 2011,Biochronology or chronological seriation
Artiodactyla,Bovidae,Capra_ibex,Capra_ibex,extinct,extant,0.008276,0.0215,Cala dei Turchi,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Antonioli et al. 2011,Biochronology or chronological seriation
Carnivora,Mustelidae,Mustela_sp,Mustela_sp_Pianosa,extinct,extinct,0.008276,0.0215,Unknown cave,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Antonioli et al. 2011,Biochronology or chronological seriation
Lagomorpha,Leporidae,Lepus_timidus,Lepus_timidus,extinct,extant,0.008276,0.0215,Unknown cave,Pianosa,Azzaroli 1961 1978: Azzaroli et al. 1990: Antonioli et al. 2011: Angelone et al. 2020,Biochronology or chronological seriation
Carnivora,Ursidae,Ursus_spelaeus_spelaeus,Ursus_spelaeus_spelaeus,extinct,extinct,0.2,0.295,Quisisana Certosa,Capri,Capasso-Barbato & Gliozzi 1995 1997: Marra et al. 2018a,Biochronology or chronological seriation
Proboscidea,Elephantidae,Mammuthus_trogontherii_chosaricus,Mammuthus_trogontherii_chosaricus,extinct,extinct,0.2,0.295,Quisisana Certosa,Capri,Capasso-Barbato & Gliozzi 1995 1997: Marra et al. 2018a,Biochronology or chronological seriation
