Order,Latin_binomial,Body_mass,Island_or_mainland,IUCN_Category
Rodentia,Abrawayaomys_ruschii,63,mainland,LC
Rodentia,Abrocoma_bennettii,250,mainland,LC
Rodentia,Abrocoma_boliviensis,158,mainland,CR
Rodentia,Abrocoma_budini,360.7,mainland,DD
Rodentia,Abrocoma_cinerea,250,mainland,LC
Rodentia,Abrocoma_famatina,233.4,mainland,DD
Rodentia,Abrocoma_shistacea,276.3,mainland,LC
Rodentia,Abrocoma_uspallata,245.8,mainland,DD
Rodentia,Abrocoma_vaccarum,254.3,mainland,DD
Rodentia,Abrothrix_andinus,18,mainland,LC
Rodentia,Abrothrix_illutea,47.8,mainland,LC
Rodentia,Abrothrix_jelskii,34.5,mainland,LC
Rodentia,Abrothrix_lanosus,32.5,mainland,LC
Rodentia,Abrothrix_longipilis,37.6,mainland,LC
Rodentia,Abrothrix_olivaceus,27,mainland,LC
Rodentia,Abrothrix_sanborni,24.7,mainland,NT
Carnivora,Acinonyx_jubatus,46700,mainland,VU
Rodentia,Acomys_airensis,48.3,mainland,LC
Rodentia,Acomys_cahirinus,52.5,mainland,LC
Rodentia,Acomys_cilicicus,42.5,mainland,DD
Rodentia,Acomys_cineraceus,20.3,mainland,LC
Rodentia,Acomys_dimidiatus,37.5,mainland,LC
Rodentia,Acomys_ignitus,24,mainland,LC
Rodentia,Acomys_johannis,18.5,mainland,LC
Rodentia,Acomys_kempi,22,mainland,LC
Rodentia,Acomys_louisae,20.2,mainland,LC
Rodentia,Acomys_mullah,28.4,mainland,LC
Rodentia,Acomys_percivali,22,mainland,LC
Rodentia,Acomys_russatus,49.8,mainland,LC
Rodentia,Acomys_seurati,71.2,mainland,LC
Rodentia,Acomys_spinosissimus,26.5,mainland,LC
Rodentia,Acomys_subspinosus,21,mainland,LC
Rodentia,Acomys_wilsoni,18.5,mainland,LC
Rodentia,Aconaemys_fuscus,133.5,mainland,LC
Rodentia,Aconaemys_porteri,92,mainland,DD
Rodentia,Aconaemys_sagei,96.5,mainland,DD
Diprotodontia,Acrobates_pygmaeus,12,mainland,LC
Cetartiodactyla,Addax_nasomaculatus,70000.3,mainland,CR
Rodentia,Aegialomys_xanthaeolus,79.8,mainland,LC
Rodentia,Aepeomys_lugens,37,mainland,LC
Rodentia,Aepeomys_reigi,40.6,mainland,VU
Cetartiodactyla,Aepyceros_melampus,52500.1,mainland,LC
Diprotodontia,Aepyprymnus_rufescens,3250,mainland,LC
Rodentia,Aeretes_melanopterus,732.4,mainland,NT
Rodentia,Aeromys_tephromelas,1075,mainland,DD
Chiroptera,Aethalops_alecto,15,mainland,LC
Rodentia,Aethomys_bocagei,107.6,mainland,LC
Rodentia,Aethomys_chrysophilus,74.9,mainland,LC
Rodentia,Aethomys_granti,40,mainland,LC
Rodentia,Aethomys_hindei,103.5,mainland,LC
Rodentia,Aethomys_ineptus,74.9,mainland,LC
Rodentia,Aethomys_kaiseri,90,mainland,LC
Rodentia,Aethomys_namaquensis,50.6,mainland,LC
Rodentia,Aethomys_nyikae,77,mainland,LC
Rodentia,Aethomys_silindensis,107.6,mainland,DD
Rodentia,Aethomys_stannarius,107.6,mainland,DD
Rodentia,Aethomys_thomasi,107.6,mainland,LC
Cetartiodactyla,Agalmaceros_blicki,60000,mainland,EP
Carnivora,Ailuropoda_melanoleuca,108400,mainland,VU
Carnivora,Ailurus_fulgens,4900,mainland,EN
Rodentia,Akodon_aerosus,60,mainland,LC
Rodentia,Akodon_affinis,24.9,mainland,LC
Rodentia,Akodon_albiventer,21.8,mainland,LC
Rodentia,Akodon_aliquantulus,14,mainland,DD
Rodentia,Akodon_azarae,25,mainland,LC
Rodentia,Akodon_boliviensis,27.5,mainland,LC
Rodentia,Akodon_budini,26.9,mainland,LC
Rodentia,Akodon_cursor,39.9,mainland,LC
Rodentia,Akodon_dayi,32.5,mainland,LC
Rodentia,Akodon_dolores,50.5,mainland,LC
Rodentia,Akodon_fumeus,22.7,mainland,LC
Rodentia,Akodon_iniscatus,28.7,mainland,LC
Rodentia,Akodon_juninensis,39,mainland,LC
Rodentia,Akodon_kofordi,29.5,mainland,LC
Rodentia,Akodon_leucolimnaeus,28.8,mainland,DD
Rodentia,Akodon_lindberghi,26.4,mainland,DD
Rodentia,Akodon_lutescens,20.7,mainland,LC
Rodentia,Akodon_mimus,24,mainland,LC
Rodentia,Akodon_molinae,33,mainland,LC
Rodentia,Akodon_mollis,30.4,mainland,LC
Rodentia,Akodon_montensis,44.1,mainland,LC
Rodentia,Akodon_mystax,18.5,mainland,DD
Rodentia,Akodon_neocenus,42.4,mainland,DD
Rodentia,Akodon_oenos,24.8,mainland,DD
Rodentia,Akodon_orophilus,39,mainland,LC
Rodentia,Akodon_paranaensis,40.3,mainland,LC
Rodentia,Akodon_pervalens,61.3,mainland,DD
Rodentia,Akodon_philipmyersi,18.7,mainland,DD
Rodentia,Akodon_reigi,41.3,mainland,LC
Rodentia,Akodon_sanctipaulensis,27.1,mainland,DD
Rodentia,Akodon_serrensis,28.3,mainland,LC
Rodentia,Akodon_siberiae,34.6,mainland,NT
Rodentia,Akodon_simulator,42.5,mainland,LC
Rodentia,Akodon_spegazzinii,28.6,mainland,LC
Rodentia,Akodon_subfuscus,30.4,mainland,LC
Rodentia,Akodon_surdus,39,mainland,VU
Rodentia,Akodon_sylvanus,39,mainland,LC
Rodentia,Akodon_toba,51.2,mainland,LC
Rodentia,Akodon_torques,39,mainland,LC
Rodentia,Akodon_varius,40,mainland,DD
Cetartiodactyla,Alcelaphus_buselaphus,171001.5,mainland,LC
Cetartiodactyla,Alces_alces,356998,mainland,LC
Rodentia,Allactaga_balikunica,72.5,mainland,LC
Rodentia,Allactaga_bullata,87,mainland,LC
Rodentia,Allactaga_elater,59,mainland,LC
Rodentia,Allactaga_euphratica,70,mainland,NT
Rodentia,Allactaga_firouzi,98.6,mainland,DD
Rodentia,Allactaga_hotsoni,76.5,mainland,LC
Rodentia,Allactaga_major,350,mainland,LC
Rodentia,Allactaga_severtzovi,159,mainland,LC
Rodentia,Allactaga_sibirica,97.5,mainland,LC
Rodentia,Allactaga_tetradactyla,52,mainland,VU
Rodentia,Allactaga_vinogradovi,75.2,mainland,NT
Rodentia,Allactaga_williamsi,100,mainland,LC
Rodentia,Allactodipus_bobrinskii,70,mainland,LC
Primates,Allenopithecus_nigroviridis,4750,mainland,LC
Primates,Allochrocebus_lhoesti,5375,mainland,VU
Primates,Allochrocebus_preussi,5250,mainland,EN
Primates,Allochrocebus_solatus,6500,mainland,VU
Rodentia,Allocricetulus_curtatus,47.8,mainland,LC
Rodentia,Allocricetulus_eversmanni,115.6,mainland,LC
Primates,Alouatta_arctoidea,5390,mainland,LC
Primates,Alouatta_belzebul,6400,mainland,VU
Primates,Alouatta_caraya,5862.5,mainland,LC
