species	Duration_overlap
Acerodon_mackloti	0.44631
Aegialomys_galapagoensis	0.00415
Agathaeromys_praeuniversitatis	0
Algarolutra_majori	0
Amblyrhiza_inundata	0
Antillomys_rayi	0.049362115
Aonyx_cinereus	0.503247301
Apodemus_argenteus	0.84
Apodemus_mystacinus_FOSSIL	0.4
Apodemus_speciosus	0.84
Apodemus_sylvaticus	0.22
Arctictis_binturong	1.3
Arctogalidia_trivirgata	0.328908589
Asoriculus_burgioi	0
Asoriculus_corsicanus	0.098830022
Asoriculus_similis	0
Axis_calamianensis	0.447534365
Axis_kuhlii	0.44654777
Bibos_palaesondaicus	0
Bison_priscus_siciliae	0
Bison_sp_Hondo	0.645930694
Boromys_offella	0.057106718
Boromys_torrei	0.055960252
Bos_javanicus	0.892292718
Bos_primigenius_bubaloides	0
Bos_primigenius_siciliae	0
Brotomys_contractus	0.041076988
Brotomys_voratus	0.057536956
Bubalus_cebuensis	0
Bubalus_grovesi	0.435960751
Bubalus_mindorensis	0.267694697
Bubalus_palaeokerabau	0
Bubalus_sp_Hondo	0.43432782
Bubalus_sp_Luzon	0
Callosciurus_notatus	0.679716227
Callosciurus_prevostii	0.329350744
Canariomys_bravoi	0.006475983
Canariomys_tamarani	0.014439222
Candiacervus_cerigensis	0
Candiacervus_cretensis	0
Candiacervus_dorothensis	0
Candiacervus_major	0
Candiacervus_rethymnensis	0
Candiacervus_ropalophorus	0
Candiacervus_sp_II	0
Canis_aureus	0.45
Canis_lupus	0.84
Capreolus_miyakoensis	0.25205921
Capricornis_crispus	0.273289803
Capricornis_sp_Hondo	0.711927436
Capricornis_sumatraensis_FOSSIL	1.3
Capromys_pilorides	0.05904
Capromys_pilorides_lewisi	0.002285917
Catopuma_badia	0.328678863
Cervus_elaphus	0.22
Cervus_elaphus_rossii	0
Cervus_elaphus_siciliae	0.121662875
Cervus_nippon	0.84
Chalinolobus_tuberculatus	0.0075
Chasmaporthetes_melei	0
Chimarrogale_platycephalus	0.84
Cordimus_debuisonjei	0
Cordimus_hooijeri	0.025330558
Crocidura_canariensis	0.02311
Crocidura_dsinezumi	0.84
Crocidura_foetida	0.328763125
Crocidura_palawanensis	0.365519765
Crocidura_rhoditis	0.072503563
Crocidura_sicula_esuae	0
Crocidura_sicula_sicula_FOSSIL	0.22
Crocidura_zimmermanni	0.11
Crocidura_zimmermanni_FOSSIL	0.11
Cynocephalus_volans	0.135093112
Cynopterus_brachyotis	0.438577779
Cynopterus_horsfieldii	0.32896457
Cynotherium_malatestai	0
Cynotherium_sardous	0.016670954
Dama_carburangelensis	0.107209004
Dasypterus_insularis	0.06024
Dobsonia_crenulata	0.214303222
Dobsonia_moluccensis	0.292842692
Dobsonia_peronii	0.47
Dobsonia_viridis	0.211
Duboisia_santeng	0
Echinosorex_gymnura	0.328893114
Elasmodontomys_obliquus	0.039567944
Elephas_maximus	1.3
Elephas_sp_Luzon_Visayan	0
Elephas_sp_Sulawesi	0
Emballonura_alecto	0.153293763
Emballonura_semicaudata	0.0345
Enhydrictis_galictoides	0
Enhydrictis_praegalictoides	0
Eonycteris_spelaea	0.462365142
Epileptobos_groeneveldtii	0
Eptesicus_serotinus	0.22
Erinaceus_europaeus	0.22
Eulemur_fulvus	0.105
Eulemur_mongoz	0.105
Funambulus_layardi	0.350534772
Galeopterus_variegatus	0.206543088
Genetta_plesictoides	0.024279078
Geocapromys_brownii	0.01208
Geocapromys_caymanensis	0
Geocapromys_columbianus	0.057194665
Geocapromys_ingrahami_abaconis	0.007774212
Geocapromys_ingrahami_FOSSIL	0.01278
Geocapromys_ingrahami_irrectus	0.005475583
Helarctos_malayanus	1.3
Hemigalus_derbyanus	0.329047243
Hippopotamus_creutzburgi	0
Hippopotamus_lemerlei	0.098718639
Hippopotamus_madagascariensis	0.098512814
Hippopotamus_minor	0.102766131
Hippopotamus_pentlandi	0
Hipposideros_commersoni	0.105
Hipposideros_diadema	0.672362834
Hipposideros_galeritus	0.329048918
Hipposideros_larvatus	0.328346048
Homo_floresiensis	0.051295193
Hylobates_moloch	1.3
Hylobates_muelleri	0.361697673
Hylopetes_nigripes	0.250478815
Hyperplagiodontia_araeum	0.002816804
Hypnomys_eliomyoides	0
Hypnomys_mahonensis	0
Hypnomys_morpheus	0
Hypnomys_onicensis	0
Hypnomys_waldreni	0
Hypolagus_peregrinus	0
Hystrix_brachyura	1.3
Hystrix_javanica	1.3
Hystrix_pumila	0.363578759
Kritimys_catreus	0
Lasiurus_minor	0.06024
Lasiurus_pfeifferi	0.05904
Leithia_cartei	0
Leithia_melitensis	0
Leopoldamys_sabanus	1.3
Lepus_corsicanus	0.22
Loris_lydekkerianus	0.351011381
Loris_tardigradus	0.351660268
Lutra_castiglionis	0
Lutra_lutra	0.403691958
Lutra_sumatrana	0.328820124
Lutra_trinacriae	0
Lutrogale_cretensis	0
Macaca_cyclopis	0.5
Macaca_fascicularis	1.3
Macaca_fuscata	0.84
Macaca_majori	0
Macaca_maura	0.136530883
Macaca_nemestrina	0.73
Macaca_nigra	0.174641849
Macaca_sinica	0.45
Malpaisomys_insularis	0.010703956
Maltamys_wiedincitensis	0
Mammuthus_creticus	0
Mammuthus_exilis	0.020723464
Mammuthus_lamarmorai	0
Manis_culionensis	0.322057678
Manis_javanica	0.580911051
Martes_flavigula	0.3289044
Martes_melampus	0.590596205
Maxomys_hellwaldii	0.16648569
Maxomys_musschenbroekii	0.291772076
Maxomys_panglima	0.340270083
Megaderma_spasma	0.354971832
Megalenhydris_barbaricina	0
Megalomys_audreyae	0.03430759
Megalomys_camerhogne	0.007676967
