species	Duration_overlap_old_chr
Acerodon_mackloti	0.379714945
Aegialomys_galapagoensis	0.00415
Agathaeromys_praeuniversitatis	0
Algarolutra_majori	0
Amblyrhiza_inundata	0
Antillomys_rayi	0.049334428
Aonyx_cinereus	0.569203321
Apodemus_argenteus	0.84
Apodemus_mystacinus_FOSSIL	0.4
Apodemus_speciosus	0.84
Apodemus_sylvaticus	0.22
Arctictis_binturong	1.3
Arctogalidia_trivirgata	0.374471106
Asoriculus_burgioi	0
Asoriculus_corsicanus	0.099137904
Asoriculus_similis	0
Axis_calamianensis	0.413354508
Axis_kuhlii	0.447402229
Bibos_palaesondaicus	0
Bison_priscus_siciliae	0
Bison_sp_Hondo	0.657729085
Boromys_offella	0.057064212
Boromys_torrei	0.056310343
Bos_javanicus	0.916418688
Bos_primigenius_bubaloides	0
Bos_primigenius_siciliae	0
Brotomys_contractus	0.032735358
Brotomys_voratus	0.057621447
Bubalus_cebuensis	0.010832218
Bubalus_grovesi	0.432311956
Bubalus_mindorensis	0.269369691
Bubalus_palaeokerabau	0
Bubalus_sp_Hondo	0.305389921
Bubalus_sp_Luzon	0
Callosciurus_notatus	0.647193419
Callosciurus_prevostii	0.374325298
Canariomys_bravoi	0.006428125
Canariomys_tamarani	0.014164592
Candiacervus_cerigensis	0
Candiacervus_cretensis	0
Candiacervus_dorothensis	0
Candiacervus_major	0
Candiacervus_rethymnensis	0
Candiacervus_ropalophorus	0
Candiacervus_sp_II	0
Canis_aureus	0.45
Canis_lupus	0.84
Capreolus_miyakoensis	0.253626005
Capricornis_crispus	0.303778225
Capricornis_sp_Hondo	0.702647512
Capricornis_sumatraensis_FOSSIL	1.3
Capromys_pilorides	0.05904
Capromys_pilorides_lewisi	0.002540533
Catopuma_badia	0.374461397
Cervus_elaphus	0.22
Cervus_elaphus_rossii	0
Cervus_elaphus_siciliae	0.12807995
Cervus_nippon	0.84
Chalinolobus_tuberculatus	0.0075
Chasmaporthetes_melei	0
Chimarrogale_platycephalus	0.84
Cordimus_debuisonjei	0
Cordimus_hooijeri	0.022682994
Crocidura_canariensis	0.02311
Crocidura_dsinezumi	0.84
Crocidura_foetida	0.375103154
Crocidura_palawanensis	0.30072376
Crocidura_rhoditis	0.072248378
Crocidura_sicula_sicula_FOSSIL	0.22
Crocidura_zimmermanni	0.11
Crocidura_zimmermanni_FOSSIL	0.11
Cynocephalus_volans	0.11141534
Cynopterus_brachyotis	0.475083197
Cynopterus_horsfieldii	0.374473384
Cynotherium_sardous	0.019690989
Dama_carburangelensis	0.111630905
Dasypterus_insularis	0.06024
Dobsonia_crenulata	0.179859205
Dobsonia_moluccensis	0.330418187
Dobsonia_peronii	0.47
Dobsonia_viridis	0.211
Duboisia_santeng	0
Echinosorex_gymnura	0.374847723
Elasmodontomys_obliquus	0.039562783
Elephas_maximus	1.3
Elephas_sp_Luzon_Visayan	0
Elephas_sp_Sulawesi	0
Emballonura_alecto	0.147083887
Emballonura_semicaudata	0.0345
Enhydrictis_galictoides	0
Eonycteris_spelaea	0.491582971
Epileptobos_groeneveldtii	0
Eptesicus_serotinus	0.22
Erinaceus_europaeus	0.22
Eulemur_fulvus	0.105
Eulemur_mongoz	0.105
Funambulus_layardi	0.376461733
Galeopterus_variegatus	0.192530114
