species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.174360896
Aegialomys_galapagoensis	2	0	0.00166
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	0.565735613	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.019580507
Aonyx_cinereus	2	0	0.216787228
Apodemus_argenteus	2	0	0.336
Apodemus_mystacinus_FOSSIL	2	0.402703215	0.16
Apodemus_speciosus	2	0	0.336
Apodemus_sylvaticus	2	0	0.088
Arctictis_binturong	2	3.30754415	0.52
Arctogalidia_trivirgata	2	0	0.133882302
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.03970085
Asoriculus_similis	1	1.545709327	0
Axis_calamianensis	2	0	0.179490632
Axis_kuhlii	2	0	0.183973272
Bibos_palaesondaicus	1	3.3525524	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.261008803
Boromys_offella	2	0	0.022838105
Boromys_torrei	2	0	0.022476124
Bos_javanicus	2	0	0.37308539
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.014219941
Brotomys_voratus	2	0	0.023032634
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	0.594	0.169623554
Bubalus_mindorensis	2	0	0.094716439
Bubalus_palaeokerabau	1	3.643504624	0
Bubalus_sp_Hondo	2	0	0.131481839
Bubalus_sp_Luzon	1	2.672493745	0
Callosciurus_notatus	2	0	0.281599647
Callosciurus_prevostii	2	0	0.13405886
Canariomys_bravoi	2	0	0.002567663
Canariomys_tamarani	2	0	0.005729382
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	0.405175403	0
Candiacervus_dorothensis	0	0	0
Candiacervus_major	1	0.243531233	0
Candiacervus_rethymnensis	1	0.406584858	0
Candiacervus_ropalophorus	1	0.42752159	0
Candiacervus_sp_II	1	0.377741911	0
Canis_aureus	2	0	0.18
Canis_lupus	2	0	0.336
Capreolus_miyakoensis	2	0	0.101472352
Capricornis_crispus	2	0	0.111400279
Capricornis_sp_Hondo	2	0	0.279258821
Capricornis_sumatraensis_FOSSIL	2	0.1468109	0.52
Capromys_pilorides	2	0	0.023616
Capromys_pilorides_lewisi	2	0	0.001056765
Catopuma_badia	2	0	0.134010457
Cervus_elaphus	2	0	0.088
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.051106125
Cervus_nippon	2	1.464	0.336
Chalinolobus_tuberculatus	2	0	0.003
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.336
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.010549121
Crocidura_canariensis	2	0	0.009244
Crocidura_dsinezumi	2	0	0.336
Crocidura_foetida	2	0	0.134014325
Crocidura_palawanensis	2	0	0.1221404
Crocidura_rhoditis	2	0	0.030448548
Crocidura_sicula_sicula_FOSSIL	2	0	0.088
Crocidura_zimmermanni	2	0.452	0.044
Crocidura_zimmermanni_FOSSIL	2	0.452	0.044
Cynocephalus_volans	2	0	0.05705866
Cynopterus_brachyotis	2	0	0.202723182
Cynopterus_horsfieldii	2	0	0.1337066
Cynotherium_sardous	2	1.555464	0.003439864
Dama_carburangelensis	2	0	0.045315251
Dasyprocta_punctata	2	0	0.024
Dasypterus_insularis	2	0	0.024096
Deinogalerix_brevirostris	0	0	0
Deinogalerix_koenigswaldi	0	0	0
Didelphis_marsupialis	2	0	0.024
Dobsonia_crenulata	2	0	0.083621244
Dobsonia_moluccensis	2	0	0.12525491
Dobsonia_peronii	2	0.115055556	0.188
Dobsonia_viridis	2	0	0.0844
Duboisia_santeng	1	2.426942116	0
Echinosorex_gymnura	2	0	0.2
Elasmodontomys_obliquus	2	0	0.0158931
Elephas_maximus	2	0.310649926	0.52
Elephas_sp_Luzon_Visayan	1	2.157781437	0
Elephas_sp_Sulawesi	0	0	0
Emballonura_alecto	2	0	0.057256004
Emballonura_semicaudata	2	0	0.0138
Enhydrictis_galictoides	1	1.543890176	0
Eonycteris_spelaea	2	0	0.180648916
Epileptobos_groeneveldtii	1	2.388439994	0
Eptesicus_serotinus	2	1.512	0.088
Erinaceus_europaeus	2	0	0.088
Eulemur_fulvus	2	0	0.042
Eulemur_mongoz	2	0	0.042
Funambulus_layardi	2	0	0.149118328
Galeopterus_variegatus	2	0	0.08958119
Genetta_plesictoides	2	0	0.011889227
Geocapromys_brownii	2	0	0.004832
Geocapromys_caymanensis	0	0	0
Geocapromys_columbianus	2	0	0.022837316
Geocapromys_ingrahami_abaconis	2	0	0.00311474
Geocapromys_ingrahami_FOSSIL	2	0	0.005112
Geocapromys_ingrahami_irrectus	2	0	0.005790853
Gymnesicolagus_gelaberti	0	0	0
Hattomys_gargantua	0	0	0
Helarctos_malayanus	2	3.412427092	0.52
Hemigalus_derbyanus	2	0	0.133832031
Hippopotamus_creutzburgi	0	0	0
Hippopotamus_lemerlei	2	0	0.039806561
Hippopotamus_madagascariensis	2	0	0.039394698
Hippopotamus_minor	2	0	0.041357699
Hippopotamus_pentlandi	0	0	0
Macronycteris_commersoni	2	0	0.042
Hipposideros_diadema	2	0	0.212195758
Hipposideros_galeritus	2	0	0.13396948
Hipposideros_larvatus	2	0.018784601	0.2
Homo_floresiensis	2	3.812	0.084745937
Hylobates_moloch	2	4.68	0.52
Hylobates_muelleri	2	0	0.146410976
Hylopetes_nigripes	2	0	0.102678857
Hyperplagiodontia_araeum	2	0	0.001664142
Hypnomys_mahonensis	0	0	0
Hypnomys_morpheus	0	0	0
Hypolagus_balearicus	0	0	0
Hypolagus_peregrinus	0	0	0
Hystrix_brachyura	2	4.048448464	0.52
Hystrix_javanica	2	3.602533257	0.52
Hystrix_pumila	2	0	0.150903699
Kritimys_catreus	0	0	0
Lasiurus_minor	2	0	0.024096
Lasiurus_pfeifferi	2	0	0.023616
Leithia_cartei	0	0	0
Leithia_melitensis	0	0	0
Leopoldamys_sabanus	2	0.373724996	0.52
Lepus_corsicanus	2	0	0.088
Loris_lydekkerianus	2	0	0.149338202
Loris_tardigradus	2	0	0.149329687
Lutra_castiglionis	0	0	0
Lutra_lutra	2	0	0.167866261
Lutra_sumatrana	2	0	0.133909408
Lutra_trinacriae	0	0	0
Lutrogale_cretensis	1	0.095005357	0
Macaca_cyclopis	2	1.6	0.2
Macaca_fascicularis	2	4.101031061	0.52
Macaca_fuscata	2	0	0.336
