species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.402697426
Aegialomys_galapagoensis	2	0	0.00415
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	1.941601871	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.049241661
Aonyx_cinereus	2	0	0.475626427
Apodemus_argenteus	2	0	0.84
Apodemus_mystacinus_FOSSIL	2	1.254078907	0.4
Apodemus_speciosus	2	0	0.84
Apodemus_sylvaticus	2	0	0.22
Arctictis_binturong	2	8.514142057	1.3
Arctogalidia_trivirgata	2	0	0.29638497
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.099542166
Asoriculus_similis	1	3.875969726	0
Axis_calamianensis	2	0	0.434568404
Axis_kuhlii	2	0	0.441960752
Bibos_palaesondaicus	1	8.352938163	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.649847421
Boromys_offella	2	0	0.056924189
Boromys_torrei	2	0	0.056245089
Bos_javanicus	2	0	0.894229967
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.027240216
Brotomys_voratus	2	0	0.057691818
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	1.485	0.426464619
Bubalus_mindorensis	2	0	0.299857914
Bubalus_palaeokerabau	1	10.59191412	0
Bubalus_sp_Hondo	2	0	0.299295461
Bubalus_sp_Luzon	1	6.639137816	0
Callosciurus_notatus	2	0	0.663403129
Callosciurus_prevostii	2	0	0.295322893
Canariomys_bravoi	2	0	0.006222602
Canariomys_tamarani	2	0	0.014285238
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	0.984087018	0
Candiacervus_dorothensis	1	0.085691898	0
Candiacervus_major	1	0.45555502	0
Candiacervus_rethymnensis	1	1.039301748	0
Candiacervus_ropalophorus	1	1.060443674	0
Candiacervus_sp_II	1	0.852808989	0
Canis_aureus	2	0	0.45
Canis_lupus	2	0	0.84
Capreolus_miyakoensis	2	0	0.251737402
Capricornis_crispus	2	0	0.273894422
Capricornis_sp_Hondo	2	0	0.708700578
Capricornis_sumatraensis_FOSSIL	2	0.531402929	1.3
Capromys_pilorides	2	0	0.05904
Capromys_pilorides_lewisi	2	0	0.002503314
Catopuma_badia	2	0	0.295206139
Cervus_elaphus	2	0	0.22
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.121165557
Cervus_nippon	2	3.66	0.84
Chalinolobus_tuberculatus	2	0	0.0075
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.84
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.024654984
Crocidura_canariensis	2	0	0.02311
Crocidura_dsinezumi	2	0	0.84
Crocidura_foetida	2	0	0.295428167
Crocidura_palawanensis	2	0	0.330349283
Crocidura_rhoditis	2	0	0.077663655
Crocidura_sicula_esuae	0	0	0
Crocidura_sicula_sicula_FOSSIL	2	0	0.22
Crocidura_zimmermanni	2	1.13	0.11
Crocidura_zimmermanni_FOSSIL	2	1.13	0.11
Cynocephalus_volans	2	0	0.127544478
Cynopterus_brachyotis	2	0	0.488841748
Cynopterus_horsfieldii	2	0	0.295023731
Cynotherium_malatestai	1	3.562983819	0
Cynotherium_sardous	2	3.88866	0.017320194
Dama_carburangelensis	2	0	0.111222832
Dasyprocta_punctata	2	0	0.06
Dasypterus_insularis	2	0	0.06024
Didelphis_marsupialis	2	0	0.06
Dobsonia_crenulata	2	0	0.180437666
Dobsonia_moluccensis	2	0	0.331141201
Dobsonia_peronii	2	0.769025533	0.47
Dobsonia_viridis	2	0	0.211
Duboisia_santeng	1	6.980412293	0
Echinosorex_gymnura	2	0	0.467952163
Elasmodontomys_obliquus	2	0	0.039419825
Elephas_maximus	2	1.30151686	1.3
Elephas_sp_Luzon_Visayan	1	5.308140202	0
Elephas_sp_Sulawesi	0	0	0
Emballonura_alecto	2	0	0.15466162
Emballonura_semicaudata	2	0	0.0345
Enhydrictis_galictoides	1	3.872647034	0
Enhydrictis_praegalictoides	0	0	0
Eonycteris_spelaea	2	0	0.390247385
Epileptobos_groeneveldtii	1	6.086142783	0
Eptesicus_serotinus	2	3.78	0.22
Erinaceus_europaeus	2	0	0.22
Eulemur_fulvus	2	0	0.105
Eulemur_mongoz	2	0	0.105
