species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.410291152
Aegialomys_galapagoensis	2	0	0.00415
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	2.033033986	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.049269495
Aonyx_cinereus	2	0	0.533384314
Apodemus_argenteus	2	0	0.84
Apodemus_mystacinus_FOSSIL	2	1.559218954	0.4
Apodemus_speciosus	2	0	0.84
Apodemus_sylvaticus	2	0	0.22
Arctictis_binturong	2	9.173816938	1.3
Arctogalidia_trivirgata	2	0	0.343660265
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.098884861
Asoriculus_similis	1	3.875328801	0
Axis_calamianensis	2	0	0.422437499
Axis_kuhlii	2	0	0.440832851
Bibos_palaesondaicus	1	8.581152353	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.647377628
Boromys_offella	2	0	0.057077463
Boromys_torrei	2	0	0.056643184
Bos_javanicus	2	0	0.90129776
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.027174061
Brotomys_voratus	2	0	0.057381231
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	1.485	0.42990196
Bubalus_mindorensis	2	0	0.223536054
Bubalus_palaeokerabau	1	10.75961369	0
Bubalus_sp_Hondo	2	0	0.317427579
Bubalus_sp_Luzon	1	6.660484314	0
Callosciurus_notatus	2	0	0.640621688
Callosciurus_prevostii	2	0	0.342611279
Canariomys_bravoi	2	0	0.006236493
Canariomys_tamarani	2	0	0.014348508
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	1.068539163	0
Candiacervus_dorothensis	1	0.05545657	0
Candiacervus_major	1	0.443953121	0
Candiacervus_rethymnensis	1	1.051528121	0
Candiacervus_ropalophorus	1	1.059559132	0
Candiacervus_sp_II	1	0.942569862	0
Canis_aureus	2	0	0.45
Canis_lupus	2	0	0.84
Capreolus_miyakoensis	2	0	0.253250815
Capricornis_crispus	2	0	0.264658305
Capricornis_sp_Hondo	2	0	0.6985321
Capricornis_sumatraensis_FOSSIL	2	0.632628395	1.3
Capromys_pilorides	2	0	0.05904
Capromys_pilorides_lewisi	2	0	0.002433464
Catopuma_badia	2	0	0.341780331
Cervus_elaphus	2	0	0.22
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.123898316
Cervus_nippon	2	3.66	0.84
Chalinolobus_tuberculatus	2	0	0.0075
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.84
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.024484438
Crocidura_canariensis	2	0	0.02311
Crocidura_dsinezumi	2	0	0.84
Crocidura_foetida	2	0	0.342960335
Crocidura_palawanensis	2	0	0.345456803
Crocidura_rhoditis	2	0	0.078787938
Crocidura_sicula_sicula_FOSSIL	2	0	0.22
Crocidura_zimmermanni	2	1.13	0.11
Crocidura_zimmermanni_FOSSIL	2	1.13	0.11
Cynocephalus_volans	2	0	0.125831136
Cynopterus_brachyotis	2	0	0.44645017
Cynopterus_horsfieldii	2	0	0.342448059
Cynotherium_sardous	2	3.88866	0.007888914
Dama_carburangelensis	2	0	0.114922259
Dasyprocta_punctata	2	0	0.06
Dasypterus_insularis	2	0	0.06024
Didelphis_marsupialis	2	0	0.06
Dobsonia_crenulata	2	0	0.172148444
Dobsonia_moluccensis	2	0	0.291757624
Dobsonia_peronii	2	0.476091383	0.47
Dobsonia_viridis	2	0	0.211
Duboisia_santeng	1	6.931747029	0
Echinosorex_gymnura	2	0	0.5
Elasmodontomys_obliquus	2	0	0.039621667
Elephas_maximus	2	1.118547375	1.3
Elephas_sp_Luzon_Visayan	1	5.252870641	0
Elephas_sp_Sulawesi	0	0	0
Emballonura_alecto	2	0	0.163120823
Emballonura_semicaudata	2	0	0.0345
Enhydrictis_galictoides	1	3.863202593	0
Eonycteris_spelaea	2	0	0.438298371
Epileptobos_groeneveldtii	1	6.746340276	0
Eptesicus_serotinus	2	3.78	0.22
Erinaceus_europaeus	2	0	0.22
Eulemur_fulvus	2	0	0.105
Eulemur_mongoz	2	0	0.105
Funambulus_layardi	2	0	0.352783563
Galeopterus_variegatus	2	0	0.208410607
Genetta_plesictoides	2	0	0.025342654
Geocapromys_brownii	2	0	0.01208
Geocapromys_caymanensis	0	0	0
Geocapromys_columbianus	2	0	0.057093352
Geocapromys_ingrahami_abaconis	2	0	0.007472038
Geocapromys_ingrahami_FOSSIL	2	0	0.01278
Geocapromys_ingrahami_irrectus	2	0	0.014445684
Helarctos_malayanus	2	8.703223256	1.3
Hemigalus_derbyanus	2	0	0.342017566
Hippopotamus_creutzburgi	0	0	0
Hippopotamus_lemerlei	2	0	0.099501743
Hippopotamus_madagascariensis	2	0	0.09886707
Hippopotamus_minor	2	0	0.102870641
Hippopotamus_pentlandi	0	0	0
Macronycteris_commersoni	2	0	0.105
Hipposideros_diadema	2	0	0.604351363
Hipposideros_galeritus	2	0	0.342269124
Hipposideros_larvatus	2	0.020659652	0.5
Homo_floresiensis	2	9.53	0.099962825
Hylobates_moloch	2	11.7	1.3
Hylobates_muelleri	2	0	0.366579442
Hylopetes_nigripes	2	0	0.23962831
Hyperplagiodontia_araeum	2	0	0.00173228
Hypnomys_mahonensis	0	0	0
Hypnomys_morpheus	0	0	0
Hypolagus_peregrinus	0	0	0
Hystrix_brachyura	2	9.992704249	1.3
Hystrix_javanica	2	10.33829827	1.3
Hystrix_pumila	2	0	0.363618189
Kritimys_catreus	0	0	0
Lasiurus_minor	2	0	0.06024
Lasiurus_pfeifferi	2	0	0.05904
Leithia_cartei	0	0	0
Leithia_melitensis	0	0	0
Leopoldamys_sabanus	2	2.054781629	1.3
Lepus_corsicanus	2	0	0.22
Loris_lydekkerianus	2	0	0.352102574
Loris_tardigradus	2	0	0.352076991
Lutra_castiglionis	0	0	0
Lutra_lutra	2	0	0.416213
Lutra_sumatrana	2	0	0.343916113
Lutra_trinacriae	0	0	0
Lutrogale_cretensis	1	0.341772253	0
Macaca_cyclopis	2	4	0.5
Macaca_fascicularis	2	11.7	1.3
Macaca_fuscata	2	0	0.84
Macaca_majori	0	0	0
Macaca_maura	2	0	0.144129491
Macaca_nemestrina	2	0	0.73
Macaca_nigra	2	0	0.137530657
Macaca_sinica	2	0	0.45
Malpaisomys_insularis	2	0	0.020079711
Maltamys_wiedincitensis	0	0	0
Mammuthus_creticus	0	0	0
Mammuthus_exilis	2	0	0.02061517
Mammuthus_lamarmorai	1	3.588505993	0
Manis_culionensis	2	0	0.307132064
Manis_javanica	2	0	0.586147907
Martes_flavigula	2	0	0.342457508
Martes_melampus	2	0	0.568815935
Maxomys_hellwaldii	2	0	0.122602205
Maxomys_musschenbroekii	2	0	0.278559552
Maxomys_panglima	2	0	0.485800427
Megaderma_spasma	2	0	0.333843512
Megalenhydris_barbaricina	1	0.260836912	0
Megalomys_audreyae	2	0	0.03441563
Megalomys_camerhogne	2	0	0.008201517
Megalomys_curazensis	0	0	0
Megalomys_desmarestii	2	0	0.020190678
Megalomys_georginae	2	0	0.031932487
Megalomys_luciae	2	0	0.004970369
Megaoryzomys_curioi	2	0	0.003024607
Meles_anakuma	2	0	0.84
Melogale_everetti	2	0	0.496450185
Melomys_caurinus	2	0	0.021866356
Melomys_matambuai	2	0	0.180774887
Melomys_talaudium	2	0	0.021668545
Mesocapromys_gracilis	0	0	0
Mesocapromys_kraglievichi	2	0	0.054393597
Mesocapromys_minimus	2	0	0.05481342
Mesocapromys_nanus	2	0	0.05904
Mesocapromys_sanfelipensis	2	0	0.05904
Microtus_(Terricola)_ex_gr_Microtus_savii	2	0	0.198098399
Microtus_(Tyrrhenicola)_henseli	2	3.88866	0.09659233
Microtus_miguelensis	0	0	0
Microtus_montebelli	2	0	0.84
Miniopterus_australis	2	0	0.5
Miniopterus_macrocneme	2	0	0.424221195
Miniopterus_tristis	2	0	0.342238306
Mogera_wogura	2	0	0.84
Mops_leucostigma	2	0	0.081336083
Mormoops_blainvillei	2	0	0.06024
Moschiola_kathygre	2	0	0.352830672
Moschiola_meminna	2	0	0.45
Muntiacini_gen_et_sp_indet	2	0	0.209649654
Muntiacus_muntjak	2	11.7	1.3
Mus_cypriacus	2	0	0.125
Mus_lopadusae	0	0	0
Mus_minotaurus	2	1.13	0.046951105
Mustela_erminea	2	0	0.84
Mustela_itatsi	2	0	0.84
Mustela_nivalis	2	0	0.84
Mustela_nudipes	2	0	0.342661688
Mustelercta_arzilla	0	0	0
Mydaus_marchei	2	0	0.313073534
Myotis_blythii	2	0	0.22
Myotis_capaccinii	2	3.78	0.22
Myotis_goudoti	2	0	0.105
Myotis_macrotarsus	2	0	0.159001006
Myotis_myotis	2	3.78	0.22
Myotragus_balearicus	2	0	0.003252457
Mysateles_melanurus	2	0	0.05904
Mysateles_prehensilis	2	0	0.05904
Mystacina_robusta	2	0	0.00255343
Nesiotites_hidalgo	0	0	0
Nesogoral_cenisae	0	0	0
Nesogoral_melonii	0	0	0
Nesogoral_sp_2	0	0	0
Nesorhinus_hayasakai	1	0.558716941	0
Nesorhinus_philippinensis	1	5.083222482	0
Nyctereutes_viverrinus	2	0	0.84
Nycticebus_coucang	2	0	0.5
Nycticebus_javanicus	2	0	0.208430406
Nyctimene_albiventer	2	0	0.44
Nyctimene_cephalotes	2	0	0.365701981
Nyctimene_major	2	0	0.152477799
Nyctophilus_howensis	0	0	0
Nyctophilus_nebulosus	2	0	0.028
Oriensictis_nipponica	0	0	0
Oryzomys_antillarum	2	0	0.008486015
Otomops_madagascariensis	2	0	0.105
Paguma_larvata	2	0	0.34175527
Palaeoloxodon_aff_P_creutzburgi	0	0	0
Palaeoloxodon_antiquus_leonardi	0	0	0
