species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	2.95215759
Aegialomys_galapagoensis	2	0	0.0415
Algarolutra_majori	2	11.32253596	0.188828357
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.495768744
Aonyx_cinereus	2	0	3.98364247
Apodemus_argenteus	2	0	3.372
Apodemus_speciosus	2	0	3.372
Apodemus_sylvaticus	2	0	2.2
Arctictis_binturong	2	0	3.199717886
Arctogalidia_trivirgata	2	0	3.093908511
Asoriculus_corsicanus	2	0	1.027174446
Asoriculus_similis	2	10.54045996	0.050258414
Axis_calamianensis	2	0	3.703272478
Axis_kuhlii	2	0	3.909867553
Bison_priscus_siciliae	2	0	0.455849323
Bison_sp_Hondo	2	0	2.091504834
Boromys_offella	2	0	0.571345932
Boromys_torrei	2	0	0.561517437
Bos_javanicus	2	2.121463261	7
Bos_primigenius_siciliae	2	0	1.278799336
Brotomys_contractus	2	0	0.482351557
Brotomys_voratus	2	0	0.573733548
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	7.197115588	4.375089556
Bubalus_mindorensis	2	0	2.872642026
Bubalus_sp_Hondo	0	0	0
Bubalus_sp_Luzon	1	1.571840551	0
Callosciurus_notatus	2	0	5.301091693
Callosciurus_prevostii	2	0	3.076697539
Canariomys_bravoi	2	0	0.104920369
Canariomys_tamarani	2	0	0.157839707
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	1.91145408	0
Candiacervus_major	1	1.900105485	0
Candiacervus_rethymnensis	1	9.43893365	0
Candiacervus_ropalophorus	1	7.690484451	0
Canis_aureus	2	0	3.8
Canis_lupus	2	0	3.323
Capreolus_miyakoensis	2	0	1.828571525
Capricornis_crispus	2	0	2.323784232
Capricornis_sp_Hondo	2	0	2.317291665
Capromys_pilorides	2	0	0.5904
Capromys_pilorides_lewisi	2	0	0.024397839
Catopuma_badia	2	0	3.100209995
Cervus_elaphus	2	0	2.2
Cervus_elaphus_siciliae	2	0	1.619881618
Cervus_nippon	2	6.932815622	5
Chalinolobus_tuberculatus	2	0	0.075
