species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.44631
Aegialomys_galapagoensis	2	0	0.00415
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	1.729731253	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.049362115
Aonyx_cinereus	2	0	0.503247301
Apodemus_argenteus	2	0	0.3372
Apodemus_mystacinus_FOSSIL	2	1.137861764	0.4
Apodemus_speciosus	2	0	0.3372
Apodemus_sylvaticus	2	0	0.22
Arctictis_binturong	2	8.801445934	0.7
Arctogalidia_trivirgata	2	0	0.328908589
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.098830022
Asoriculus_similis	1	3.857867994	0
Axis_calamianensis	2	0	0.447534365
Axis_kuhlii	2	0	0.44654777
Bibos_palaesondaicus	1	8.434041777	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.138230694
Boromys_offella	2	0	0.057106718
Boromys_torrei	2	0	0.055960252
Bos_javanicus	2	0.192292718	0.7
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.041076988
Brotomys_voratus	2	0	0.057536956
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	1.485	0.435960751
Bubalus_mindorensis	2	0	0.267694697
Bubalus_palaeokerabau	1	10.4643443	0
Bubalus_sp_Hondo	0	0	0
Bubalus_sp_Luzon	1	6.655294883	0
Callosciurus_notatus	2	0	0.679716227
Callosciurus_prevostii	2	0	0.329350744
Canariomys_bravoi	2	0	0.006475983
Canariomys_tamarani	2	0	0.014439222
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	1.036167294	0
Candiacervus_dorothensis	0	0	0
Candiacervus_major	1	0.472341641	0
Candiacervus_rethymnensis	1	0.990571083	0
Candiacervus_ropalophorus	1	1.038334535	0
Candiacervus_sp_II	1	0.967773603	0
Canis_aureus	2	0	0.38
Canis_lupus	2	0	0.3323
Capreolus_miyakoensis	2	0	0.16605921
Capricornis_crispus	2	0	0.273289803
Capricornis_sp_Hondo	2	0	0.204227436
Capricornis_sumatraensis_FOSSIL	2	1.263073304	0.7
Capromys_pilorides	2	0	0.05904
Capromys_pilorides_lewisi	2	0	0.002285917
Catopuma_badia	2	0	0.328678863
Cervus_elaphus	2	0	0.22
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.121662875
Cervus_nippon	2	4	0.5
Chalinolobus_tuberculatus	2	0	0.0075
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.3323
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.025330558
Crocidura_canariensis	2	0	0.02311
Crocidura_dsinezumi	2	0	0.3372
Crocidura_foetida	2	0	0.328763125
Crocidura_palawanensis	2	0	0.365519765
Crocidura_rhoditis	2	0	0.072503563
Crocidura_sicula_esuae	0	0	0
Crocidura_sicula_sicula_FOSSIL	2	0	0.22
Crocidura_zimmermanni	2	1.15	0.09
Crocidura_zimmermanni_FOSSIL	2	1.15	0.09
Cynocephalus_volans	2	0	0.135093112
Cynopterus_brachyotis	2	0	0.438577779
Cynopterus_horsfieldii	2	0	0.32896457
Cynotherium_malatestai	1	3.346708335	0
Cynotherium_sardous	2	3.88866	0.016670954
Dama_carburangelensis	2	0	0.107209004
Dasypterus_insularis	2	0	0.06024
Dobsonia_crenulata	2	0	0.214303222
Dobsonia_moluccensis	2	0	0.292842692
Dobsonia_peronii	2	0.68970359	0.47
Dobsonia_viridis	2	0	0.211
Duboisia_santeng	1	7.480667871	0
Echinosorex_gymnura	2	0	0.328893114
Elasmodontomys_obliquus	2	0	0.039567944
Elephas_maximus	2	1.631682494	0.7
Elephas_sp_Luzon_Visayan	1	5.555954303	0
Elephas_sp_Sulawesi	0	0	0
Emballonura_alecto	2	0	0.153293763
Emballonura_semicaudata	2	0	0.0345
Enhydrictis_galictoides	1	3.866813577	0
Enhydrictis_praegalictoides	0	0	0
Eonycteris_spelaea	2	0	0.462365142
Epileptobos_groeneveldtii	1	6.651914174	0
Eptesicus_serotinus	2	3.78	0.22
Erinaceus_europaeus	2	0	0.22
Eulemur_fulvus	2	0	0.02
Eulemur_mongoz	2	0	0.02
Funambulus_layardi	2	0	0.350534772
Galeopterus_variegatus	2	0	0.206543088
Genetta_plesictoides	2	0	0.024279078
Geocapromys_brownii	2	0	0.01208
Geocapromys_caymanensis	0	0	0
Geocapromys_columbianus	2	0	0.057194665
Geocapromys_ingrahami_abaconis	2	0	0.007774212
Geocapromys_ingrahami_FOSSIL	2	0	0.01278
Geocapromys_ingrahami_irrectus	2	0	0.005475583
Helarctos_malayanus	2	9.013946207	0.7
Hemigalus_derbyanus	2	0	0.329047243
Hippopotamus_creutzburgi	0	0	0
Hippopotamus_lemerlei	2	0	0.013718639
Hippopotamus_madagascariensis	2	0	0.013512814
Hippopotamus_minor	2	0	0.102766131
Hippopotamus_pentlandi	0	0	0
Hipposideros_commersoni	2	0	0.02
Hipposideros_diadema	2	0	0.672362834
Hipposideros_galeritus	2	0	0.329048918
Hipposideros_larvatus	2	0	0.328346048
Homo_floresiensis	2	9.471448418	0.051295193
Hylobates_moloch	2	12.3	0.7
Hylobates_muelleri	2	0	0.361697673
Hylopetes_nigripes	2	0	0.250478815
Hyperplagiodontia_araeum	2	0	0.002816804
Hypnomys_eliomyoides	0	0	0
Hypnomys_mahonensis	0	0	0
Hypnomys_morpheus	0	0	0
Hypnomys_onicensis	0	0	0
Hypnomys_waldreni	0	0	0
Hypolagus_peregrinus	0	0	0
Hystrix_brachyura	2	10.53355827	0.7
Hystrix_javanica	2	9.51395134	0.7
Hystrix_pumila	2	0	0.363578759
Kritimys_catreus	1	0.110700952	0
Lasiurus_minor	2	0	0.06024
Lasiurus_pfeifferi	2	0	0.05904
Leithia_cartei	0	0	0
Leithia_melitensis	0	0	0
Leopoldamys_sabanus	2	2.469211528	0.7
Lepus_corsicanus	2	0	0.22
Loris_lydekkerianus	2	0	0.351011381
Loris_tardigradus	2	0	0.351660268
Lutra_castiglionis	0	0	0
Lutra_lutra	2	0	0.38
Lutra_sumatrana	2	0	0.328820124
Lutra_trinacriae	0	0	0
Lutrogale_cretensis	1	0.268477831	0
Macaca_cyclopis	2	4	0.5
Macaca_fascicularis	2	12.13235861	0.7
Macaca_fuscata	2	0	0.3372
Macaca_majori	0	0	0
Macaca_maura	2	0	0.136530883
Macaca_nemestrina	2	0	0.63
Macaca_nigra	2	0	0.174641849
Macaca_sinica	2	0	0.38
Malpaisomys_insularis	2	0	0.010703956
Maltamys_wiedincitensis	0	0	0
Mammuthus_creticus	0	0	0
Mammuthus_exilis	2	0	0.010723464
Mammuthus_lamarmorai	1	3.671220153	0
Manis_culionensis	2	0	0.322057678
Manis_javanica	2	0	0.580911051
Martes_flavigula	2	0	0.3289044
Martes_melampus	2	0	0.3372
Maxomys_hellwaldii	2	0	0.16648569
Maxomys_musschenbroekii	2	0	0.291772076
Maxomys_panglima	2	0	0.340270083
Megaderma_spasma	2	0	0.354971832
Megalenhydris_barbaricina	1	0.194548836	0
Megalomys_audreyae	2	0	0.03430759
Megalomys_camerhogne	2	0	0.007676967
Megalomys_curazensis	0	0	0
Megalomys_desmarestii	2	0	0.021215918
Megalomys_georginae	2	0	0.031801874
Megalomys_luciae	2	0	0.004954632
Megaoryzomys_curioi	2	0	0.002898719
Meles_anakuma	2	0	0.3372
Melogale_everetti	2	0	0.45
Melomys_caurinus	2	0	0.023258319
Melomys_matambuai	2	0	0.187275156
Melomys_talaudium	2	0	0.023275057
Mesocapromys_gracilis	0	0	0
Mesocapromys_kraglievichi	2	0	0.053473727
Mesocapromys_minimus	2	0	0.05522466
Mesocapromys_nanus	2	0	0.05904
Mesocapromys_sanfelipensis	2	0	0.05904
Microtus_(Terricola)_ex_gr_Microtus_savii	2	0	0.192887362
Microtus_(Tyrrhenicola)_henseli	2	3.88866	0.096541042
Microtus_miguelensis	0	0	0
Microtus_montebelli	2	0	0.3372
Miniopterus_australis	2	0	0.45
Miniopterus_macrocneme	2	0	0.43
Miniopterus_tristis	2	0	0.329456363
Mogera_wogura	2	0	0.45
Mops_leucostigma	2	0	0.02
Mormoops_blainvillei	2	0	0.06024
Moschiola_kathygre	2	0	0.351142592
Moschiola_meminna	2	0	0.38
