species	index_ext_event	pre_sapiens	sapiens
Acerodon_mackloti	2	0	0.379714945
Aegialomys_galapagoensis	2	0	0.00415
Agathaeromys_praeuniversitatis	0	0	0
Algarolutra_majori	1	1.806022794	0
Amblyrhiza_inundata	0	0	0
Antillomys_rayi	2	0	0.049334428
Aonyx_cinereus	2	0	0.569203321
Apodemus_argenteus	2	0	0.3372
Apodemus_mystacinus_FOSSIL	2	0.966041076	0.4
Apodemus_speciosus	2	0	0.3372
Apodemus_sylvaticus	2	0	0.22
Arctictis_binturong	2	9.004942174	0.7
Arctogalidia_trivirgata	2	0	0.374471106
Asoriculus_burgioi	0	0	0
Asoriculus_corsicanus	2	0	0.099137904
Asoriculus_similis	1	3.885731339	0
Axis_calamianensis	2	0	0.413354508
Axis_kuhlii	2	0	0.447402229
Bibos_palaesondaicus	1	8.380525308	0
Bison_priscus_siciliae	0	0	0
Bison_sp_Hondo	2	0	0.150029085
Boromys_offella	2	0	0.057064212
Boromys_torrei	2	0	0.056310343
Bos_javanicus	2	0.216418688	0.7
Bos_primigenius_bubaloides	0	0	0
Bos_primigenius_siciliae	0	0	0
Brotomys_contractus	2	0	0.032735358
Brotomys_voratus	2	0	0.057621447
Bubalus_cebuensis	0	0	0
Bubalus_grovesi	2	1.485	0.432311956
Bubalus_mindorensis	2	0	0.269369691
Bubalus_palaeokerabau	1	9.914589278	0
Bubalus_sp_Hondo	0	0	0
Bubalus_sp_Luzon	1	6.652507925	0
Callosciurus_notatus	2	0	0.647193419
Callosciurus_prevostii	2	0	0.374325298
Canariomys_bravoi	2	0	0.006428125
Canariomys_tamarani	2	0	0.014164592
Candiacervus_cerigensis	0	0	0
Candiacervus_cretensis	1	1.027005812	0
Candiacervus_dorothensis	0	0	0
Candiacervus_major	1	0.487559217	0
Candiacervus_rethymnensis	1	1.002189082	0
Candiacervus_ropalophorus	1	1.070084633	0
Candiacervus_sp_II	1	0.940207827	0
Canis_aureus	2	0	0.38
Canis_lupus	2	0	0.3323
Capreolus_miyakoensis	2	0	0.167626005
Capricornis_crispus	2	0	0.303778225
Capricornis_sp_Hondo	2	0	0.194947512
Capricornis_sumatraensis_FOSSIL	2	1.117040185	0.7
Capromys_pilorides	2	0	0.05904
Capromys_pilorides_lewisi	2	0	0.002540533
Catopuma_badia	2	0	0.374461397
Cervus_elaphus	2	0	0.22
Cervus_elaphus_rossii	0	0	0
Cervus_elaphus_siciliae	2	0	0.12807995
Cervus_nippon	2	4	0.5
Chalinolobus_tuberculatus	2	0	0.0075
Chasmaporthetes_melei	0	0	0
Chimarrogale_platycephalus	2	0	0.3323
Cordimus_debuisonjei	0	0	0
Cordimus_hooijeri	2	0	0.022682994
Crocidura_canariensis	2	0	0.02311
