species	ts	te	endemism	bm	body_size_change	island_type
Acerodon_mackloti	3.101742322	0	1	2	4	1
Aegialomys_galapagoensis	1.181431353	0	1	2	5	1
Algarolutra_majori	12.51461652	0.838230201	1	3	2	1
Amblyrhiza_inundata	8.950046529	7.070459672	1	4	6	1
Antillomys_rayi	6.306517275	0.017634072	1	2	5	1
Aonyx_cinereus	4.227304021	0	0	3	4	0
Apodemus_argenteus	12.47636758	0	1	1	4	0
Apodemus_speciosus	12.76772496	0	1	1	4	0
Apodemus_sylvaticus	4.071466091	0	0	1	4	0
Arctictis_binturong	3.225571537	0	0	3	1	0
Arctogalidia_trivirgata	3.099981181	0	0	3	1	0
Asoriculus_corsicanus	9.204541105	0.082089232	1	1	5	1
Asoriculus_similis	11.4697181	0.962393177	1	1	5	1
Axis_calamianensis	3.534859786	0	1	4	1	0
Axis_kuhlii	4.023170117	0	1	4	1	0
Bison_priscus_siciliae	3.221171849	1.695142591	1	5	1	0
Bison_sp_Hondo	12.13700676	1.157178224	1	6	5	0
Boromys_offella	12.8382654	0.021529853	1	2	3	1
Boromys_torrei	12.85187927	0.030751809	1	2	1	1
Bos_javanicus	9.136921045	0	0	5	2	0
Bos_primigenius_siciliae	11.9915106	0.885351838	1	5	1	0
Brotomys_contractus	11.34874717	0.139059085	1	2	1	1
Brotomys_voratus	12.69884106	0.027960529	1	2	4	1
Bubalus_cebuensis	7.009062069	5.414929841	1	5	1	1
Bubalus_grovesi	12.48442759	0.123512955	1	5	1	1
Bubalus_mindorensis	2.381981532	0	1	5	1	1
Bubalus_sp_Hondo	6.841033572	5.356899637	1	5	1	0
Bubalus_sp_Luzon	6.735360061	5.097385373	1	5	1	1
Callosciurus_notatus	5.446380992	0	0	2	3	0
Callosciurus_prevostii	3.111246703	0	0	2	2	0
Canariomys_bravoi	7.815859872	0.099742654	1	3	6	1
Canariomys_tamarani	1.228132663	0.078826625	1	3	5	1
Candiacervus_cerigensis	9.393918531	7.639707699	1	4	1	1
