species	ts	te	endemism	bm	body_size_change	island_type
Acerodon_mackloti	0.177233395	0	1	2	4	1
Aegialomys_galapagoensis	0.043417091	0	1	2	5	1
Agathaeromys_praeuniversitatis	1.918774637	1.10378637	1	1	1	1
Algarolutra_majori	0.600722177	0.059597757	1	3	2	1
Amblyrhiza_inundata	2.719169045	0.189235306	1	4	6	1
Antillomys_rayi	0.311397584	0.000817138	1	2	5	1
Aonyx_cinereus	0.226152035	0	0	3	4	0
Apodemus_argenteus	4.575534965	0	1	1	4	0
Apodemus_mystacinus_FOSSIL	0.63633939	0	1	1	3	1
Apodemus_speciosus	2.833897789	0	1	1	4	0
Apodemus_sylvaticus	0.358182551	0	0	1	4	0
Arctictis_binturong	3.736642813	0	0	3	1	2
Arctogalidia_trivirgata	0.137324933	0	0	3	1	0
Asoriculus_burgioi	7.058863528	6.284986668	1	1	5	0
Asoriculus_corsicanus	2.867608362	0.004425886	1	1	5	1
Asoriculus_similis	3.593853359	0.05800922	1	1	5	1
Axis_calamianensis	0.173062098	0	1	4	1	1
Axis_kuhlii	0.183451733	0	1	4	1	0
Bibos_palaesondaicus	3.934351837	0.675196861	1	5	1	0
Bison_priscus_siciliae	1.7740496	0.116060632	1	5	1	0
Bison_sp_Hondo	1.869264379	0.075705753	1	6	5	0
Boromys_offella	0.617120252	0.000752387	1	2	3	1
Boromys_torrei	0.612647343	0.001094542	1	2	1	1
Bos_javanicus	0.368987077	0	0	5	2	0
Bos_primigenius_bubaloides	0.673818133	0.490476021	1	5	1	0
Bos_primigenius_siciliae	2.108352311	0.130527758	1	5	1	0
Brotomys_contractus	0.56856008	0.01170822	1	2	1	1
Brotomys_voratus	0.533101336	0.001037634	1	2	4	1
Bubalus_cebuensis	0.354259385	0.256674194	1	5	1	1
Bubalus_grovesi	6.172728613	0.008880548	1	5	1	1
Bubalus_mindorensis	0.09044978	0	1	5	1	1
Bubalus_palaeokerabau	4.724853414	0.848780709	1	6	4	0
Bubalus_sp_Hondo	3.435283958	0.219400456	1	5	1	0
Bubalus_sp_Luzon	3.416853931	0.177821567	1	5	1	1
Callosciurus_notatus	0.292073378	0	0	2	3	0
Callosciurus_prevostii	0.13740556	0	0	2	2	0
Canariomys_bravoi	0.360736119	0.005848636	1	3	6	1
Canariomys_tamarani	0.042895581	0.004069023	1	3	5	1
Candiacervus_cerigensis	0.405696442	0.297347696	1	4	1	1
Candiacervus_cretensis	0.573061308	0.076524065	1	4	1	1
Candiacervus_dorothensis	0.692853188	0.546658032	1	5	5	1
Candiacervus_major	0.891941338	0.284017501	1	5	5	1
Candiacervus_rethymnensis	0.572209116	0.110711009	1	4	4	1
Candiacervus_ropalophorus	0.746303097	0.061876419	1	4	1	1
Candiacervus_sp_II	0.579129149	0.113442515	1	4	1	1
Canis_aureus	0.227412188	0	0	3	1	0
Canis_lupus	2.181756426	0	0	4	2	0
Capreolus_miyakoensis	1.946970945	0.026016865	1	4	5	0
Capricornis_crispus	0.111278612	0	1	4	1	0
Capricornis_sp_Hondo	1.229965607	0.059901172	1	4	1	0
Capricornis_sumatraensis_FOSSIL	0.67253267	0	1	5	5	0
Capromys_pilorides	0.615920613	0	1	3	5	1
Capromys_pilorides_lewisi	0.08508749	0.000831113	1	3	5	1
Catopuma_badia	0.137093255	0	1	3	1	0
Cervus_elaphus	1.216310124	0	0	5	2	0
Cervus_elaphus_rossii	1.189432893	0.554175588	1	5	3	1
Cervus_elaphus_siciliae	2.717205099	0.039569441	1	5	1	0
Cervus_nippon	2.430775035	0	0	4	2	0
Chalinolobus_tuberculatus	0.131813111	0	1	0	2	1
Chasmaporthetes_melei	4.769866058	4.032924044	1	4	2	1
Chimarrogale_platycephalus	0.675832647	0	1	1	2	0
Cordimus_debuisonjei	10.52495384	9.19618185	1	1	2	1
Cordimus_hooijeri	0.025338166	0.007262058	1	1	4	1
Cordimus_raton	12.30556433	11.54244976	1	1	5	1
Crocidura_canariensis	0.344320522	0	1	0	1	1
Crocidura_dsinezumi	3.958043127	0	1	0	4	0
Crocidura_foetida	0.13758217	0	1	0	1	0
Crocidura_palawanensis	0.118960777	0	1	1	4	1
Crocidura_rhoditis	0.036851194	0	1	1	5	1
Crocidura_sicula_esuae	2.70835168	0.376443324	1	0	4	0
Crocidura_sicula_sicula_FOSSIL	0.801193604	0	1	0	3	0
Crocidura_zimmermanni	4.918508222	0	1	0	2	1
Crocidura_zimmermanni_FOSSIL	8.773736939	0	1	0	4	1
Cynocephalus_volans	0.062849203	0	1	3	2	1
Cynopterus_brachyotis	0.186245739	0	0	1	4	2
Cynopterus_horsfieldii	0.137410357	0	0	2	5	0
Cynotherium_malatestai	3.698325792	0.185455248	1	3	1	1
Cynotherium_sardous	4.986111294	0.041342739	1	4	1	1
Dama_carburangelensis	2.686486891	0.042476802	1	4	1	0
Dasypterus_insularis	0.607867701	0	1	1	5	1
