species	ts	te	endemism	bm	body_size_change	island_type
Acerodon_mackloti	0.174360896	0	1	2	4	1
Aegialomys_galapagoensis	0.045857331	0	1	2	5	1
Agathaeromys_praeuniversitatis	1.718860645	1.102599904	1	1	1	1
Algarolutra_majori	0.627144187	0.061408574	1	3	2	1
Amblyrhiza_inundata	2.631273101	0.146061323	1	4	6	1
Antillomys_rayi	0.331906633	0.000799493	1	2	5	1
Aonyx_cinereus	0.216787228	0	0	3	4	0
Apodemus_argenteus	4.002604482	0	1	1	4	0
Apodemus_mystacinus_FOSSIL	0.562703215	0	1	1	3	1
Apodemus_speciosus	2.745584755	0	1	1	4	0
Apodemus_sylvaticus	0.376249871	0	0	1	4	0
Arctictis_binturong	3.82754415	0	0	3	1	0
Arctogalidia_trivirgata	0.133882302	0	0	3	1	0
Asoriculus_burgioi	6.483536268	5.666362838	1	1	5	0
Asoriculus_corsicanus	2.743911368	0.00483515	1	1	5	1
Asoriculus_similis	3.466681297	0.054290673	1	1	5	1
Axis_calamianensis	0.179490632	0	1	4	1	0
Axis_kuhlii	0.183973272	0	1	4	1	0
Bibos_palaesondaicus	4.032881273	0.680328873	1	5	1	0
Bison_priscus_siciliae	1.904871711	0.124789231	1	5	1	0
Bison_sp_Hondo	2.019267866	0.074991197	1	6	5	0
Boromys_offella	0.612913541	0.000777895	1	2	3	1
Boromys_torrei	0.604755418	0.001139876	1	2	1	1
Bos_javanicus	0.37308539	0	0	5	2	0
Bos_primigenius_bubaloides	0.60491465	0.480292271	1	5	1	0
Bos_primigenius_siciliae	2.020084281	0.135705116	1	5	1	0
Brotomys_contractus	0.493170554	0.009876059	1	2	1	1
Brotomys_voratus	0.513073389	0.001063366	1	2	4	1
Bubalus_cebuensis	0.3442725	0.251236773	1	5	1	1
Bubalus_grovesi	6.51874805	0.012376446	1	5	1	1
Bubalus_mindorensis	0.094716439	0	1	5	1	1
Bubalus_palaeokerabau	4.472769468	0.829264844	1	6	4	0
Bubalus_sp_Hondo	3.347124868	0.204518161	1	5	1	0
Bubalus_sp_Luzon	3.469785129	0.163506255	1	5	1	1
Callosciurus_notatus	0.281599647	0	0	2	3	0
Callosciurus_prevostii	0.13405886	0	0	2	2	0
Canariomys_bravoi	0.28397677	0.005892337	1	3	6	1
Canariomys_tamarani	0.044080953	0.004022618	1	3	5	1
Candiacervus_cerigensis	0.377866043	0.287066153	1	4	1	1
Candiacervus_cretensis	0.629839569	0.090824597	1	4	1	1
Candiacervus_dorothensis	0.651599664	0.520869069	1	5	5	1
Candiacervus_major	0.835161395	0.252468767	1	5	5	1
Candiacervus_rethymnensis	0.637131244	0.089415142	1	4	4	1
Candiacervus_ropalophorus	0.721650802	0.06847841	1	4	1	1
Candiacervus_sp_II	0.63933421	0.118258089	1	4	1	1
Canis_aureus	0.256317213	0	0	3	1	0
Canis_lupus	2.286679958	0	0	4	2	0
Capreolus_miyakoensis	2.034506707	0.026527648	1	4	5	0
Capricornis_crispus	0.111400279	0	1	4	1	0
Capricornis_sp_Hondo	1.145500585	0.056741179	1	4	1	0
Capricornis_sumatraensis_FOSSIL	0.6668109	0	1	5	5	0
Capromys_pilorides	0.612280522	0	1	3	5	1
Capromys_pilorides_lewisi	0.085705172	0.000731235	1	3	5	1
Catopuma_badia	0.134010457	0	1	3	1	0
Cervus_elaphus	1.123287113	0	0	5	2	2
Cervus_elaphus_rossii	1.083558767	0.595794329	1	5	3	1
Cervus_elaphus_siciliae	2.88308671	0.036893875	1	5	1	0
Cervus_nippon	2.637285376	0	0	4	2	0
Chalinolobus_tuberculatus	0.12440503	0	1	0	2	1
Chasmaporthetes_melei	5.836779398	5.046730157	1	4	2	1
Chimarrogale_platycephalus	0.70401216	0	1	1	2	0
Cordimus_debuisonjei	10.5712597	9.06202809	1	1	2	1
Cordimus_hooijeri	0.020719982	0.005690879	1	1	4	1
Crocidura_canariensis	0.297114624	0	1	0	1	1
Crocidura_dsinezumi	5.633299634	0	1	0	4	0
Crocidura_foetida	0.134014325	0	1	0	1	0
Crocidura_palawanensis	0.1221404	0	1	1	4	0
Crocidura_rhoditis	0.030448548	0	1	1	5	1
Crocidura_sicula_sicula_FOSSIL	0.706474809	0	1	0	3	0
Crocidura_zimmermanni	5.912614813	0	1	0	2	1
Crocidura_zimmermanni_FOSSIL	10.1577266	0	1	0	4	1
Cynocephalus_volans	0.05705866	0	1	3	2	1
Cynopterus_brachyotis	0.202723182	0	0	1	4	0
Cynopterus_horsfieldii	0.1337066	0	0	2	5	0
Cynotherium_sardous	6.062929183	0.041096136	1	4	1	1
Dama_carburangelensis	2.436916704	0.042684749	1	4	1	0
Dasyprocta_punctata	0.056351204	0	0	3	1	0
Dasypterus_insularis	0.569319117	0	1	1	5	1
Deinogalerix_brevirostris	24.94945199	22.87469306	1	3	6	1
Deinogalerix_koenigswaldi	24.62081272	23.57768803	1	3	6	1
Didelphis_marsupialis	0.055819987	0	0	3	2	0
Dobsonia_crenulata	0.083621244	0	1	2	5	1
Dobsonia_moluccensis	0.12525491	0	1	2	1	2
Dobsonia_peronii	0.303055556	0	1	2	1	1
Dobsonia_viridis	0.182627402	0	1	2	2	0
Duboisia_santeng	4.800685693	2.373743576	1	4	1	0
Echinosorex_gymnura	0.226291488	0	0	2	4	0
Elasmodontomys_obliquus	0.565704236	0.0027229	1	3	6	1
Elephas_maximus	0.830649926	0	0	6	1	0
Elephas_sp_Luzon_Visayan	3.271243653	0.678218563	1	6	1	1
Elephas_sp_Sulawesi	1.297757199	0.867776481	1	6	3	1
Emballonura_alecto	0.057256004	0	1	0	2	0
Emballonura_semicaudata	0.522434146	0	1	0	4	1
Enhydrictis_galictoides	2.87135191	0.056109824	1	3	2	1
Eonycteris_spelaea	0.180648916	0	0	1	3	2
Epileptobos_groeneveldtii	4.290991988	1.902551994	1	5	1	0
Eptesicus_serotinus	2.566903221	0	0	1	4	2
