species	ts	te	endemism	bm	body_size_change	island_type
Acerodon_mackloti	0.457202127	0	1	2	4	1
Aegialomys_galapagoensis	0.110219601	0	1	2	5	1
Agathaeromys_praeuniversitatis	4.641470924	3.176391927	1	1	1	1
Algarolutra_majori	1.861159344	0.131428091	1	3	2	1
Amblyrhiza_inundata	6.74676066	0.491670611	1	4	6	1
Antillomys_rayi	0.84923523	0.001587885	1	2	5	1
Aonyx_cinereus	0.503247301	0	0	3	4	0
Apodemus_argenteus	11.25380176	0	1	1	4	0
Apodemus_mystacinus_FOSSIL	1.537861764	0	1	1	3	1
Apodemus_speciosus	7.36709355	0	1	1	4	0
Apodemus_sylvaticus	0.982219385	0	0	1	4	0
Arctictis_binturong	9.501445934	0	0	3	1	2
Arctogalidia_trivirgata	0.328908589	0	0	3	1	0
Asoriculus_burgioi	17.99920232	15.85697108	1	1	5	0
Asoriculus_corsicanus	7.856583798	0.012509978	1	1	5	1
Asoriculus_similis	8.474542292	0.142132006	1	1	5	1
Axis_calamianensis	0.447534365	0	1	4	1	1
Axis_kuhlii	0.44654777	0	1	4	1	0
Bibos_palaesondaicus	10.06452363	1.630481853	1	5	1	0
Bison_priscus_siciliae	4.092402155	0.331158165	1	5	1	0
Bison_sp_Hondo	4.736250459	0.194069306	1	6	5	0
Boromys_offella	1.522872472	0.001933282	1	2	3	1
Boromys_torrei	1.514892148	0.003079748	1	2	1	1
Bos_javanicus	0.892292718	0	0	5	2	0
Bos_primigenius_bubaloides	1.588568697	1.082974487	1	5	1	0
Bos_primigenius_siciliae	4.554085097	0.368872246	1	5	1	0
Brotomys_contractus	1.494450186	0.019163012	1	2	1	1
Brotomys_voratus	1.338346094	0.002703044	1	2	4	1
Bubalus_cebuensis	0.92249914	0.639045128	1	5	1	1
Bubalus_grovesi	16.72551124	0.019039249	1	5	1	1
Bubalus_mindorensis	0.267694697	0	1	5	1	1
Bubalus_palaeokerabau	12.63760972	2.173265419	1	6	4	0
Bubalus_sp_Hondo	8.875892117	0.40567218	1	5	1	0
Bubalus_sp_Luzon	8.744825078	0.434705117	1	5	1	1
Callosciurus_notatus	0.679716227	0	0	2	3	0
Callosciurus_prevostii	0.329350744	0	0	2	2	0
Canariomys_bravoi	0.753092102	0.014674017	1	3	6	1
Canariomys_tamarani	0.096016772	0.009940778	1	3	5	1
Candiacervus_cerigensis	0.946098581	0.642111167	1	4	1	1
Candiacervus_cretensis	2.043175798	0.203832706	1	4	1	1
Candiacervus_dorothensis	1.86566556	1.315736153	1	5	5	1
Candiacervus_major	2.919480896	0.767658359	1	5	5	1
Candiacervus_rethymnensis	1.921991571	0.249428917	1	4	4	1
Candiacervus_ropalophorus	2.068429018	0.201665465	1	4	1	1
Candiacervus_sp_II	1.8836205	0.272226397	1	4	1	1
Canis_aureus	0.567454452	0	0	3	1	0
Canis_lupus	5.484367704	0	0	4	2	0
Capreolus_miyakoensis	4.37679525	0.06794079	1	4	5	0
Capricornis_crispus	0.273289803	0	1	4	1	0
Capricornis_sp_Hondo	4.288948636	0.128072564	1	4	1	0
Capricornis_sumatraensis_FOSSIL	1.963073304	0	1	5	5	0
Capromys_pilorides	1.501637553	0	1	3	5	1
Capromys_pilorides_lewisi	0.213222985	0.002184083	1	3	5	1
Catopuma_badia	0.328678863	0	1	3	1	0
Cervus_elaphus	2.928270039	0	0	5	2	0
Cervus_elaphus_rossii	3.157941089	1.343946631	1	5	3	1
Cervus_elaphus_siciliae	6.47804034	0.098337125	1	5	1	0
Cervus_nippon	5.877203548	0	0	4	2	0
Chalinolobus_tuberculatus	0.360650404	0	1	0	2	1
