species	ts	te	endemism	bm	body_size_change	island_type
Acerodon_mackloti	0.410291152	0	1	2	4	1
Aegialomys_galapagoensis	0.141155563	0	1	2	5	1
Agathaeromys_praeuniversitatis	4.095800715	2.678405135	1	1	1	1
Algarolutra_majori	2.179037029	0.146003043	1	3	2	1
Amblyrhiza_inundata	6.916097704	0.286879917	1	4	6	1
Antillomys_rayi	0.98451829	0.001680505	1	2	5	1
Aonyx_cinereus	0.533384314	0	0	3	4	0
Apodemus_argenteus	10.63112425	0	1	1	4	0
Apodemus_mystacinus_FOSSIL	1.959218954	0	1	1	3	1
Apodemus_speciosus	6.516537461	0	1	1	4	0
Apodemus_sylvaticus	0.964080227	0	0	1	4	0
Arctictis_binturong	10.47381694	0	0	3	1	0
Arctogalidia_trivirgata	0.343660265	0	0	3	1	0
Asoriculus_burgioi	15.82247762	13.62073659	1	1	5	0
Asoriculus_corsicanus	7.636040009	0.012455139	1	1	5	1
Asoriculus_similis	8.819889406	0.124671199	1	1	5	1
Axis_calamianensis	0.422437499	0	1	4	1	0
Axis_kuhlii	0.440832851	0	1	4	1	0
Bibos_palaesondaicus	10.24831499	1.667162633	1	5	1	0
Bison_priscus_siciliae	4.6604221	0.314196995	1	5	1	0
Bison_sp_Hondo	4.592591301	0.192622372	1	6	5	0
Boromys_offella	1.564269302	0.001962537	1	2	3	1
Boromys_torrei	1.534168593	0.002396816	1	2	1	1
Bos_javanicus	0.90129776	0	0	5	2	0
Bos_primigenius_bubaloides	1.480421695	0.985309939	1	5	1	0
Bos_primigenius_siciliae	4.204495392	0.354306753	1	5	1	0
Brotomys_contractus	1.332197732	0.033065939	1	2	1	1
Brotomys_voratus	1.37268017	0.002858769	1	2	4	1
Bubalus_cebuensis	0.912507164	0.632242265	1	5	1	1
Bubalus_grovesi	17.13250743	0.02509804	1	5	1	1
Bubalus_mindorensis	0.223536054	0	1	5	1	1
Bubalus_palaeokerabau	12.73433271	1.974719025	1	6	4	0
Bubalus_sp_Hondo	8.832988172	0.522572421	1	5	1	0
Bubalus_sp_Luzon	8.536807934	0.429515686	1	5	1	1
Callosciurus_notatus	0.640621688	0	0	2	3	0
Callosciurus_prevostii	0.342611279	0	0	2	2	0
Canariomys_bravoi	0.792108204	0.014913507	1	3	6	1
Canariomys_tamarani	0.098481836	0.010031492	1	3	5	1
Candiacervus_cerigensis	0.400035047	0.275142808	1	4	1	1
Candiacervus_cretensis	1.757980087	0.171460837	1	4	1	1
Candiacervus_dorothensis	1.660044144	1.18454343	1	5	5	1
Candiacervus_major	2.620238884	0.796046879	1	5	5	1
Candiacervus_rethymnensis	1.779029353	0.188471879	1	4	4	1
Candiacervus_ropalophorus	1.931386263	0.180440868	1	4	1	1
Candiacervus_sp_II	1.893929294	0.297430138	1	4	1	1
Canis_aureus	0.592628009	0	0	3	1	0
Canis_lupus	4.727850482	0	0	4	2	0
Capreolus_miyakoensis	5.235079705	0.066749185	1	4	5	0
Capricornis_crispus	0.264658305	0	1	4	1	0
Capricornis_sp_Hondo	3.592735661	0.1414679	1	4	1	0
Capricornis_sumatraensis_FOSSIL	1.932628395	0	1	5	5	0
Capromys_pilorides	1.552480916	0	1	3	5	1
Capromys_pilorides_lewisi	0.208803257	0.002036536	1	3	5	1
Catopuma_badia	0.341780331	0	1	3	1	0
Cervus_elaphus	2.560734262	0	0	5	2	2
Cervus_elaphus_rossii	3.416909735	1.29152425	1	5	3	1
Cervus_elaphus_siciliae	7.212081077	0.096101684	1	5	1	0
Cervus_nippon	6.464037547	0	0	4	2	0
Chalinolobus_tuberculatus	0.289314503	0	1	0	2	1
Chasmaporthetes_melei	12.44113681	10.4690471	1	4	2	1
Chimarrogale_platycephalus	2.251642164	0	1	1	2	0
Cordimus_debuisonjei	25.4277183	22.41481189	1	1	2	1
Cordimus_hooijeri	0.054182898	0.016115562	1	1	4	1
Crocidura_canariensis	0.610406893	0	1	0	1	1
Crocidura_dsinezumi	18.73201294	0	1	0	4	0
Crocidura_foetida	0.342960335	0	1	0	1	0
Crocidura_palawanensis	0.345456803	0	1	1	4	0
Crocidura_rhoditis	0.078787938	0	1	1	5	1
Crocidura_sicula_sicula_FOSSIL	1.733662485	0	1	0	3	0
Crocidura_zimmermanni	14.83979272	0	1	0	2	1
Crocidura_zimmermanni_FOSSIL	23.42241138	0	1	0	4	1
Cynocephalus_volans	0.125831136	0	1	3	2	1
Cynopterus_brachyotis	0.44645017	0	0	1	4	0
Cynopterus_horsfieldii	0.342448059	0	0	2	5	0
Cynotherium_sardous	13.06828789	0.103451086	1	4	1	1
Dama_carburangelensis	6.920403496	0.105077741	1	4	1	0
Dasyprocta_punctata	0.133763764	0	0	3	1	0
Dasypterus_insularis	1.740933215	0	1	1	5	1
