it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-362.0546482186624	-341.85904609100066	-20.195602127661726	0.05586809084931243	0.0	0.0	0.0	0.0	0.5620778370167049	0.4379221629832952	0.162580113123324	0.13625423807148468	0.16931645628939623	0.1772119796389233	0.15385592252817826	0.05386537369772669	0.14691591665096707	0.156167733929745	0.13879601112272819	0.11712705230941185	0.13100542305222196	0.13302789155623673	0.15163713009772364	0.17223875793193252	0.34813303966561276	0.3391111042260814	0.3127558561083058	0.8182337723145866	0.5818864953406274	0.35446699133648685	0.6773093553607632	0.5316356277307721	0.0	0.0
100	-357.57230996306185	-341.0615888005867	-16.510721162475118	0.05586809084931243	0.0	0.0	0.0	0.0	0.5914383395399798	0.4085616604600203	0.14127439954962348	0.15578799828505324	0.23131244004101156	0.1187480123232686	0.1120294693897976	0.11318472391296829	0.12766295649827722	0.16109105389024586	0.14172078632582366	0.12081958174579961	0.13513547987008565	0.13722170840509235	0.15641761893864545	0.1475937708243075	0.3153577219523781	0.34220429634849564	0.34243798169912637	0.3411564876008667	0.3536078891185432	0.2596300660924169	0.2311310215390159	0.0635584611355554	0.365731736294461	0.26230265483866966
200	-353.53268993310127	-338.896010391496	-14.636679541605227	0.05586809084931243	0.0	0.0	0.0	0.0	0.4640175103980654	0.5359824896019345	0.1401625851085828	0.12522082207929433	0.14329096429048246	0.12163683698552023	0.2069398754437406	0.11229397222014344	0.15045494387223607	0.16109105389024586	0.14172078632582366	0.12081958174579961	0.13513547987008565	0.13722170840509235	0.15641761893864545	0.1475937708243075	0.33440304244878494	0.36287095533770747	0.3027260022135077	0.2633898525782615	0.17593786891921676	0.09559658114235174	0.15634495287423322	0.02235830012337187	0.31508354190341786	0.20349011620660104
300	-370.36405920717374	-352.84324918820744	-17.52081001896629	0.055179467064723854	0.0	0.0	0.0	0.0	0.5665002724962865	0.43349972750371357	0.15737107723444574	0.13994872863494748	0.1556510960616775	0.0925812661731179	0.23234696403547778	0.1161006946034918	0.10600017325684181	0.16109105389024586	0.14172078632582366	0.12081958174579961	0.13513547987008565	0.13722170840509235	0.15641761893864545	0.1475937708243075	0.35257446056245784	0.3582419754536731	0.28918356398386913	0.11623881803647187	0.2628795364024085	0.1708634819002986	0.2938727311524919	0.057201745457245816	0.5103183096337089	0.397328748332681
400	-432.1759156981711	-415.80666962833465	-16.369246069836443	0.0556933448303159	0.0	0.0	0.0	0.0	0.556794710931977	0.44320528906802303	0.16050839036812703	0.14273871388575898	0.15875412005139514	0.12313637671094124	0.15000370715933384	0.13006298726745555	0.1347957045569882	0.16109105389024586	0.14172078632582366	0.12081958174579961	0.13513547987008565	0.13722170840509235	0.15641761893864545	0.1475937708243075	0.28364317822710255	0.5274909538335725	0.18886586793932492	0.19453127323161548	0.10129863161002245	0.13959351867973405	0.2958505235505451	0.05334632890403346	0.11616438223005378	-0.7999460832216172
500	-395.89874811588055	-372.9813818323214	-22.917366283559126	0.0556933448303159	0.0	0.0	0.0	0.0	0.5337425381595755	0.4662574618404244	0.16049255079854433	0.14272462789445628	0.14511098427978725	0.12312422515174487	0.16371505729948196	0.130050152164367	0.1347824024116182	0.10479127748443742	0.1145796927223614	0.18649827501361518	0.08790692733754725	0.10501200647919724	0.26151305128780356	0.13969876967503803	0.326694367721245	0.5328830744353971	0.14042255784335794	0.22779967670189522	0.20688455247953813	0.7669232234761215	0.47167049330009236	0.14404180022168886	0.08379289213902175	-0.41331595419943234
600	-423.37798762798855	-395.42900005851004	-27.948987569478486	0.06371084030664012	0.0	0.0	0.0	0.0	0.558481566317392	0.44151843368260796	0.15535715097398964	0.16486131408350294	0.14046775990891422	0.12636978457810955	0.12130423541337096	0.18619657770235465	0.1054431773397581	0.14210123667066404	0.11732124459723284	0.19983454112942656	0.06855053192629731	0.06256288427205402	0.28560929438669236	0.1240202670176329	0.34133252457366153	0.45893916364778653	0.19972831177855196	0.21560260101087872	0.259493182174582	0.37724134142006066	0.43727847772128575	0.35591208872257785	0.37119778815018967	-0.6114990192990675
700	-417.85193623235983	-395.56040031265786	-22.29153591970197	0.05662130715621571	0.0	0.0	0.0	0.0	0.5346719385127835	0.4653280614872166	0.1587551807801662	0.13860462557143768	0.14354012337583474	0.10650026400423526	0.17568215147440736	0.12558992373016295	0.15132773106375577	0.16780748264394355	0.16007004034885597	0.23731059871631746	0.0764365624494573	0.1738005429994376	0.10344161408516371	0.08113315875682445	0.4365742449218905	0.2090603838159175	0.354365371262192	0.20848007925383785	0.16383118373489441	0.33039451973248085	0.5248624465918922	0.07896994424061472	0.2320313914265518	-0.6246622899652459
800	-410.77985442477694	-387.1304103770998	-23.649444047677154	0.05662130715621571	0.0	0.0	0.0	0.0	0.5081824679262154	0.4918175320737847	0.16078403540273664	0.13206550736434075	0.14537453307134357	0.15556799277003966	0.10432096263221995	0.12719493401112533	0.17469203474819414	0.16294279382811955	0.0853398636333696	0.18575828915345585	0.09572641792315717	0.21648881293935698	0.13021192399603604	0.12353189852650485	0.3281581057207423	0.6007394259183187	0.0711024683609391	0.2090147043844642	0.1921420437351353	0.36091730856258847	0.5737757855531553	0.11606702289909906	0.6290376526045136	-0.40696532309713934
900	-443.36833944439417	-416.9575471787741	-26.41079226562003	0.05662130715621571	0.0	0.0	0.0	0.0	0.45130121320107297	0.5486987867989269	0.16078403540273664	0.13206550736434075	0.14537453307134357	0.15556799277003966	0.10432096263221995	0.12719493401112533	0.17469203474819414	0.17292495128394486	0.09056793132530791	0.20143273531450556	0.0918984700230882	0.239309656722659	0.07729767818298824	0.12656857714750613	0.22512800723988538	0.5691924254139489	0.20567956734616566	0.46514826993101166	0.15093922649467392	0.3733620293075551	0.45471766830595134	0.10007637450736898	-0.17434181987231678	-0.7924878728517967
1000	-467.0305852918027	-441.3351717057586	-25.69541358604406	0.0545440436148911	0.0	0.0	0.0	0.0	0.36128815871208037	0.6387118412879197	0.14187810537990542	0.19860147755980337	0.11231192734440736	0.13727539563665148	0.0920542919114677	0.11223860755962466	0.20564019460814004	0.12963168125657903	0.06303102716484071	0.2566463394752281	0.1277904860890049	0.19828389573327196	0.13701765181302794	0.0875989184680474	0.26051610321207663	0.43328565181305856	0.30619824497486486	0.7715474883880598	0.3027297437059576	0.8244148951602436	0.4114180378235432	0.31155027497776155	-0.13876342327932295	-0.9853840685518063
