it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-399.5694311081596	-382.341263804413	-17.22816730374663	0.29056911214852404	0.0	0.0	0.0	0.0	0.4347439332350627	0.5652560667649374	0.13872569284436048	0.14500355415329858	0.1489557742712198	0.1397749976442354	0.1439917943198728	0.14494033140168666	0.13860785536532633	0.11683027107863231	0.15241419978872459	0.13619609629421403	0.1439241196257291	0.1528516972472872	0.15005803836603537	0.14772557759937746	0.3235968527625405	0.36897774850369225	0.30742539873376723	0.5277077600190414	0.3446570400574592	0.508148665852864	0.38832415685464994	0.1326431983595261	0.0	0.0
100	-346.93324070893107	-338.02970639978804	-8.903534309143005	0.29056911214852404	0.0	0.0	0.0	0.0	0.49523396576882894	0.5047660342311711	0.13872569284436048	0.14500355415329858	0.1489557742712198	0.1397749976442354	0.1439917943198728	0.14494033140168666	0.13860785536532633	0.11683027107863231	0.15241419978872459	0.13619609629421403	0.1439241196257291	0.1528516972472872	0.15005803836603537	0.14772557759937746	0.3304222418596225	0.33501373529061873	0.3345640228497588	0.054468471848971925	0.0509972412021759	0.06342097175860953	0.04468553173289815	0.005773336428500608	-0.05496681319100432	0.7219767431958146
200	-381.5367416061549	-367.40037280430226	-14.136368801852631	0.3176789058715186	0.0	0.0	0.0	0.0	0.4714312117480985	0.5285687882519016	0.13872569284436048	0.14500355415329858	0.1489557742712198	0.1397749976442354	0.1439917943198728	0.14494033140168666	0.13860785536532633	0.12229538601370976	0.15954386842591037	0.14256711052780927	0.15065663722089118	0.16000183124736886	0.14011016049481922	0.12482500606949133	0.44358175371941966	0.1856302189286744	0.37078802735190597	0.0955141861204355	0.08218990590000994	0.12425077387548919	0.26194369839048154	0.017009086332098758	-0.6100902137306964	0.43104386382496973
300	-356.4651680126071	-340.49098064610683	-15.974187366500233	0.2900468317913548	0.0	0.0	0.0	0.0	0.4604535347002116	0.5395464652997884	0.13872569284436048	0.14500355415329858	0.1489557742712198	0.1397749976442354	0.1439917943198728	0.14494033140168666	0.13860785536532633	0.12229538601370976	0.15954386842591037	0.14256711052780927	0.15065663722089118	0.16000183124736886	0.14011016049481922	0.12482500606949133	0.3972918522932274	0.14481510021856386	0.4578930474882088	0.13859923434482527	0.06918704884540616	0.08091057168877845	0.2991333368812601	0.012460607680310449	-0.07741739764436181	0.5804037170104841
400	-353.2768451749835	-342.533360244792	-10.743484930191505	0.2685488460608023	0.0	0.0	0.0	0.0	0.5281659207551799	0.47183407924482007	0.13872569284436048	0.14500355415329858	0.1489557742712198	0.1397749976442354	0.1439917943198728	0.14494033140168666	0.13860785536532633	0.12229538601370976	0.15954386842591037	0.14256711052780927	0.15065663722089118	0.16000183124736886	0.14011016049481922	0.12482500606949133	0.2834585576782267	0.2845581288146096	0.4319833135071637	0.09756737531066652	0.07018878021509997	0.10464482124719315	0.20191776625773797	0.008647688480969678	-0.0693850962789791	0.5070289807485459
500	-363.06071932081437	-346.76824894009565	-16.292470380718715	0.2531249330690587	0.0	0.0	0.0	0.0	0.49853018252032244	0.5014698174796774	0.13018566642420376	0.13607705929790714	0.20134650322291922	0.1311703754701848	0.13512758393054636	0.136017728572048	0.13007508308219068	0.11838662270872158	0.18996545770098136	0.13801042929645993	0.1458414013038475	0.1548879074347361	0.1356320074601924	0.1172761740950612	0.23515959537679182	0.2807989468089092	0.48404145781429897	0.218645596203442	0.12208984121684488	0.1752223105319494	0.4223923686699455	0.06058785631795061	0.12236368153884719	0.42921500617762465
600	-379.6538770820134	-365.53762750558593	-14.116249576427482	0.23340174185571944	0.0	0.0	0.0	0.0	0.45817639206846844	0.5418236079315315	0.1409408991186291	0.1477440993125612	0.12571973833237476	0.1524392902490274	0.14508001843992688	0.1472547745659807	0.1408211799815001	0.12391794578284372	0.15211859078191645	0.14445862635260226	0.15265548122045322	0.16212466304693193	0.14196907861982774	0.12275561419542474	0.36136924774753043	0.358891680672381	0.27973907158008854	0.17239702760121384	0.12591070219573472	0.12823592690134927	0.5803653599241619	0.083890642293079	0.5135147805499715	0.48222377649979253
700	-368.1131267478466	-356.35299770449876	-11.760129043347813	0.23340174185571944	0.0	0.0	0.0	0.0	0.4040943659461109	0.5959056340538891	0.1409408991186291	0.1477440993125612	0.12571973833237476	0.1524392902490274	0.14508001843992688	0.1472547745659807	0.1408211799815001	0.12666912360367022	0.15549586830577072	0.1476658403387412	0.13384306924946704	0.1657240914781079	0.14512102063980367	0.12548098638443939	0.35753532688201684	0.3550840453753388	0.28738062774264445	0.17532694932540105	0.09100904979492645	0.1847596155819626	0.18819377775162235	0.028043890284825818	-0.12789776261903935	0.3498352392046346
800	-366.59705086972843	-351.0351903607398	-15.561860508988632	0.23366537170688115	0.0	0.0	0.0	0.0	0.4537684847153012	0.5462315152846987	0.1409408991186291	0.1477440993125612	0.12571973833237476	0.1524392902490274	0.14508001843992688	0.1472547745659807	0.1408211799815001	0.10403847219752342	0.1364218474147276	0.13149276241939878	0.15990164722511488	0.18177459243898172	0.11919376120695738	0.16717691709729635	0.3324412902813513	0.28759051598695523	0.37996819373169344	0.13241691522511512	0.10721636113574923	0.1440636167278881	0.2658929514240277	0.03235474923553352	-0.434888091819457	0.9590831896677144
900	-344.7008640115234	-332.8254861283033	-11.875377883220072	0.23634752582617868	0.0	0.0	0.0	0.0	0.4537684847153012	0.5462315152846987	0.1409408991186291	0.1477440993125612	0.12571973833237476	0.1524392902490274	0.14508001843992688	0.1472547745659807	0.1408211799815001	0.11392267777785595	0.16394369085688829	0.14398527089848906	0.10574040292385169	0.15883054891332024	0.13051779946682213	0.18305960916277267	0.3394460928372209	0.29365027703446034	0.36690363012831884	0.11271504977612869	0.11628420290469671	0.18585597054048306	0.16603895708763447	0.024021889757175934	0.14591912490946468	0.7301036981407297
