it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-361.87138247306785	-342.9082810462859	-18.96310142678195	0.2805745627414216	0.0	0.0	0.0	0.0	0.4612450893549478	0.5387549106450523	0.13527636309135035	0.13884079737473048	0.12448239640684053	0.1667818303231952	0.15119287500238238	0.13994319601087804	0.14348254179062306	0.15319676315824982	0.14721100744920257	0.14920796841839665	0.12260923263094657	0.128442972690532	0.15775188733548562	0.14158016831718664	0.34617096539798003	0.3252151852290631	0.3286138493729568	0.7740883061030608	0.4635068033957551	0.5591037298486152	0.7647604413888466	0.6492453033296461	0.0	0.0
100	-359.03213075500344	-333.9113279980919	-25.120802756911555	0.2805745627414216	0.0	0.0	0.0	0.0	0.5432933788084047	0.4567066211915953	0.1485385517523592	0.10869012848685566	0.13668636898856326	0.0581927811885532	0.14744075137672094	0.242902172556883	0.1575492456500647	0.15319676315824982	0.14721100744920257	0.14920796841839665	0.12260923263094657	0.128442972690532	0.15775188733548562	0.14158016831718664	0.14472593043024715	0.19722492814888262	0.6580491414208703	0.4589488555683743	0.3518194553430127	0.12937378316806003	0.5460976173047726	0.11168527194659103	0.21537066299665025	1.1359377218978477
200	-375.27155597079917	-349.9475358864719	-25.324020084327312	0.2759023093371851	0.0	0.0	0.0	0.0	0.5055705670928122	0.4944294329071878	0.10794494854021239	0.19081843045902955	0.13355469836466696	0.17708152225154464	0.08746340736766117	0.09088168891042281	0.2122553041064627	0.16306198862773894	0.15312194816245064	0.15881633232861433	0.13811954522689635	0.08762312112243863	0.14692279266198274	0.15233427186987844	0.16415466678986385	0.08945636738924123	0.746388965820895	0.5941529434065629	0.5543286387308138	0.5255561841756393	0.6239076341830325	0.237544561864344	0.5621536969875427	0.3961199082458676
300	-409.0256521158288	-385.3067460123359	-23.718906103492902	0.2759023093371851	0.0	0.0	0.0	0.0	0.49702631182212503	0.502973688177875	0.11358771708399931	0.24555668632400346	0.18229901667498613	0.10770659602850412	0.05154121050587376	0.15847560780687478	0.1408331655757584	0.16181649811984514	0.11537160832161278	0.11588678432678978	0.12896391124636017	0.16791653885570332	0.2076380336447083	0.10240662548498047	0.35963763025299683	0.32102803597911206	0.31933433376789117	0.3475430074360635	0.41031059542309845	0.370826777584856	0.39880950369220636	0.4742533445356973	-0.3805535482956381	-0.3169761517242148
400	-445.2639858785827	-423.8583610229108	-21.40562485567187	0.2759023093371851	0.0	0.0	0.0	0.0	0.5944274002396773	0.40557259976032267	0.12133471318649186	0.22803014259850926	0.14721341110980757	0.21920707640602347	0.0831884797669831	0.10330870022625788	0.09771747670592688	0.14324327351416635	0.17434446984120577	0.17458591160220244	0.06957546781257784	0.16020275233332712	0.15774906064484734	0.12029906425167305	0.3137540428118205	0.35482455934381435	0.3314213978443651	0.5687023129283902	0.430698784906405	0.32651362020870917	0.4067534105706278	0.17356247613909587	0.0761882862616928	-0.7233170546123212
500	-387.81238860017385	-367.55723270374796	-20.255155896425865	0.2759023093371851	0.0	0.0	0.0	0.0	0.5731169687128824	0.42688303128711763	0.13041087147927688	0.12894041822899374	0.1771278961743937	0.13592935658180288	0.15045519797429885	0.12751254365629988	0.14962371590493392	0.14801008842982175	0.18014626282535526	0.18039573922671823	0.07189078335652134	0.1655339406719965	0.13037040271702519	0.12365278277256161	0.36748915817502864	0.27407659723932465	0.35843424458564666	0.46655073608655384	0.352601649287336	0.25715313329928985	0.20441806218830436	0.08253132831010558	0.1695368252334811	-0.21041322141661184
600	-389.04797293184834	-373.0955771369911	-15.95239579485726	0.2759023093371851	0.0	0.0	0.0	0.0	0.47383627607017764	0.5261637239298224	0.1300226356889676	0.09811002961391167	0.12641403136662668	0.13552469215022478	0.15000728982040715	0.2107430382699569	0.14917828308990522	0.1404526255865843	0.17094791221227368	0.14279554739100433	0.12685396377196445	0.15708170191452528	0.12371363029803581	0.13815461882561206	0.29983342404431523	0.3886715805040059	0.31149499545167886	0.17625168086632373	0.18624829974763282	0.11409467829026641	0.11645133606710718	0.02394010914706151	0.15512857698321805	-0.26534614972942283
700	-347.3660181681981	-325.0047372427995	-22.36128092539858	0.28362765256270545	0.0	0.0	0.0	0.0	0.47383627607017764	0.5261637239298224	0.1300226356889676	0.09811002961391167	0.12641403136662668	0.13552469215022478	0.15000728982040715	0.2107430382699569	0.14917828308990522	0.14725556117871275	0.15152011862160683	0.09606016945591349	0.21579288312416922	0.1378027342168892	0.0700887070293922	0.18147982637331622	0.3380316394041031	0.4196720478901871	0.2422963127057098	0.25024872060336645	0.1556768434914401	0.43111717789182885	0.2343651153744619	0.07120110220188024	0.09225970655075674	0.2033021218565599
800	-403.43237146447234	-381.2593278413571	-22.17304362311525	0.28362765256270545	0.0	0.0	0.0	0.0	0.4515285663640396	0.5484714336359603	0.14481833574757222	0.10927429007684138	0.14079909656230435	0.15094648917013853	0.16707710889480418	0.12093091276545802	0.16615376678288135	0.15590640850720947	0.10435082731676083	0.10170343245841638	0.24555920342856163	0.07339615245267522	0.07420622014135647	0.24487775569501996	0.2802847267451089	0.3890052130230989	0.3307100602317923	0.13824594838898002	0.20447332962513606	0.3670206730595528	0.17297569389314724	0.04995722798253315	-0.12795679022065204	-0.3517831000843207
900	-396.7807164359446	-373.02089234710854	-23.759824088836087	0.28362765256270545	0.0	0.0	0.0	0.0	0.4608912367583123	0.5391087632416878	0.1457290714944641	0.10996149589007957	0.08343944311309102	0.17353960166937957	0.17798469967888117	0.17219211049491473	0.1371535776591898	0.14932763785778527	0.12493498755408583	0.1155526343848986	0.22940178309242018	0.07761116345427294	0.07557217397812883	0.22759961967840836	0.24067089864472682	0.35511538049125035	0.4042137208640228	0.4357110884791406	0.3099203652427746	0.7970034519567846	0.3573533198063076	0.32724158055093605	-0.2746291212737384	-0.24531948306349166
