it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-488.64316326803043	-468.99349898740064	-19.64966428062978	0.1242470264890116	0.0	0.0	0.0	0.0	0.5549493306640835	0.44505066933591647	0.1421606002848079	0.12894467710689922	0.14828795391568536	0.1345798649599106	0.16910032183402102	0.1401472766574927	0.13677930524118317	0.12982917869553173	0.14543582072488973	0.16887127018790216	0.13577913107762876	0.12468176605353966	0.13515522084890977	0.16024761241159824	0.37285492004148874	0.28403545784228107	0.34310962211623025	0.5783066930361309	0.3941161027465634	0.422831199401344	0.4437615900661977	0.7628207560141567	0.0	0.0
100	-505.2299134317878	-485.8285305811164	-19.40138285067138	0.1316921568403509	0.0	0.0	0.0	0.0	0.49086395350011913	0.5091360464998808	0.15712917392819914	0.09288264153965896	0.16390169748575908	0.18538301628133122	0.1074491008289925	0.16070864920498143	0.13254572073107784	0.11448089309581091	0.12182365591679296	0.19860262712329388	0.08498682521627349	0.21722133779056751	0.106074738235929	0.1568099226213322	0.3604876546574096	0.36085943355967637	0.27865291178291396	0.27803547565047737	0.35366392749898373	0.3856116635980997	0.2117889714935773	0.18156540743216076	-0.11056354847899033	-0.16085216324682056
200	-526.6312126839216	-504.5238069564219	-22.10740572749975	0.1316921568403509	0.0	0.0	0.0	0.0	0.4577785007104732	0.5422214992895268	0.145056947944889	0.1279151585858988	0.08527333993664804	0.21225658111277104	0.07100382261100656	0.14748508154159318	0.2110090682671933	0.1124309444562622	0.11964222431752622	0.1950463552051366	0.10137148087446468	0.213331670494628	0.10417531415338586	0.1540020104985965	0.4288881959016451	0.2799338091881871	0.2911779949101678	0.48997252034188227	0.38018899330047023	0.25399812824583123	0.30410205872709545	0.1169294726129493	0.2804209328578593	-0.22117969512220897
300	-479.7807707885926	-460.0474378939566	-19.73333289463597	0.1396273271293853	0.0	0.0	0.0	0.0	0.48216941525703366	0.5178305847429664	0.15805365378904934	0.190702431675705	0.1206821301035654	0.11749676499794208	0.14556003101245182	0.09309309559508425	0.17441189282620215	0.13525298880489847	0.18814152185607944	0.1463815408230662	0.12054184622746651	0.13768415027967723	0.1769302101090773	0.09506774189973492	0.396348287241745	0.2655893463081206	0.33806236645013443	0.2448228233260472	0.24191715062090752	0.543011882186358	0.3186396787002364	0.11584308145702499	-0.5097614370101233	0.24867892872636166
400	-466.2799571788932	-442.15583302397545	-24.12412415491773	0.1304151847699508	0.0	0.0	0.0	0.0	0.468838579899036	0.5311614201009639	0.14184006273290165	0.07632614837254337	0.16325622862906294	0.16169114978475008	0.1152452903821263	0.13472541376249209	0.20691570633612355	0.14222090143141922	0.15436581489862664	0.23046227322816668	0.10825159213417482	0.14942474295474775	0.09040773662565624	0.12486693872720865	0.3369450169661242	0.33282565553780685	0.33022932749606887	0.20880588054655289	0.32002833645632245	0.22866786191903543	0.1638145622487068	0.13487786070271635	-0.11198931847124716	0.31471073341570155
500	-455.7127703186692	-427.2089598483546	-28.50381047031461	0.1304151847699508	0.0	0.0	0.0	0.0	0.5991981282938295	0.40080187170617054	0.12240823049873224	0.12555149532570073	0.1060087613110408	0.249084419092327	0.17077056389475267	0.1563715517496541	0.06980497812779252	0.2016084019783828	0.08861898145293116	0.13872175430358624	0.1287072282392656	0.07112352904085008	0.12842295083555172	0.2427971541494323	0.31108579036328343	0.33065421928087757	0.3582599903558391	0.3750983595714455	0.36395278138974635	0.677883767010524	0.21428336095856138	0.22363540423568604	-0.09231487038069384	0.6539197538701893
600	-455.01727859253265	-426.16205713051573	-28.85522146201691	0.12095926498697147	0.0	0.0	0.0	0.0	0.5514278750256785	0.44857212497432153	0.12240823049873224	0.12555149532570073	0.1060087613110408	0.249084419092327	0.17077056389475267	0.1563715517496541	0.06980497812779252	0.13902104546737923	0.15923784411280292	0.3523309849562122	0.08450670592404001	0.07605692393048294	0.10538089858954451	0.0834655970195384	0.3753522896266424	0.20508020940580513	0.41956750096755246	0.16136564144326276	0.3145400789600092	0.636350277805097	0.2911044754225469	0.109826635908158	-0.10193920841667801	0.8228448280052014
700	-480.5542731177918	-455.7227286888755	-24.831544428916303	0.12095926498697147	0.0	0.0	0.0	0.0	0.5860085280929213	0.4139914719070787	0.11416399291910988	0.13526292387215305	0.14132493730018444	0.2508907605561558	0.19389731867145252	0.10236476330082488	0.062095303380119544	0.14303391615443228	0.1957078322245203	0.2149863251260556	0.07446862961825157	0.11691096270857673	0.15775311505572426	0.09713921911243922	0.36100901810839703	0.19724351516463778	0.4417474667269653	0.5319822635935797	0.391780063329671	0.4062970249309305	0.4107169575969626	0.3468843641502921	-0.631181628682253	0.4194800599811376
800	-471.6694872114461	-449.3408356253732	-22.328651586072905	0.13150061938703111	0.0	0.0	0.0	0.0	0.6166848995214901	0.38331510047850986	0.150588574263175	0.23102018418512454	0.144230445675467	0.2010764183857141	0.08987787608779696	0.08087519457452755	0.10233130682819483	0.13282161159266198	0.18888081494708253	0.10769970184318092	0.11300843556953459	0.1639851324297425	0.20115636532182027	0.09244793829597724	0.3918478058670334	0.25326703491672664	0.3548851592162399	0.29835360541487316	0.41712901969979227	0.4652505026786917	0.23896270823468738	0.13652553366332468	-0.23340465183674222	0.24980483025284844
900	-483.84244851827253	-460.68699227760203	-23.15545624067051	0.10925757553826214	0.0	0.0	0.0	0.0	0.5577917101948813	0.4422082898051188	0.13994738226571787	0.21469537237765274	0.13403854451815075	0.18686755304069802	0.15419075180941508	0.07516022929571951	0.09510016669264601	0.13464320939689808	0.2318815774169318	0.05563022530830879	0.14019896922136185	0.16014587906896488	0.16126623374971893	0.11623390583781563	0.3206718045168827	0.4509566896562397	0.22837150582687757	0.264297684250764	0.33455833287010833	0.400837748875843	0.3816985828837365	0.14551141913064575	0.08154302077736997	0.09649309303081229
1000	-487.64032286155486	-461.8189611171048	-25.82136174445008	0.11094519669750506	0.0	0.0	0.0	0.0	0.5176563329065318	0.4823436670934683	0.12361537705868061	0.08229655536979504	0.10912138970689984	0.2932692337484813	0.22237615809977185	0.06638895228898621	0.10293233372738507	0.13536906526132955	0.2283549907954588	0.0735679137386651	0.14095477595274028	0.1270211817693201	0.177871554559471	0.1168605179230152	0.31046058727331904	0.3485552998435689	0.340984112883112	0.18965136414560657	0.6059466265794088	0.44415542717960954	0.540439456569379	0.13102345365068585	-0.6900342618195868	0.4060215434281366
1100	-445.010501139515	-422.09374620637004	-22.91675493314495	0.1119437377405689	0.0	0.0	0.0	0.0	0.5919565653282792	0.40804343467172083	0.12755502458944393	0.10682774021049751	0.152145288055464	0.22328354546787596	0.18933596764397914	0.09463962562612173	0.1062128084066177	0.10898564216698135	0.18384861612092185	0.09279358686182765	0.14821655425316546	0.1329043467766883	0.1960173837465576	0.13723387007385776	0.3209799999991137	0.36036548512029026	0.318654514880596	0.2793999962739281	0.43130843371493177	0.1930169665540258	0.19707363636844114	0.11254638544024115	-0.0747939878759746	0.6999239537652125
