it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-443.33403149877955	-426.2272615694209	-17.10676992935869	0.11836005554896897	0.0	0.0	0.0	0.0	0.46876979211453024	0.5312302078854698	0.14942937390365496	0.12556665923204946	0.14556111626994322	0.13738890515530738	0.14399351019000278	0.14626145959133563	0.15179897565770661	0.1292945505440117	0.12297317186851137	0.14599622453670855	0.14149999201478958	0.13842233925726108	0.16351264286678574	0.15830107891193212	0.37960982217645445	0.28839121420285335	0.33199896362069226	0.7879132705902482	0.4555461775418314	0.4422073843128613	0.46670675329235	0.4313081027617251	0.0	0.0
100	-414.2879222819545	-383.82609666629617	-30.461825615658324	0.11836005554896897	0.0	0.0	0.0	0.0	0.5124416889547774	0.4875583110452226	0.16491341477171137	0.133640553436259	0.134291492799579	0.0601899487197463	0.08671939961074096	0.17333149325108604	0.2469136974108772	0.13284719050545213	0.06389044138755688	0.05306194084449821	0.09375915892158386	0.3744791951741543	0.08256030553824749	0.19940176762850714	0.32327292498003946	0.1266868485052224	0.550040226514738	2.4122639744948535	1.2341806597049185	1.1300153314163537	1.0203110676939353	2.8966065773314034	0.11095438565283783	0.6376300788842123
200	-424.2069650325714	-393.04551490398484	-31.16145012858657	0.11817682933946833	0.0	0.0	0.0	0.0	0.3221317152785703	0.6778682847214297	0.155051910214835	0.15927542333162487	0.10222394020774354	0.08285568760877068	0.08153374654780045	0.18691055819294894	0.23214873389627635	0.10169102813880472	0.044926955567340894	0.15187042784487936	0.045409006768661074	0.35257494823179114	0.08507634433143121	0.21845128911709139	0.2394902596691149	0.0652276220511002	0.6952821182797848	0.5459223845930631	0.3098811134941972	0.6525023625278467	0.829061679995668	0.34618592134009163	0.10351444080101828	0.9646276098652786
300	-433.5375876452605	-404.7077110354946	-28.8298766097659	0.1135039389526118	0.0	0.0	0.0	0.0	0.6981589537418508	0.3018410462581492	0.16039973569313867	0.16476892009525887	0.10574970000765897	0.08571342574693752	0.10361569373947942	0.13959685358219087	0.24015567113533567	0.106606536745949	0.03713406203379472	0.1810193146745309	0.0728275096580697	0.2571823541565356	0.11621950461080208	0.22901071812031798	0.23848132107320497	0.079647803448281	0.6818708754785141	0.6568108380875074	0.7321834384124875	0.7004584601056782	1.3564056050195672	0.6950500364121062	-0.19784166558292923	1.0951962748731678
400	-443.62703594853565	-419.4995204214567	-24.127515527078998	0.1135039389526118	0.0	0.0	0.0	0.0	0.509718447469636	0.490281552530364	0.1526664385109896	0.13765274331114055	0.10049395840262004	0.11578932834463064	0.13263550707549154	0.2041655718006976	0.1565964525544301	0.1409366142185307	0.09413143755464638	0.17122541014060572	0.11435611087211223	0.1850252528514507	0.13093971192124454	0.16338546244140978	0.21354354190657288	0.07131910363832461	0.7151373544551025	0.20101743119404988	0.28586928557242935	0.24071659565067205	0.5298677603800049	0.1424537509878373	-0.32586086841117123	1.1587523064596623
500	-421.4147574494685	-397.3234834928918	-24.09127395657667	0.10358808250569546	0.0	0.0	0.0	0.0	0.509718447469636	0.490281552530364	0.15778512484027457	0.1213711462546931	0.10386337643626464	0.15160828345827418	0.13333587153705426	0.22918916204114753	0.10284703543229173	0.12818949489287954	0.10080650056256235	0.15573879761803183	0.12177993451030872	0.1438349543223414	0.163676025171231	0.18597429292264522	0.23504575802284874	0.08921928143868822	0.6757349605384632	0.19471712528878937	0.21130825327971248	0.25377067647492535	0.5002776203391599	0.05769518958810001	-0.6722364710724769	0.772206331687
600	-436.8683852087234	-411.219472679869	-25.64891252885439	0.10358808250569546	0.0	0.0	0.0	0.0	0.3761562863855351	0.6238437136144649	0.14993569084012576	0.1583034904330696	0.11222007489109355	0.20400159171497215	0.10704782973561017	0.1534353943093053	0.11505592807582353	0.12512370127390596	0.13492591483301905	0.1520141319395925	0.18619169002293065	0.08277581416628677	0.15370001061303232	0.1652687371512328	0.20219920253805887	0.3202459911490929	0.47755480631284813	0.2849947907269985	0.4657442106178166	0.21608077818116803	0.45566849624525757	0.32927956380112444	-0.22208821406496282	0.1951103815582481
700	-532.4461186817712	-504.1017397737412	-28.34437890803001	0.10358808250569546	0.0	0.0	0.0	0.0	0.563699609831979	0.43630039016802097	0.14463186925963015	0.16251760482095756	0.10919952749158468	0.13971636847718952	0.08726279482999787	0.17727159960512928	0.17940023551551093	0.1076247052706268	0.11605604429399771	0.1241729689263809	0.3225469998407532	0.05523945120317902	0.1322045158023915	0.14215531466267078	0.16441987445497108	0.5227037334015925	0.3128763921434365	0.3233317916961799	0.2468479570182549	0.5561104059618752	0.7548401534917188	0.3686640725402194	-0.4854971962712538	1.4484032998684462
800	-406.8368277103963	-379.11443348350576	-27.722394226890515	0.10575841073566299	0.0	0.0	0.0	0.0	0.5609071369913	0.4390928630087	0.15433021688373855	0.09112615078483854	0.04247112782558731	0.33843147980157423	0.117549012597523	0.11168348893158124	0.14440852317515718	0.11469683753381982	0.07333602621088484	0.13233250495068438	0.4009750151798628	0.058869293478451656	0.11929289144032941	0.10049743120596709	0.2947546196715948	0.28066651831849726	0.42457886200990796	0.42656960563999224	0.5156444277028213	0.5909784688375009	0.5398453583149146	0.312383563732127	-0.15611583533280038	0.8657383225330517
900	-404.3390285797311	-377.73954533476945	-26.59948324496165	0.10575841073566299	0.0	0.0	0.0	0.0	0.6464990383892989	0.3535009616107012	0.1324731300421783	0.15028736372672266	0.049246039353569845	0.26312408476955174	0.19771931281189956	0.15870793002782874	0.048442139268249106	0.09626596392582612	0.09889797758969959	0.09563826150571968	0.20719957114422846	0.1015392045327301	0.2615561230253189	0.1389028982764772	0.332074474122342	0.39043868664397596	0.27748683923368206	0.9183903912399309	0.7024129105611152	0.41583610850076935	0.5236584401967481	0.47205424581307664	-0.05125600331821001	0.8613416512901472
