it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-362.79042684593406	-346.2774986849158	-16.51292816101822	0.05553407891373543	0.0	0.0	0.0	0.0	0.44995353650684944	0.5500464634931506	0.156237319421114	0.14882131609212318	0.1638332778850482	0.14098350925043163	0.12331821065911945	0.1137243236440418	0.15308204304812184	0.15973575186093691	0.14470888234890456	0.15403152751808075	0.13062249981928045	0.1245172302812621	0.14733218952754007	0.13905191864399513	0.34456210277190996	0.30031612210989767	0.35512177511819243	0.3749835802508032	0.30146818353075977	0.25009244529575164	0.3130735110400755	0.3642896993076463	0.0	0.0
100	-369.4867439603634	-356.0200497424707	-13.46669421789271	0.05553407891373543	0.0	0.0	0.0	0.0	0.4714874872124555	0.5285125127875446	0.156237319421114	0.14882131609212318	0.1638332778850482	0.14098350925043163	0.12331821065911945	0.1137243236440418	0.15308204304812184	0.15973575186093691	0.14470888234890456	0.15403152751808075	0.13062249981928045	0.1245172302812621	0.14733218952754007	0.13905191864399513	0.34456210277190996	0.30031612210989767	0.35512177511819243	0.13687175633360515	0.09576287271451243	0.15147487320746922	0.08934089240629284	0.015060679222950952	-0.7804808513952488	0.09700181515168246
200	-388.65331643846804	-375.3665064369188	-13.286810001549204	0.05396362968256652	0.0	0.0	0.0	0.0	0.5787450998550263	0.42125490014497374	0.15579507305341006	0.13998353142705144	0.16336953034814636	0.14058444041653734	0.12296914533376818	0.12464955139494265	0.15264872802614396	0.15973575186093691	0.14470888234890456	0.15403152751808075	0.13062249981928045	0.1245172302812621	0.14733218952754007	0.13905191864399513	0.33311751561446845	0.32355603462131716	0.34332644976421434	0.23806269082578282	0.10574201058179229	0.0739403544808985	0.14142575174955901	0.0190308117052031	-1.4988712495427943	0.1600611825549364
300	-405.7275692916583	-394.4799143387926	-11.247654952865727	0.05396362968256652	0.0	0.0	0.0	0.0	0.5287499002594634	0.4712500997405366	0.15579507305341006	0.13998353142705144	0.16336953034814636	0.14058444041653734	0.12296914533376818	0.12464955139494265	0.15264872802614396	0.15973575186093691	0.14470888234890456	0.15403152751808075	0.13062249981928045	0.1245172302812621	0.14733218952754007	0.13905191864399513	0.33311751561446845	0.32355603462131716	0.34332644976421434	0.1680362247411786	0.14962751388645062	0.11757474883346754	0.14865753194385764	0.0331007002007002	-1.7156545941415005	0.5397117360685706
400	-383.34524327639747	-372.792422093716	-10.552821182681463	0.04801602490317915	0.0	0.0	0.0	0.0	0.48101000351936446	0.5189899964806356	0.1525111196074183	0.13703286430130504	0.16837176775015286	0.13762110692652102	0.13300994183092713	0.12202210422461772	0.1494310953590579	0.15973575186093691	0.14470888234890456	0.15403152751808075	0.13062249981928045	0.1245172302812621	0.14733218952754007	0.13905191864399513	0.3155997978040032	0.34504618817749516	0.3393540140185017	0.26058492536131134	0.1576721754166787	0.16988864835028974	0.30294564427807374	0.03666158434294325	-0.984614607522933	-0.05192849442651784
500	-349.84962086891267	-340.67753281105513	-9.17208805785754	0.04801602490317915	0.0	0.0	0.0	0.0	0.45984554601373273	0.5401544539862673	0.1525111196074183	0.13703286430130504	0.16837176775015286	0.13762110692652102	0.13300994183092713	0.12202210422461772	0.1494310953590579	0.15791424382067373	0.14305872958332017	0.15227506622147344	0.14053623602519696	0.12309732813996767	0.14565212251256382	0.1374662736968041	0.3629477279252035	0.3410014815835909	0.29605079049120553	0.1076387463174162	0.15771276946808171	0.07312175184820721	0.14986478413971602	0.020308678168144415	-0.3731592793818431	0.32190766325967135
600	-367.99131206225206	-357.2789390006604	-10.712373061591684	0.04801602490317915	0.0	0.0	0.0	0.0	0.4242167418433554	0.5757832581566446	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.15791424382067373	0.14305872958332017	0.15227506622147344	0.14053623602519696	0.12309732813996767	0.14565212251256382	0.1374662736968041	0.3629477279252035	0.3410014815835909	0.29605079049120553	0.14198555302072527	0.09210890086245502	0.09216340022238792	0.07013923281646971	0.012534281779496186	-0.9816953797101817	0.37467915548448316
700	-363.58320905461073	-353.68946876126745	-9.893740293343285	0.04801602490317915	0.0	0.0	0.0	0.0	0.42615546611834015	0.5738445338816598	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.16068408368667747	0.14556800146907675	0.15494599405428858	0.1254611108227714	0.12525647400693465	0.148206882904929	0.13987745305532207	0.3629477279252035	0.3410014815835909	0.29605079049120553	0.22039810987016994	0.16676753235362307	0.1218140875764477	0.29677729215864174	0.061837008801475093	-0.8368840279251691	0.40201122774181886
800	-350.687187106985	-342.41569435528834	-8.271492751696673	0.04801602490317915	0.0	0.0	0.0	0.0	0.4584680536601972	0.5415319463398028	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.16068408368667747	0.14556800146907675	0.15494599405428858	0.1254611108227714	0.12525647400693465	0.148206882904929	0.13987745305532207	0.3828278666969092	0.27653981586501813	0.34063231743807265	0.14169751622209772	0.11034015258416788	0.11639532399293838	0.16648205130533558	0.01816787946496684	-0.29750860744296304	0.1622032174515339
900	-352.2222090198478	-340.6743494214859	-11.54785959836192	0.04801602490317915	0.0	0.0	0.0	0.0	0.45362414711605725	0.5463758528839427	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.16105024696530842	0.12180357526899685	0.15529908150322524	0.1375940783514213	0.13551220184052595	0.14854461341883582	0.14019620265168634	0.357871565411918	0.32370171784135	0.3184267167467321	0.08771688279942144	0.10925052897054317	0.1253771715123531	0.12334103459028598	0.04061078168219043	-0.1758008442835525	0.4659630853902668
