it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-424.24526484696037	-405.0332832236303	-19.21198162333009	0.29056911214852404	0.0	0.0	0.0	0.0	0.4445712272222371	0.5554287727777629	0.14647124373931186	0.12675004647123803	0.1389632155302951	0.1446000520151935	0.14368235812040095	0.14850308875165077	0.1510299953719098	0.15368444776086448	0.1474173456007723	0.14062270030147556	0.12620401239204918	0.1372851788101757	0.14793196481165646	0.14685435032300628	0.31171053418962613	0.3362778159458534	0.3520116498645205	0.5736277966288716	0.7502621339127892	0.36957303246401546	0.5228506110821017	0.48290928247026615	-0.03429168966566606	-0.21438835797018052
100	-441.34393750634285	-429.9488906567599	-11.395046849582986	0.30647357850906326	0.0	0.0	0.0	0.0	0.49309850124378074	0.5069014987562193	0.14647124373931186	0.12675004647123803	0.1389632155302951	0.1446000520151935	0.14368235812040095	0.14850308875165077	0.1510299953719098	0.15368444776086448	0.1474173456007723	0.14062270030147556	0.12620401239204918	0.1372851788101757	0.14793196481165646	0.14685435032300628	0.31625067145522345	0.34117578145009475	0.34257354709468185	0.119565641807721	0.08028025727393726	0.07856588195130661	0.04413010450814148	0.007898545032557875	-0.5498097003544924	-0.3044467245458604
200	-493.5306324346711	-488.4893274673292	-5.041304967341889	0.3076162208344152	0.0	0.0	0.0	0.0	0.4523459773671087	0.5476540226328913	0.14487393529661374	0.13327149272716468	0.1374477841614861	0.1430231494232449	0.1421154632280427	0.14988520265110752	0.1493829725123404	0.15368444776086448	0.1474173456007723	0.14062270030147556	0.12620401239204918	0.1372851788101757	0.14793196481165646	0.14685435032300628	0.31625067145522345	0.34117578145009475	0.34257354709468185	0.18973240865161473	0.06828027755795242	0.08393762557245409	0.08722517451655441	0.00988635757076604	0.010658839581281387	-0.942369716493809
300	-475.94511615936113	-461.855506937333	-14.089609222028091	0.30356206998385227	0.0	0.0	0.0	0.0	0.650884161620149	0.349115838379851	0.14537693539257796	0.1337342093193095	0.1379250007738584	0.14351972361885643	0.14260888595101454	0.14693361702756794	0.14990162791681522	0.15368444776086448	0.1474173456007723	0.14062270030147556	0.12620401239204918	0.1372851788101757	0.14793196481165646	0.14685435032300628	0.31127843054830867	0.3126801325737458	0.3760414368779455	0.33326786161808747	0.09157471154788369	0.05825567777761087	0.10524140366459925	0.003782679633145556	-0.1857910216075932	-0.7037956195730025
400	-475.87924333338776	-461.4320647057438	-14.44717862764395	0.30809896097922546	0.0	0.0	0.0	0.0	0.554630891793926	0.44536910820607395	0.14537693539257796	0.1337342093193095	0.1379250007738584	0.14351972361885643	0.14260888595101454	0.14693361702756794	0.14990162791681522	0.1482482205309661	0.1302727539986695	0.13564850178198562	0.1256194804965124	0.19779237368105454	0.14269921818700887	0.11971945132380284	0.3132993588284787	0.31471016119298717	0.3719904799785341	0.28337683255763413	0.06057389589941612	0.12351199329367206	0.07301948077719166	0.007533825087578123	0.10878807305848737	-0.6930543073192735
500	-402.4058862492988	-390.398894265015	-12.006991984283864	0.3185157501772384	0.0	0.0	0.0	0.0	0.40445308526310864	0.5955469147368914	0.14537693539257796	0.1337342093193095	0.1379250007738584	0.14351972361885643	0.14260888595101454	0.14693361702756794	0.14990162791681522	0.1623166812750308	0.11774676921462117	0.12227936037035113	0.13754051889903296	0.17448976103992664	0.15454632048740605	0.1310805887136312	0.2881119410169477	0.35292542385882303	0.3589626351242293	0.13616403021427986	0.15028051167737377	0.24760770697665954	0.2453388396355063	0.033207327791487246	-0.06790344474481157	-0.07504002866397297
600	-357.50954545434234	-344.0123541270069	-13.497191327335429	0.2901827441947168	0.0	0.0	0.0	0.0	0.5451812506906698	0.45481874930933014	0.14537693539257796	0.1337342093193095	0.1379250007738584	0.14351972361885643	0.14260888595101454	0.14693361702756794	0.14990162791681522	0.16766218663902493	0.12162447285842133	0.15297217838402283	0.14752350202202497	0.11518432289779326	0.15963592790582776	0.13539740929288496	0.2881119410169477	0.35292542385882303	0.3589626351242293	0.24538175310843377	0.059348300075685145	0.1083771405098761	0.06417034265839235	0.006413937227376582	0.1112800440034232	0.447219862667303
700	-380.8430770003977	-363.01730171348265	-17.825775286915075	0.2829651569225955	0.0	0.0	0.0	0.0	0.4598834196413819	0.5401165803586181	0.14612984837233325	0.1344268241537185	0.13346027977332858	0.1442630180243392	0.14334746309168003	0.14769459212395245	0.15067797446064793	0.13409311312750788	0.0972730018915412	0.12234431646518687	0.11798656597623734	0.09212228917247178	0.2300742401642997	0.20610647320275532	0.313658530244375	0.3669718538028021	0.31936961595282287	0.1503542213752198	0.05185281353198341	0.23676114626454725	0.08558617699315832	0.012871869289577875	0.3262822165095596	0.3425267293661526
800	-371.1060819767748	-349.02674309950487	-22.079338877269947	0.2829651569225955	0.0	0.0	0.0	0.0	0.4598834196413819	0.5401165803586181	0.14737222386025572	0.13556970217014067	0.13459494036490866	0.14548952198231557	0.17634090446369738	0.14895027084392193	0.11168243631476009	0.12443369468408812	0.08294385735301671	0.11353122443272974	0.11175248251523673	0.0854862456178973	0.2763795961274188	0.20547289926961268	0.30017517667357974	0.3941840654674807	0.30564075785893957	0.1561836610592761	0.3140404171977678	0.4080607655446368	0.14676419886833852	0.07812992297730272	0.06602072167577838	0.3635852806635616
900	-360.3042736066395	-341.3964487205028	-18.907824886136748	0.2829651569225955	0.0	0.0	0.0	0.0	0.452657922503191	0.5473420774968091	0.1460179661812552	0.11742245656637922	0.1333580978530074	0.1856575547963164	0.14096033603501412	0.1522517420630211	0.12433184650500649	0.12373100748021319	0.09800932083422097	0.1163858476390781	0.13005060772814434	0.11251733938779314	0.22502348731080343	0.1942823896197468	0.31479839467920495	0.32888885840192394	0.35631274691887105	0.15398947706042254	0.1510184330114488	0.3620490005328492	0.1003570706997201	0.02583882088936986	-0.14282668871504706	0.47518410555015944
