it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-364.8682098202093	-342.9082810462859	-21.959928773923416	0.2805745627414216	0.0	0.0	0.0	0.0	0.4909479156155911	0.5090520843844089	0.11847256344318574	0.12652482716170024	0.143294673743394	0.17434536861237881	0.1516938701246714	0.14334194918039533	0.14232674773427453	0.12724778796582467	0.14099158448335877	0.17269436204571373	0.19223241492225995	0.145469239693354	0.15868947636446157	0.06267513452502718	0.3292481726911046	0.38513710254982475	0.28561472475907057	0.46119536441951775	0.6127631571067754	0.7236355766694413	0.5114690487525565	0.6137505776558746	0.0	0.0
100	-338.2637020745709	-313.59487195892405	-24.668830115646845	0.2805745627414216	0.0	0.0	0.0	0.0	0.6743056491716444	0.32569435082835557	0.1237974361333703	0.179201414657528	0.20826094757921326	0.15391856859853903	0.09556673962982258	0.11708252842347598	0.12217236497805077	0.14900014293010608	0.21085814254224616	0.0641593421557167	0.16355259162077093	0.13625889052491827	0.13641680643175788	0.1397540837944842	0.4255787032832	0.15865668219131004	0.4157646145254899	0.4498294886779816	0.3215015487891737	0.3770715447765675	0.5196567567369342	0.3293246225051131	0.46051847483068264	0.8163274994346467
200	-318.73228592933754	-289.29115411802076	-29.44113181131676	0.2805745627414216	0.0	0.0	0.0	0.0	0.6171018373691918	0.3828981626308082	0.1179374625187527	0.1992638697153671	0.19840287865721495	0.14663280583188978	0.1304021369078307	0.0909715319739087	0.1163893143950361	0.12847317074144568	0.12034018149613014	0.048866048229405996	0.3363731311864505	0.05323163572646373	0.21971083556979193	0.0930049970503121	0.42671582890608756	0.18617548051648672	0.3871086905774257	0.26197797886922186	0.24414626048901036	0.627493985548414	0.44183579944807133	0.10391211596501228	-0.10446633251727162	1.0031107666433003
300	-339.93056716618327	-315.7044389470162	-24.22612821916707	0.2805745627414216	0.0	0.0	0.0	0.0	0.4749067911384804	0.5250932088615197	0.1111827869180868	0.18313738033611046	0.18703967772897154	0.1916315479284004	0.12293356743351323	0.0737079007512533	0.13036713890366425	0.11484477542423044	0.15867047496331596	0.12088531766320829	0.19887725647064833	0.0758533845675314	0.22775137836403242	0.10311741254703312	0.31694673012311353	0.5940513778116103	0.08900189206527605	0.5478599978100831	0.41861057396501966	0.44776243828777096	0.731824984487228	0.25805009573218846	-0.8294024174439765	0.8648491044514822
400	-376.2552050940331	-351.5048187711249	-24.75038632290816	0.2805745627414216	0.0	0.0	0.0	0.0	0.5239913794544893	0.47600862054551074	0.12854008173831458	0.14060429975522207	0.13985312269659464	0.1199789186342849	0.11979707896456067	0.1143047860108215	0.23692171220020158	0.10914981630794754	0.12829129158550998	0.180479924440209	0.10296260223048886	0.07209194289682364	0.21645757084280157	0.19056685169621956	0.290392620759357	0.5931066723669526	0.11650070687369035	0.24425124269106338	0.23598314895536562	0.40811760520476204	0.5888123298820115	0.08276753751790837	-0.9190355454080399	1.2525931622313227
500	-314.04542144136116	-292.39400120652397	-21.651420234837186	0.26000898447455956	0.0	0.0	0.0	0.0	0.5718381973917501	0.4281618026082498	0.13660037149028398	0.12383498887411784	0.16848242295365057	0.14758749035424285	0.12730912621733673	0.1551893004049719	0.14099629970539607	0.09124501945164562	0.15554208103843922	0.09355062342049987	0.06335582197470267	0.09186167379461056	0.2542637134850279	0.25018106683507413	0.2884516917255897	0.4179821155476754	0.2935661927267349	0.22580429441065192	0.2825758218690896	0.4766991031054346	0.2978789464909818	0.1445990173716733	0.21093179661002565	0.6560104249300189
600	-365.47369904171995	-344.32802607917915	-21.14567296254082	0.26000898447455956	0.0	0.0	0.0	0.0	0.48503006308248897	0.514969936917511	0.15010398847714984	0.1360766851527244	0.15435450763814468	0.1621772379519513	0.11603227382271583	0.12632083119122953	0.15493447576608446	0.13586443471171383	0.10189041678483425	0.08819319615541453	0.1088892582740726	0.14784862931423118	0.16497730664580743	0.2523367581139262	0.27390474555872246	0.39690280310817794	0.32919245133309954	0.2171925169867465	0.27913625821282806	0.3317103587647401	0.3607249520083352	0.07116685232991435	0.6615983538018437	1.0088179304878464
700	-344.3574264692482	-314.6676237101762	-29.689802759071984	0.26000898447455956	0.0	0.0	0.0	0.0	0.4777154766919079	0.5222845233080922	0.12593431044754486	0.2258962159929048	0.17726888114982284	0.18586416776045844	0.08647880667453775	0.12046315799585428	0.07809445997887704	0.19978635376140044	0.10250645622081117	0.05676154073481854	0.08727261436877233	0.18542865567107672	0.18108245897338712	0.1871619202697336	0.2908388014844689	0.35450425776810757	0.35465694074742343	0.17748379010827078	0.45718836954118136	0.523507042018115	0.2733410395853196	0.1743886382780383	0.5169601883460478	0.8098032976560083
800	-326.7638426713138	-297.8579948083568	-28.905847862956964	0.26000898447455956	0.0	0.0	0.0	0.0	0.5490781658548956	0.45092183414510456	0.10291334232347212	0.18460207169465648	0.1886411092978135	0.15188793788144503	0.16909051891242258	0.13665590212243148	0.06620911776775878	0.14197424301203448	0.16718164137240069	0.12326787736389133	0.26146865116928786	0.19352051236240891	0.04922225347864	0.06336482124133677	0.31455731125336717	0.29248723895514583	0.39295544979148705	0.1625443016104383	0.4405971850589591	0.5065282104612052	0.31914314930596493	0.18414872924391879	0.09022110894925078	0.510689007436237
900	-314.75423290595865	-291.4007518838959	-23.35348102206276	0.2327094169828452	0.0	0.0	0.0	0.0	0.557905160040609	0.44209483995939103	0.10291334232347212	0.18460207169465648	0.1886411092978135	0.15188793788144503	0.16909051891242258	0.13665590212243148	0.06620911776775878	0.13648688773205514	0.1362779269476817	0.16846749059490615	0.2543434051663181	0.09723053832589881	0.14459150578907967	0.06260224544406043	0.3460097728458546	0.335076719311746	0.3189135078423994	0.3528479480095689	0.3116240980216928	0.457776888577465	0.29098980641808714	0.22978896023199658	0.15282249335728743	0.6107232212880402
