it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-487.9569585185799	-468.99349898740064	-18.96345953117923	0.1242470264890116	0.0	0.0	0.0	0.0	0.5219105107947842	0.4780894892052157	0.11592614040572054	0.0730967672455269	0.23026382115043859	0.12807500585670548	0.15016386793111353	0.1891361132553651	0.11333828415512986	0.14191480559857417	0.13924181458351612	0.13297145144632896	0.1465274156063285	0.1780803571594074	0.14428331900310476	0.11698083660274	0.3496973770739597	0.329382870003536	0.3209197529225043	0.8811314308603126	0.5529986955214894	0.3457741510106179	0.45237882045689154	0.2829391040533995	0.0	0.0
100	-490.70871100032576	-469.014802176384	-21.693908823941744	0.12286573417391544	0.0	0.0	0.0	0.0	0.44577931143363697	0.554220688566363	0.10489336406061005	0.10786808333427235	0.19620552731019306	0.23760344112992934	0.12856654991018981	0.09978939244182118	0.1250736418129843	0.14209884359643252	0.14733717365208154	0.14908435644370946	0.0830227211207749	0.1670029895069132	0.1542928337283452	0.1571610819517432	0.35511123576008324	0.3439247005379714	0.3009640637019453	0.11591814806217371	0.3065390224406622	0.2582474938874438	0.14129022049756532	0.06623563544176124	-1.081963183144285	0.6193578781683303
200	-440.5762346461614	-428.76134040830914	-11.814894237852279	0.12286573417391544	0.0	0.0	0.0	0.0	0.46855815386905497	0.531441846130945	0.11789475863395066	0.1531767541889245	0.15944729655865975	0.125187037261043	0.11206842880720055	0.14724970102833226	0.1849760235218893	0.13861984536793648	0.14372992567487086	0.1313454564275469	0.12932505714781173	0.16291426443397614	0.14811044377849417	0.14595500716936377	0.3309088342491294	0.3204847108847626	0.348606454866108	0.09966036007324916	0.24772147124081673	0.08330651582763558	0.17570813837794444	0.026640045519778704	0.2258687218632831	1.0301424143435165
300	-572.839266392976	-560.847789463924	-11.991476929052018	0.12286573417391544	0.0	0.0	0.0	0.0	0.4427254730428027	0.5572745269571974	0.11789475863395066	0.1531767541889245	0.15944729655865975	0.125187037261043	0.11206842880720055	0.14724970102833226	0.1849760235218893	0.13861984536793648	0.14372992567487086	0.1313454564275469	0.12932505714781173	0.16291426443397614	0.14811044377849417	0.14595500716936377	0.3315995275441804	0.3190663847311516	0.3493340877246681	0.2396034816558365	0.22742853547328604	0.12885695200323224	0.2946374353055029	0.060232570843341986	-0.21684529836807548	1.5607573358806128
400	-478.5505410692879	-463.38344443861126	-15.167096630676603	0.12286573417391544	0.0	0.0	0.0	0.0	0.50833095244775	0.4916690475522501	0.12282011733992891	0.11779852114015502	0.16610862009288288	0.13041704978232688	0.11675037750353466	0.15340143843647633	0.19270387570469544	0.1458638554279713	0.15124097883434623	0.10443327713904446	0.1360833392141833	0.1529457960180956	0.15585041450115525	0.15358233886520395	0.3603162588459212	0.2864808047112626	0.35320293644281625	0.1510540788219523	0.18861271908388352	0.12216441321654038	0.13089088409515634	0.02033409018453203	-0.09194957150778528	1.307537125320245
500	-440.87197759241576	-421.7734544890428	-19.098523103372923	0.11949004667961174	0.0	0.0	0.0	0.0	0.44230355064256777	0.5576964493574321	0.11914389055371219	0.19196754975446004	0.16113669064164446	0.10455501408216165	0.11325582893628725	0.14880985776355174	0.1611311682681827	0.1458638554279713	0.15124097883434623	0.10443327713904446	0.1360833392141833	0.1529457960180956	0.15585041450115525	0.15358233886520395	0.3681669937249704	0.22058284958244503	0.41125015669258447	0.21501029861985854	0.18678525083409625	0.129314549159166	0.20591223843807124	0.08842337309341038	0.2489314849808985	0.8837093932453775
600	-486.3851182026204	-464.5477624325836	-21.83735577003676	0.11949004667961174	0.0	0.0	0.0	0.0	0.7090127046598187	0.2909872953401812	0.12278051246935502	0.19782696390725374	0.16605505630754813	0.07722339980544597	0.11671272989587375	0.15335197223951522	0.16604936537500822	0.13525861697279823	0.18764708657765997	0.17227500931847126	0.14194807571632523	0.10668119312308884	0.1363080641383945	0.11988195415326193	0.45129186876719884	0.20251880792124624	0.3461893233115549	0.97160367400848	0.2571571188504432	0.23970663095291256	0.53596480839877	0.1540625232325035	0.5691573388749478	0.8799944510356913
700	-2641.3174869369864	-2614.8927423512655	-26.424744585720727	0.11949004667961174	0.0	0.0	0.0	0.0	0.569944827754091	0.43005517224590895	0.11316745006252667	0.21904061600769625	0.16144267260799483	0.07117721750283916	0.09661140699227294	0.12424221827522189	0.21431841855144834	0.12264103413657074	0.1701424520348823	0.13668676597351034	0.24150893112404412	0.09672945162650927	0.12359258375714907	0.10869878134733406	0.445014720333411	0.23537438617095807	0.319610893495631	0.5041854697361178	0.32672356007078573	0.3967870452224955	0.37059610729040476	0.34801887253657254	1.7001463295917818	2.0332309584140478
800	-14291.477477361994	-14260.887284544307	-30.590192817686177	0.11397739234296045	0.0	0.0	0.0	0.0	0.4863641087010923	0.5136358912989077	0.11887723378059893	0.23009215549353118	0.18860649516192016	0.07476841371138547	0.10148586725730276	0.16279446867758676	0.12337536591767474	0.16989836614016096	0.0949788242155539	0.16545286614307117	0.09371087212409043	0.1340022603745894	0.17121657685956437	0.1707402341429699	0.3852420260881683	0.22532086740884122	0.3894371065029904	0.20678540279129867	0.4700048316701066	0.5190517579266715	0.44047659105192044	0.24856302497877927	2.4916161929033045	2.7503292593118864
900	-3014.546548977094	-2989.2759784906566	-25.270570486437634	0.10814261588283842	0.0	0.0	0.0	0.0	0.51156956622235	0.48843043377765005	0.08770521208580846	0.2584179475947348	0.3322679790665178	0.07736913828617578	0.07487421458629687	0.04663607355251063	0.12272943482795567	0.15067226786670967	0.12163006201382226	0.14672983109359558	0.12057014784799447	0.15265337730375714	0.12243864100434054	0.1853056728697802	0.3165847416503923	0.30543880215208236	0.3779764561975254	0.32925801109937936	0.578990813879205	0.2919786176032196	0.3359735215363343	0.20799963997994886	1.9110203035462685	1.7018199671052543
1000	-468.8868301960604	-442.4372202102011	-26.449609985859325	0.10814261588283842	0.0	0.0	0.0	0.0	0.49153112031972646	0.5084688796802735	0.07306051498158868	0.17745899599823578	0.2767870812368693	0.18739682223995577	0.0678833365032586	0.10214875801930362	0.11526449102078828	0.14144848870393642	0.153308507559293	0.13774739804363567	0.13528230896687665	0.14330831957921975	0.11494325381993065	0.1739617233271079	0.2097689891769797	0.44519882613487605	0.3450321846881442	0.6053668538865759	0.7796967650454415	0.20158220317491232	0.40440277346590825	0.09412914731354295	0.3431886013478196	1.2139778201217675
