it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
0	-440.935363209423	-423.4679493845375	-17.467413824885437	0.12078599665329316	0.0	0.0	0.0	0.0	0.4989792071396083	0.5010207928603917	0.1394158574351824	0.13817597526778147	0.1555562194660034	0.14147484188008477	0.1390215231596598	0.1380349695551695	0.14832061323611867	0.1383864347838498	0.14621603687931503	0.16954688754707892	0.15476620825234813	0.14498415178306207	0.12277890172957073	0.12332137902477536	0.33730647545011777	0.34708727271547524	0.31560625183440694	0.8878472088282704	0.3304743655207258	0.5029072667227309	0.6358104028760411	0.2761694984620722	0.0	0.0
100	-517.6788619837719	-499.48341157758824	-18.19545040618367	0.12078599665329316	0.0	0.0	0.0	0.0	0.4717982586174564	0.5282017413825436	0.13698000450525788	0.13576178537293626	0.15283836455390773	0.13743677201633983	0.1556306525108386	0.13562324329096517	0.1457291777497547	0.10138724828774909	0.13802013651510942	0.20398489807628908	0.17988299375531408	0.14028989527043742	0.07161581539449507	0.16481901270060603	0.32806092970640194	0.29502562980736985	0.3769134404862282	0.235081128701602	0.09269918647924077	0.3207818123323073	0.1513879603023619	0.018837750350423697	0.35126597341939925	-0.5706837999517312
200	-493.8519885748978	-470.9426881704717	-22.90930040442614	0.12078599665329316	0.0	0.0	0.0	0.0	0.4095314300389769	0.5904685699610231	0.13690201825959736	0.14968640784660242	0.15275134973530333	0.13527774405644666	0.1441902402432753	0.13554602948441896	0.145646210374356	0.09975905134265206	0.135803645107847	0.2007090661200738	0.17699421882697136	0.13803695337917485	0.07046572350606536	0.17823134171721577	0.3886136752167764	0.2548699930553209	0.35651633172790265	0.3121900784622585	0.14103088594053023	0.4518597667541532	0.10552074424895994	0.01771959629427958	0.2576898914623684	-0.3806749190966838
300	-670.1701020445884	-656.2092247846919	-13.960877259896519	0.12078599665329316	0.0	0.0	0.0	0.0	0.5219261788944941	0.47807382110550606	0.13676912927955476	0.14954110922852615	0.15260307601863712	0.14117602111573632	0.14405027668246287	0.13541445674476182	0.14044593093032096	0.1270117819757404	0.14243025481066177	0.08586110412878128	0.25116699709943435	0.12527450361263612	0.1601530172967365	0.10810234107600954	0.34753059845801465	0.320955612860556	0.3315137886814294	0.088338063758765	0.08107570481098365	0.28571282152122407	0.10846027979281782	0.020761066874804085	0.7140400966395373	-1.3131339302617175
400	-639.4705939638068	-624.6638338756388	-14.806760088167954	0.12078599665329316	0.0	0.0	0.0	0.0	0.5501194939656427	0.4498805060343573	0.13676912927955476	0.14954110922852615	0.15260307601863712	0.14117602111573632	0.14405027668246287	0.13541445674476182	0.14044593093032096	0.11847917573903785	0.1369509097547909	0.12038554946643688	0.26371223324993964	0.12192642694451711	0.1493939946851659	0.08915171016011157	0.34753059845801465	0.320955612860556	0.3315137886814294	0.13621715216367836	0.08151737189021113	0.29564039944056475	0.19496777938023363	0.024335563779582178	0.21055241526942048	-1.7672623243173302
500	-573.5332803719944	-556.3728375697242	-17.160442802270207	0.12078599665329316	0.0	0.0	0.0	0.0	0.5242756820414846	0.4757243179585153	0.13676912927955476	0.14954110922852615	0.15260307601863712	0.14117602111573632	0.14405027668246287	0.13541445674476182	0.14044593093032096	0.12763915037529305	0.15805937949273424	0.308536296818501	0.10658106538357716	0.05642574003060945	0.1612895909090392	0.08146877699024584	0.34544301078913764	0.31902765894041935	0.3355293302704432	0.10162623245759765	0.07050979383159914	0.4723114590567404	0.12753819410553083	0.013905803733787575	0.09227702702329993	-1.2083208201611229
600	-461.9092005769597	-445.3618208673771	-16.54737970958258	0.12078599665329316	0.0	0.0	0.0	0.0	0.5242756820414846	0.4757243179585153	0.13676912927955476	0.14954110922852615	0.15260307601863712	0.14117602111573632	0.14405027668246287	0.13541445674476182	0.14044593093032096	0.1148586535052966	0.18152294130280608	0.163483103559099	0.0959091127065922	0.13467679212169967	0.19837233785502253	0.11117705894948372	0.36885433190217926	0.23453114290126803	0.3966145251965526	0.08669874401721646	0.06121414260575554	0.40130666540324045	0.252307896123372	0.023618571276374015	-0.12588717457857648	-0.20779858522108363
700	-449.15552937513047	-433.9919690707935	-15.163560304336933	0.1374691429461787	0.0	0.0	0.0	0.0	0.5242756820414846	0.4757243179585153	0.13318920167738899	0.12704477560155436	0.14860869536496	0.13748074326013826	0.1644949891732296	0.1524118317606594	0.13676976316206943	0.12802463119982038	0.1957062355633462	0.15492619633042765	0.12071015091307251	0.15011447650098372	0.12513744846567582	0.12538086102667378	0.3402516056516604	0.37021437041099253	0.28953402393734695	0.07902192015940601	0.059038874922457324	0.1573963609595818	0.21835602529497497	0.008691697211491297	-0.7820871858272311	0.19603793830127125
800	-411.6556934331573	-394.02212571593157	-17.633567717225752	0.1252087298600167	0.0	0.0	0.0	0.0	0.5029987547639052	0.49700124523609474	0.13318920167738899	0.12704477560155436	0.14860869536496	0.13748074326013826	0.1644949891732296	0.1524118317606594	0.13676976316206943	0.12802463119982038	0.1957062355633462	0.15492619633042765	0.12071015091307251	0.15011447650098372	0.12513744846567582	0.12538086102667378	0.40984290768450216	0.2266501631998531	0.36350692911564486	0.10291843151901384	0.08745762491122352	0.18498721196061763	0.13698767137702783	0.03726729726506578	-0.5884678378183643	0.887596240547123
900	-426.0781037037594	-413.85435787155586	-12.223745832203505	0.12463104144686483	0.0	0.0	0.0	0.0	0.4593624417755539	0.540637558224446	0.1392925132828643	0.13286652273704763	0.15541859559465318	0.12394631572290064	0.14037050317998354	0.16506839773137408	0.14303715175117665	0.1375269158384943	0.1360096895849472	0.1664251774383761	0.12966953788418614	0.16125632061902306	0.1344254397149715	0.1346869189200016	0.292342612204631	0.3679082869258379	0.3397491008695312	0.28404789116006524	0.1415206772491445	0.12022208268556056	0.1866425918982933	0.03908858630420452	-0.6108018811979361	1.1316495747071036
