Taxon_name	Status	MinAge	MaxAge	Site
Praemegaceros_cazioti	extinct	1.17	12.9	Sa Cona Cave: Teulada
Prolagus_sardus	extinct	1.17	12.9	Sa Cona Cave: Teulada
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Sa Cona Cave: Teulada
Asoriculus_similis	extinct	1.17	12.9	Sa Cona Cave: Teulada
Rhagamys_orthodon	extinct	1.17	12.9	Sa Cona Cave: Teulada
Cynotherium_sardous	extinct	1.17	12.9	Sa Cona Cave: Teulada
Prolagus_sardus	extinct	0.8276	12.9	Surconis: Bolotana
Microtus_(Tyrrhenicola)_henseli	extinct	0.8276	12.9	Surconis: Bolotana
Rhagamys_orthodon	extinct	0.8276	12.9	Surconis: Bolotana
Cynotherium_sardous	extinct	0.8276	12.9	Surconis: Bolotana
Praemegaceros_cazioti	extinct	0.8276	12.9	Surconis: Bolotana
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Su Concali Quarry: Samatzai
Rhagamys_orthodon	extinct	1.17	12.9	Su Concali Quarry: Samatzai
Prolagus_sardus	extinct	1.17	12.9	Su Concali Quarry: Samatzai
Cynotherium_malatestai	extinct	1.17	12.9	Su Concali Quarry: Samatzai
Praemegaceros_cazioti	extinct	1.17	12.9	Su Concali Quarry: Samatzai
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Cava Grande
Cynotherium_sardous	extinct	1.17	12.9	Cava Grande
Prolagus_sardus	extinct	1.17	12.9	Cava Grande
Praemegaceros_cazioti	extinct	1.17	12.9	Cava Grande
Asoriculus_similis	extinct	1.17	12.9	Cava Grande
Rhagamys_orthodon	extinct	1.17	12.9	Cava Grande
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Buggerru
Sardolutra_ichnusae	extinct	0.8276	12.9	Nettuno Cave
Megalenhydris_barbaricina	extinct	1.17	12.9	Grotta di Ispinigoli
Prolagus_sardus	extinct	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Rhagamys_orthodon	extinct	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Algarolutra_majori	extinct	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Rhinolophus_ferrumequinum	extant	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Rhinolophus_hipposideros	extant	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Myotis_capaccinii	extant	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Nyctalus_lasiopterus	extant	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Miniopterus_schreibersii	extant	1.17	12.9	Cave between Punta Padrebellu and Omo Morto
Rhagamys_orthodon	extinct	1.17	12.9	Silanus
Microtus_(Tyrrhenicola)_henseli	extinct	1.17	12.9	Silanus
Prolagus_sardus	extinct	1.17	12.9	Silanus
Asoriculus_similis	extinct	1.17	12.9	Silanus
Prolagus_sardus	extinct	0.25	12.9	Is Zuddas Cave
Prolagus_sardus	extinct	1.17	12.9	Grotta Nicolai
Archaeolemur_edwardsi	extinct	0.8276	12.9	Sambaina basin
Plesiorycteropus_madagascariensis	extinct	0.8276	12.9	Sambaina basin
Palaeopropithecus_kelyus	extinct	0.8276	12.9	Belobaka
Pachylemur_insignis	extinct	0.8276	12.9	Belobaka
