Taxon_name	Status	MinAge	MaxAge	Site
Bos_primigenius_bubaloides	extinct	0.033104	1.14	Bone breccias
Vulpes_vulpes	extant	0.033104	1.14	Bone breccias
Ursus_arctos	extant	0.033104	1.14	Bone breccias
Equus_hydruntinus	extinct	0.033104	1.14	Bone breccias
Capreolus_capreolus	extant	0.033104	1.14	Bone breccias
Cervus_elaphus	extant	0.033104	1.14	Bone breccias
Cervus_elaphus_ssp_Pianosa	extinct	0.033104	1.14	Bone breccias
Equus_hydruntinus	extinct	0.033104	0.086	Cala Giovanna
Cervus_elaphus	extant	0.033104	0.086	Cala Giovanna
Capra_ibex	extant	0.033104	0.086	Cala dei Turchi
Mustela_sp_Pianosa	extinct	0.033104	0.086	Unknown cave
Lepus_timidus	extant	0.033104	0.086	Unknown cave
Ursus_spelaeus_spelaeus	extinct	0.8	1.18	Quisisana Certosa
Mammuthus_trogontherii_chosaricus	extinct	0.8	1.18	Quisisana Certosa
Equus_aff_E_suessenbornensis	extinct	0.8	1.18	Quisisana Certosa
Crocuta_crocuta_spelaea	extinct	0.8	1.18	Quisisana Certosa
Canis_mosbachensis	extinct	0.8	1.18	Quisisana Certosa
Panthera_pardus	extant	0.8	1.18	Quisisana Certosa
Palaeoloxodon_antiquus	extinct	0.8	1.18	Quisisana Certosa
Stephanorhinus_hemitoechus	extinct	0.8	1.18	Quisisana Certosa
Bos_primigenius	extinct	0.8	1.18	Quisisana Certosa
Cervus_elaphus_tyrrhenicus	extinct	0.0468	0.132	Quisisana Certosa
Cervus_elaphus_tyrrhenicus	extinct	0.0468	0.284	Grotta delle Felci
Cervus_elaphus	extant	0.03844	0.0468	Grotta Vascio o funno
Cervus_elaphus	extant	0.026	0.0468	Grotta Arcera
Apodemus_sylvaticus_tyrrhenicus	extinct	0.0468	0.284	Grotta Vascio o funno
Muscardinus_malatestai	extinct	0.0468	0.284	Grotta Vascio o funno
Prolagus_sardus	extinct	0.628	1.096	Castiglione Cave 3
Cynotherium_sardous	extinct	0.628	1.096	Castiglione Cave 3
Lutra_castiglionis	extinct	0.628	1.096	Castiglione Cave 3
Cervus_elaphus_rossii	extinct	0.628	1.096	Castiglione Cave 3
Praemegaceros_cazioti	extinct	0.628	1.096	Castiglione Cave 3
