Species	Status
Abeomelomys_sevia	extant
Acerodon_mackloti	extant
Acratocnus_antillensis	extinct
Acratocnus_odontrigonus	extinct
Acratocnus_simorhynchus	extinct
Acratocnus_ye	extinct
Aegialomys_galapagoensis	extant
Aeorestes_semotus	extant
Agathaeromys_donovani	extinct
Agathaeromys_praeuniversitatis	extinct
Ailurops_ursinus	extant
Alces_alces	extant
Algarolutra_majori	extinct
Alormys_aplini	extinct
Amblonyx_(Aonyx)_cinereus	extant
Amblyrhiza_inundata	extinct
Amphitragulus_(=Pomelomeryx)_boulangeri	extinct
Amphitragulus_(=Pomelomeryx)_sp	extinct
Anisodon_sivalense	extinct
Anisomys_imitator	extant
Anoura_caudifer	extant
Anourosorex_japonicus	extinct
Anthracoglis_engesseri	extinct
Anthracoglis_marinoi	extinct
Anthracoglis_nov_sp_FS	extinct
Anthracomys_lorenzi	extinct
Anthracomys_majori	extinct
Anthracotheridae_gen_et_sp_indet_V1	extinct
Antillomys_rayi	extinct
Antillothrix_bernensis	extinct
Antrozous_pallidus	extant
Aonyx_cinereus	extant
Apatodemus_deguilii	extinct
Apocricetus_darderi	extinct
Apocricetus_sp_Gargano	extinct
Apodemus_argenteus	extant
Apodemus_mannu	extinct
Apodemus_maximus	extinct
Apodemus_mystacinus_FOSSIL	extant
Apodemus_sp_Crete	extinct
Apodemus_speciosus	extant
Apodemus_sylvaticus	extant
Apodemus_sylvaticus_tyrrhenicus	extinct
Apomys_microdon	extant
Aproteles_bulmerae	extant
Apulogalerix_pusillus	extinct
Archaeoindris_fontoynontii	extinct
Archaeolemur_edwardsi	extinct
Archaeolemur_majori	extinct
Arctictis_binturong	extant
Arctogalidia_trivirgata	extant
Ardops_nichollsi	extant
Ariteus_flavescens	extant
Artibeus_anthonyi	extinct
Artibeus_jamaicensis	extant
Artibeus_lituratus	extant
Arvicola_amphibius	extant
Asoletragus_gentryi	extinct
Asoriculus_burgioi	extinct
Asoriculus_corsicanus	extinct
Asoriculus_similis	extinct
Atherurus_macrourus	extant
Avahi_cleesei	extant
Avahi_laniger	extant
Axis_axis	extant
Axis_calamianensis	extant
Axis_japonicus	extinct
Axis_javanicus	extinct
Axis_kuhlii	extant
Axis_lydekkeri	extinct
Babakotia_radofilai	extinct
Babyrousa_celebensis	extant
Bachitherium_sardus	extinct
Baiyankamys_habbema	extant
Bandicota_bengalensis	extant
Bandicota_indica	extant
Bandicota_sp_Okinawa	extinct
Barbastella_barbastellus	extant
Batomys_cagayanensis	extinct
Bibos_palaesondaicus	extinct
Bison_priscus_siciliae	extinct
Bison_sp_Hondo	extinct
Boromys_offella	extinct
Boromys_torrei	extinct
Bos_geron	extinct
Bos_javanicus	extant
Bos_primigenius	extinct
Bos_primigenius_bubaloides	extinct
Bos_primigenius_siciliae	extinct
Bos_sp_Sri_Lanka	extinct
Bovidae_gen_et_sp_indet_V1	extinct
Bovidae_gen_et_sp_indet_V1/V2	extinct
Bovidae_gen_et_sp_indet_V2	extinct
Bovinae_gen_et_sp_indet_Lampedusa	extinct
Brachyphylla_cavernarum	extant
Brachyphylla_nana	extant
Brachytarsomys_mahajambaensis	extinct
Brotomys_contractus	extinct
Brotomys_voratus	extinct
Bubalus_(Anoa)_sp_extant_anoa	extant
Bubalus_arnee	extant
Bubalus_cebuensis	extinct
Bubalus_grovesi	extinct
Bubalus_mindorensis	extant
Bubalus_palaeokerabau	extinct
Bubalus_sp_Hondo	extinct
Bubalus_sp_Luzon	extinct
Bubalus_teilhardi	extinct
Bubalus_youngi	extinct
Bullimus_luzonicus	extant
Bunomys_andrewsi	extant
Bunomys_chrysocomus	extant
Bunomys_heinrichi	extant
Callosciurus_notatus	extant
Callosciurus_prevostii	extant
Calomys_hummelincki	extant
Canariomys_bravoi	extinct
Canariomys_tamarani	extinct
Candiacervus_cerigensis	extinct
Candiacervus_cretensis	extinct
Candiacervus_devosi	extinct
Candiacervus_dorothensis	extinct
Candiacervus_listeri	extinct
Candiacervus_major	extinct
Candiacervus_pigadiensis	extinct
Candiacervus_rethymnensis	extinct
Candiacervus_reumeri	extinct
Candiacervus_ropalophorus	extinct
Candiacervus_sp_II	extinct
Canis_aureus	extant
Canis_lupus	extant
Canis_mosbachensis	extinct
Capra_ibex	extant
Capreolus_capreolus	extant
Capreolus_miyakoensis	extinct
Capricornis_crispus	extant
Capricornis_sp_Hondo	extinct
Capricornis_sumatraensis	extant
Capricornis_sumatraensis_FOSSIL	extant
Caprini_gen_et_sp_indet_MT	extinct
Caprolagus_lapis	extinct
Capromyidae_gen_et_sp_indet_Carriacou	extinct
Capromys_pilorides	extant
Capromys_pilorides_lewisi	extinct
Carbomys_sacaresi	extinct
Carpomys_dakal	extinct
Catopuma_badia	extant
Catopuma_temminckii	extant
Caviida_incertae_sedis_Jamaica	extinct
Ceboidea_gen_et_sp_indet_Jamaica	extinct
Celebochoerus_cagayanensis	extinct
Celebochoerus_heekereni	extinct
Celebochoerus_nov_sp_Sulawesi	extinct
Cercartetus_caudatus	extant
Cervidae_gen_et_sp_indet_Iceland	extinct
Cervus_astylodon	extinct
Cervus_elaphus	extant
Cervus_elaphus_rossii	extinct
Cervus_elaphus_siciliae	extinct
Cervus_elaphus_ssp_Pianosa	extinct
Cervus_elaphus_tyrrhenicus	extinct
Cervus_kazusensis	extinct
Cervus_kyushuensis	extinct
Cervus_nippon	extant
Cervus_nov_sp_Masbate	extinct
Cervus_praenipponicus	extinct
Cervus_sp_Tilos	extinct
cf_Hypnomys_sp_Eivissa	extinct
Chaerephon_jobensis	extant
Chaerephon_leucogaster	extant
Chaerephon_plicatus	extant
Chalinolobus_neocalodonicus	extant
Chalinolobus_tuberculatus	extant
Chasmaporthetes_melei	extinct
Cheirogaleus_major	extant
Cheirogaleus_medius	extant
Cheiromeles_torquatus	extant
Chilonatalus_macer	extant
Chilonatalus_micropus	extant
Chilonatalus_tumidifrons	extant
Chimarrogale_platycephalus	extant
Chiroderma_improvisum	extant
Chiropodomys_calamianensis	extant
Clethrionomys_sp_Hondo	extinct
Clidomys_osborni	extinct
Coccymys_ruemmleri	extant
Cordimus_debuisonjei	extinct
Cordimus_hooijeri	extinct
Coryphomys_buehleri	extinct
Coryphomys_musseri	extinct
Crateromys_ballik	extinct
Crateromys_paulus	extinct
Cricetidae_nov_sp_Gargano	extinct
Cricetulodon_sp_Gargano	extinct
Cricetus_sp_Gargano	extinct
Crocidosorex_(=Oligosorex)_antiquus	extinct
Crocidura_batakorum	extant
Crocidura_canariensis	extant
Crocidura_dsinezumi	extant
Crocidura_foetida	extant
Crocidura_or_Suncus_sp_A	extinct
Crocidura_or_Suncus_sp_B	extinct
Crocidura_palawanensis	extant
Crocidura_rhoditis	extant
Crocidura_sicula_sicula_FOSSIL	extant
Crocidura_sp_Naxos	extinct
Crocidura_sp_Palawan	extinct
Crocidura_watasei	extant
Crocidura_zimmermanni	extant
Crocidura_zimmermanni_FOSSIL	extant
Crocidurinae_sp_Gargano	extinct
Crocuta_crocuta_Java	extinct
Crocuta_crocuta_spelaea	extinct
Crocuta_crocuta_ultima	extinct
Cryptoprocta_ferox	extant
Cryptoprocta_sp_new	extinct
Cryptoprocta_spelea	extinct
Cubanycteris_silvai	extinct
Cuon/Canis_sp_Palawan	extinct
Cuon_alpinus	extant
Cuon_alpinus_FOSSIL	extant
Cuon_priscus	extinct
Cuon_sp_Hondo	extinct
Cynocephalus_variegatus	extant
Cynocephalus_volans	extant
Cynopterus_brachyotis	extant
Cynopterus_horsfieldii	extant
Cynopterus_sphinx	extant
Cynotherium_sardous	extinct
Dactylopsila_kambuayai	extinct
Dactylopsila_palpator	extant
Dactylopsila_trivirgata	extant
Dama_carburangelensis	extinct
Dama_dama	extant
Dama_mesopotamica	extant
Dasypterus_insularis	extant
Dasyurus_albopunctatus	extant
Daubentonia_madagascariensis	extant
Daubentonia_robusta	extinct
Debruijnimys_sp_Eivissa	extinct
Deinogalerix_brevirostris	extinct
Deinogalerix_freudenthali	extinct
Deinogalerix_intermedius	extinct
Deinogalerix_koenigswaldi	extinct
Deinogalerix_masinii	extinct
Deinogalerix_minor	extinct
Deinogalerix_samniticus	extinct
Dendrolagus_dorianus	extant
Dendrolagus_goodfellowi	extant
Dendrolagus_inustus	extant
Dendrolagus_noibano	extinct
Desmodus_rotundus_FOSSIL	extant
Desmodus_stocki	extinct
Dicerorhinus_sumatrensis	extant
Diplothrix_legata	extant
Distoechurus_pennatus	extant
Dobsonia_anderseni	extant
Dobsonia_crenulata	extant
Dobsonia_magna	extant
Dobsonia_moluccensis	extant
Dobsonia_peronii	extant
Dobsonia_predatrix	extant
Dobsonia_viridis	extant
Dorcopsis_hageni	extant
Dorcopsis_muelleri	extant
Dorcopsis_nov_sp_Gebe_Halmahera	extinct
Dorcopsis_sp_New_Guinea	extinct
Dorcopsulus_vanheurni	extant
Dryomys_apulus	extinct
Duboisia_santeng	extinct
Dushimys_larsi	extinct
Dymecodon_pilirostris	extant
Ebusia_moralesi	extinct
Echinops_telfairi	extant
Echinosorex_gymnura	extant
Echinosorex_gymnurus	extant
Echymipera_clara	extant
Echymipera_kalubu	extant
Echymipera_rufescens	extant
Eidolon_dupreanum	extant
Eivissia_canarreiensis	extinct
Elaphurus_bifurcatus	extinct
Elaphurus_davidianus	extinct
Elaphurus_formosanus	extinct
Elasmodontomys_obliquus	extinct
Elephantidae_gen_et_sp_indet_KyThnos	extinct
Elephantidae_gen_et_sp_indet_Milos	extinct
Elephantidae_gen_et_sp_indet_Paros	extinct
Elephantidae_gen_et_sp_indet_Seriphos	extinct
Elephas_hysudricus	extinct
Elephas_hysudrindicus	extinct
Elephas_maximus	extant
Elephas_maximus_sinhaleyus	extinct
Elephas_sp_Luzon_Visayan	extinct
Elephas_sp_Sulawesi	extinct
Eliomys_quercinus	extant
Eliomys_sp_Eivissa	extinct
Eliurus_minor	extant
Eliurus_myoxinus	extant
Eliurus_sp_nov_BPA	extant
Emballonura_alecto	extant
Emballonura_furax	extant
Emballonura_semicaudata	extant
Enhydrictis_galictoides	extinct
Eonycteris_spelaea	extant
Epileptobos_groeneveldtii	extinct
Eptesicus_fuscus	extant
Eptesicus_serotinus	extant
Eptesicus_wetmori	extant
Equus_aff_E_suessenbornensis	extinct
Equus_ferus	extinct
Equus_hydruntinus	extinct
Equus_sp_Hondo	extinct
Erinaceus_europaeus	extant
Erophylla_bombifrons	extant
Erophylla_sezekorni	extant
Etruria_viallii	extinct
Eulemur_coronatus	extant
Eulemur_fulvus	extant
Eulemur_mongoz	extant
Eulemur_rufifrons	extant
Eulemur_rufus	extant
Eumaiochoerus_etruscus	extinct
Eumops_glaucinus	extant
Euroscaptor_mizura	extant
Felis_chaus	extant
Felis_sp_Ryukyu	extinct
Fossa_fossana	extant
Funambulus_layardi	extant
Funambulus_palmarun	extant
Funambulus_sublineatus	extant
Galeopterus_variegatus	extant
Galidia_elegans	extant
Galidictis_grandidieri	extant
Genetta_plesictoides	extinct
Genus_A_Timor	extinct
Genus_B_Timor	extinct
Genus_C_Timor	extinct
Geocapromys_brownii	extant
Geocapromys_caymanensis	extinct
Geocapromys_columbianus	extinct
Geocapromys_ingrahami_abaconis	extinct
Geocapromys_ingrahami_FOSSIL	extant
Geocapromys_ingrahami_irrectus	extinct
Geogale_aurita	extant
Geotrypus_oschiriensis	extinct
Gerbillinae_gen_et_sp_indet_MT	extinct
Gimnesicolagus_aff_G_gelaberti	extinct
Giraffa_nipponica	extinct
Giraffidae_gen_et_sp_indet_V2	extinct
Gliridae_nov_gen_et_sp_V1	extinct
Gliridae_sp_indet_Crete	extinct
Glirulus_japonicus	extant
Glis_glis	extant
Glis_major	extinct
Golunda_ellioti	extant
Gomphotherium_sp_Miyako	extinct
Gona_sinhalaya	extinct
Grirulus_japonicus	extant
Gymnesicolagus_gelaberti	extinct
Hadropithecus_stenognathus	extinct
Hapalemur_griseus	extant
Hattomys_gargantua	extinct
Helarctos_malayanus	extant
Hemigalus_derbyanus	extant
Hemimachairodus_zwierzyckii	extinct
Herpestes_brachyurus	extant
Herpestes_edwardsii	extant
Herpestes_smiThii	extant
Herpestes_vitticollis	extant
Heteropsomys_antillensis	extinct
Heteropsomys_insulans	extinct
Hexaprotodon_palaeindicus	extinct
Hexaprotodon_sivajavanicus	extinct
Hexaprotodon_sp_Borneo	extinct
Hexaprotodon_sp_Sumatra	extinct
Hexolobodon_nov_sp_Hispaniola	extinct
Hexolobodon_phenax	extinct
Hippopotamus_creutzburgi	extinct
Hippopotamus_laloumena	extinct
Hippopotamus_lemerlei	extinct
Hippopotamus_madagascariensis	extinct
Hippopotamus_minor	extinct
Hippopotamus_pentlandi	extinct
Hipposideros_ater	extant
Hipposideros_besaoka	extinct
Hipposideros_calcaratus	extant
Hipposideros_commersoni	extant
Hipposideros_diadema	extant
Hipposideros_galeritus	extant
Hipposideros_larvatus	extant
Hipposideros_maggietaylorae	extant
Hipposideros_sp_Grande_Terre	extinct
Hipposideros_sp_Miyako	extinct
Hipposideros_sumbae	extant
Hipposideros_turpis	extant
Hippotragini_gen_et_sp_indet_Lampedusa	extinct
Homo_floresiensis	extinct
Homo_luzonensis	extinct
Homotherium_ultimum	extinct
Hooijeromys_nusatenggara	extinct
Hoplitomeryx_devosi	extinct
Hoplitomeryx_kriegsmani	extinct
Hoplitomeryx_macpheei	extinct
Hoplitomeryx_matthei	extinct
Huezelerimys_oreopitheci	extinct
Hulitherium_tomasetti	extinct
Hydrochoerus_gaylordi	extinct
Hydrochoerus_hydrochaeris	extant
Hydromys_chrysogaster	extant
Hydropotes_inermis	extant
Hylobates_moloch	extant
Hylobates_muelleri	extant
Hylopetes_nigripes	extant
Hyomys_dammermani	extant
Hyomys_goliaTh	extant
Hyotherium_insularis	extinct
Hyperplagiodontia_araeum	extinct
Hypnomys_mahonensis	extinct
Hypnomys_morpheus	extinct
Hypogeomys_antimena	extant
Hypogeomys_australis	extinct
Hypolagus_balearicus	extinct
Hypolagus_peregrinus	extinct
Hystrix_brachyura	extant
Hystrix_indica	extant
Hystrix_javanica	extant
Hystrix_lagrelli	extinct
Hystrix_primigenia	extinct
Hystrix_pumila	extant
Hystrix_refossa	extinct
Hystrix_sp_Taiwan	extinct
Imagocnus_zazae	extinct
Indarctos_anthracitis	extinct
Indri_indri	extant
Insulacebus_toussaintiana	extinct
Isolobodon_montanus	extinct
Isolobodon_nov_sp_Hispaniola	extinct
Isolobodon_portoricensis	extinct
Isoodon_macrourus	extant
Kanagawapithecus_leptopostorbitalis	extinct
Kolopsis_rotundus	extinct
Kolopsoides_cultridens	extinct
Komodomys_large_species_Timor	extinct
Komodomys_rintjanus	extant
Komodomys_small_species_Timor	extinct
Kowalskia_sp_V1	extinct
Kritimys_catreus	extinct
Lartetium_dehmi	extinct
Lartetium_sp_V1	extinct
Lasiurus_borealis	extant
Lasiurus_cinereus	extant
Lasiurus_intermedius	extant
Lasiurus_minor	extant
Lasiurus_pfeifferi	extant
LeiThia_cartei	extinct
LeiThia_ex_gr_melitensis_cartei	extinct
LeiThia_melitensis	extinct
Lemur_catta	extant
Lenomys_meyeri	extant
Leopoldamys_sabanus	extant
Lepilemur_edwardsi	extant
Lepilemur_leucopus	extant
Lepilemur_mustelinus	extant
Lepilemur_petteri	extant
Lepilemur_randrianasoloi	extant
Leporidae_gen_et_sp_indet_D1	extinct
Leporidae_gen_et_sp_indet_Hondo	extinct
Leptobos_problematicus	extinct
Lepus_brachyurus	extant
Lepus_corsicanus	extant
Lepus_nigricollis	extant
Lepus_timidus	extant
Loris_lydekkerianus	extant
Loris_tardigradus	extant
Lutra_castiglionis	extinct
Lutra_lutra	extant
Lutra_sumatrana	extant
Lutra_trinacriae	extinct
Lutrinae_sp_Scontrone	extinct
Lutrogale_cretensis	extinct
Lutrogale_palaeoleptonyx	extinct
Lutrogale_robusta	extinct
Lynx_lynx	extant
Macaca_cyclopis	extant
Macaca_fascicularis	extant
Macaca_fuscata	extant
Macaca_majori	extinct
Macaca_maura	extant
Macaca_nemestrina	extant
Macaca_nigra	extant
Macaca_sinica	extant
Macrocapromys_acevedo	extinct
Macrocapromys_latus	extinct
Macrogalidia_musschenbroekii	extant
Macronycteris_commersoni	extant
Macropus_agilis	extant
Macrotarsomys_bastardi	extant
Macrotarsomys_petteri	extant
Macrotus_waterhousii	extant
Macruromys_elegans	extant
Macruromys_major	extant
Mallomys_aroaensis	extant
Mallomys_gunung	extant
Mallomys_roThschildi	extant
Malpaisomys_insularis	extinct
Maltamys_wiedincitensis	extinct
Mammuthus_columbi	extinct
Mammuthus_creticus	extinct
Mammuthus_exilis	extinct
Mammuthus_lamarmorai	extinct
Mammuthus_nov_sp_Santa_Rosa	extinct
Mammuthus_primigenius	extinct
Mammuthus_trogontherii	extinct
Mammuthus_trogontherii_chosaricus	extinct
Manis_crassicaudata	extant
Manis_culionensis	extant
Manis_javanica	extant
Manis_palaeojavanica	extinct
Maokopia_ronaldi	extinct
Maremmia_lorenzi	extinct
Margaritamys_adroveri	extinct
Margaritamys_llulli	extinct
Martes_flavigula	extant
Martes_melampus	extant
Martes_ten	extinct
Maxomys_hellwaldii	extant
Maxomys_musschenbroekii	extant
Maxomys_panglima	extant
Maxomys_sp_indet_Java	extinct
Megaderma_spasma	extant
Megaladapis_edwardsi	extinct
Megaladapis_grandidieri	extinct
Megaladapis_madagascariensis	extinct
Megalenhydris_barbaricina	extinct
Megalocnus_rodens	extinct
Megalocnus_zile	extinct
Megalomys_audreyae	extinct
Megalomys_camerhogne	extinct
Megalomys_curazensis	extinct
Megalomys_desmarestii	extinct
Megalomys_georginae	extinct
Megalomys_luciae	extinct
Megalonychidae_indet_species_D	extinct
Meganthereon_sp_Java	extinct
Megaoryzomys_curioi	extinct
Megaoryzomys_nov_sp_Isabela	extinct
Meles_anakuma	extant
Meles_leucurus_kuzuuensis	extinct
Meles_mukasianakuma	extinct
Melogale_everetti	extant
Melomys_bougainville	extant
Melomys_burtoni	extant
Melomys_caurinus	extant
Melomys_large_species_Timor	extinct
Melomys_lutillus	extant
Melomys_matambuai	extant
Melomys_roThschildii	extant
Melomys_rubex	extant
Melomys_rufescens	extant
Melomys_small_species_Timor	extinct
Melomys_spechti	extinct
Melomys_talaudium	extant
Melonycteris_melanops	extant
Meriones_malatestai	extinct
Merycopotamus_dissimilis	extinct
Mesocapromys_gracilis	extinct
Mesocapromys_kraglievichi	extinct
Mesocapromys_minimus	extinct
Mesocapromys_nanus	extant
Mesocapromys_sanfelipensis	extant
Mesocricetus_raThgeberi	extinct
Mesopropithecus_dolichobrachion	extinct
Mesopropithecus_globiceps	extinct
Mesopropithecus_pithecoides	extinct
Microcebus_griseorufus	extant
Microcebus_murinus	extant
Microcebus_myoxinus	extant
Microdyromys_aff_M_koenigswaldi	extinct
Microgale_brevicaudata	extant
Microgale_longicaudata	extant
Microgale_macpheei	extinct
Microgale_majori	extant
Microgale_nasoloi	extant
Microgale_principula	extant
Microgale_pusilla	extant
Microgale_talazaci	extant
Microperoryctes_longicauda	extant
Microtus_(Terricola)_ex_gr_Microtus_savii	extinct
Microtus_(Terricola)_nov_sp_Sicily	extinct
Microtus_(Tyrrhenicola)_henseli	extinct
Microtus_brandtioides	extinct
Microtus_epiratticepoides	extinct
Microtus_fortis	extant
Microtus_miguelensis	extinct
Microtus_montebelli	extant
Microtus_sp_Santa_Rosa	extinct
Microtus_sp_Taiwan	extinct
Mikrotia_hexaplicata	extinct
Mikrotia_magna	extinct
Mikrotia_maiuscola	extinct
Mikrotia_parva	extinct
Mikrotia_pentaplicata	extinct
Mikrotia_sp_1	extinct
Mikrotia_sp_a	extinct
Mikrotia_sp_b	extinct
Mikrotia_sp_hypsodont	extinct
Mikrotia_sp_L3	extinct
Mikrotia_sp_nov_archaic	extinct
Milimonggamys_juliae	extinct
Millardia_meltada	extant
Miniopterus_australis	extant
Miniopterus_degiulii	extinct
Miniopterus_gleni	extant
Miniopterus_macrocneme	extant
Miniopterus_phlebotis	extant
Miniopterus_schreibersii	extant
Miniopterus_sp_Flores	extinct
Miniopterus_sp_Miyako	extinct
Miniopterus_tristis	extant
Mogera_wogura	extant
Molossus_molossus	extant
Monophyllus_plethodon	extant
Monophyllus_redmani	extant
Mops_leucostigma	extant
Mops_midas	extant
Mormoops_blainvillei	extant
Mormoops_magna	extinct
Mormoops_megalophylla	extant
Mormopterus_acetabulosus	extant
Mormopterus_jugularis	extant
Moschidae_gen_et_sp_indet_Oschiri	extinct
Moschiola_kathygre	extant
Moschiola_meminna	extant
Moschus_moschiferus	extant
Mungotictis_decemlineata	extant
Muntiacini_gen_et_sp_indet	extinct
Muntiacus_muntjak	extant
Muntiacus_sp_Taiwan	extinct
Muridae_indet_(giant)_Alor	extinct
Muridae_indet_(giant_murid)_Kisar	extinct
Muridae_indet_(large)_Alor	extinct
Muridae_indet_(large_murid)_Kisar	extinct
Muridae_indet_Sumba	extinct
Muridae_nov_sp_Gargano	extinct
Murina_aff_M_florium	extant
Murina_aurata	extant
Murina_hilgendorfi	extant
Murina_leucogaster	extant
Murina_silvatica	extant
Murinae_gen_nov_sp_nov_Gargano	extinct
Mus_booduga	extant
Mus_cypriacus	extant
Mus_lopadusae	extinct
Mus_mayori	extant
Mus_minotaurus	extinct
Mus_musculus	extant
Mus_sp_Karpathos_Kassos	extinct
Muscardinus_avellanarius	extant
Muscardinus_cyclopeus	extinct
Muscardinus_malatestai	extinct
Mustela_constricta	extinct
Mustela_erminea	extant
Mustela_itatsi	extant
Mustela_majori	extinct
Mustela_nivalis	extant
Mustela_nudipes	extant
Mustela_sp_Pianosa	extinct
Mustelercta_arzilla	extinct
Mustelidae_gen_et_sp_indet_FS	extinct
Muva_sinhaleya	extinct
Mydaus_marchei	extant
Myodes_andersoni	extant
Myodes_japonicus	extinct
Myodes_rufocanus	extant
Myodes_smiThii	extant
Myoictis_melas	extant
Myoictis_sp_New_Guinea	extinct
Myoictis_wallacei	extant
Myopus_schisticolor	extant
Myotis_austroriparius	extant
Myotis_bechsteinii	extant
Myotis_beppuensis	extinct
Myotis_blyThii	extant
Myotis_capaccinii	extant
Myotis_emarginatus	extant
Myotis_escalerai	extant
Myotis_goudoti	extant
Myotis_macrodactylus	extant
Myotis_macrotarsus	extant
Myotis_myotis	extant
Myotis_mystacinus	extant
Myotis_okafujii	extinct
Myotis_sp_Ishigaki	extinct
Myotragus_balearicus	extinct
Mysateles_melanurus	extant
Mysateles_prehensilis	extant
Mystacina_miocenalis	extinct
Mystacina_robusta	extinct
Mystacina_tuberculata	extant
Mystacinidae_gen_et_sp_indet_1_SouTh_Island	extinct
Mystacinidae_gen_et_sp_indet_2_SouTh_Island	extinct
Mystemys_giganteus	extinct
Nasalis_larvatus	extant
Natalus_jamaicensis	extant
Natalus_major	extant
Natalus_primus	extant
Natalus_stramineus	extant
Neocnus_comes	extinct
Neocnus_dousman	extinct
Neocnus_gliriformis	extinct
Neocnus_nov_sp_Hispaniola	extinct
Neocnus_toupiti	extinct
Neocricetodon_sp_Gargano	extinct
Neofelis_diardi	extant
Neophascogale_lorentzii	extant
Neotragini_gen_et_sp_indet_FS	extinct
Nesiotites_hidalgo	extinct
Nesogoral_aff_N_melonii	extinct
Nesogoral_cenisae	extinct
Nesogoral_melonii	extinct
Nesogoral_sp_1_aff_N_melonii	extinct
Nesogoral_sp_2	extinct
Nesomys_narindaensis	extinct
Nesomys_rufus	extant
Nesophontes_edithae	extinct
Nesophontes_hemicingulus	extinct
Nesophontes_hypomicrus	extinct
Nesophontes_major	extinct
Nesophontes_micrus	extinct
Nesophontes_minor	extinct
Nesophontes_paramicrus	extinct
Nesophontes_zamicrus	extinct
Nesorhinus_hayasakai	extinct
Nesorhinus_philippinensis	extinct
Nesoryzomys_darwini	extinct
Nesoryzomys_indefessus_indefessus	extinct
Nesoryzomys_nov_sp_1	extinct
