Taxon_name	Status	MinAge	MaxAge	Site
Stegodon_aurorae	extinct	18	26	Riverbed of the Sakura River: Node: Hino Town: Shiga Prefecture
Stegodon_aurorae	extinct	18	26	Renjegi: Hino Town: Shiga Prefecture
Sus_sondaari	extinct	18.06	25.8	Capo Mannu (Capo Mannu D4)
Nesogoral_melonii	extinct	18.06	25.8	Capo Mannu (Capo Mannu D4)
Nesogoral_cenisae	extinct	11	25.8	Campidano
Macaca_majori	extinct	11	25.8	Capo Figari 
Sus_sondaari	extinct	11	25.8	Capo Figari 
Tyrrhenoglis_majori	extinct	11	25.8	Capo Figari 
Macaca_majori	extinct	7.74	25.8	Cava Alabastro
Nesogoral_sp_1_aff_N_melonii	extinct	11	25.8	Monte Tuttavista
Nesogoral_sp_2	extinct	11	25.8	Monte Tuttavista
Prolagus_figaro	extinct	7.74	25.8	Monte Tuttavista
Rhagapodemus_minor	extinct	7.74	25.8	Monte Tuttavista
Talpa_tyrrhenica	extinct	0.08276	25.8	Monte Tuttavista
Tyrrhenoglis_majori	extinct	11	25.8	Monte Tuttavista
Asoriculus_sp_2_MT	extinct	7.74	25.8	Monte Tuttavista
Macaca_majori	extinct	7.74	25.8	Monte Tuttavista
Chasmaporthetes_melei	extinct	17.5	25.8	Monte Tuttavista
Stegolophodon_lydekkeri	extinct	7.74	25.8	Brunei forest
Nototherium_watutense	extinct	0.117	25.8	Nimboran
Hulitherium_tomasetti	extinct	0.5	25.8	Tifalmin
Cordimus_debuisonjei	extinct	23	25.8	C2 633: Tafelberg Santa Barbara
Cordimus_debuisonjei	extinct	23	25.8	C2 637: Tafelberg Santa Barbara
Hydrochoerus_hydrochaeris	extant	23	25.8	C2 637: Tafelberg Santa Barbara
Mammuthus_creticus	extinct	1.35	25.8	Cape Maleka 1
Mammuthus_creticus	extinct	1.3	25.8	Koutalas: upper level
Hippopotamus_creutzburgi	extinct	1.3	25.8	Alogaras Cave (Lasithi)
Hippopotamus_creutzburgi	extinct	1.3	25.8	Karoumbes 1
Hippopotamus_creutzburgi	extinct	1.3	25.8	Kato Zagros
Hippopotamus_creutzburgi	extinct	1.3	25.8	Koutalas: upper level
Hippopotamus_creutzburgi	extinct	1.3	25.8	Mastabas Herakleio
Hippopotamus_creutzburgi	extinct	1.3	25.8	Milatos lost site
Hippopotamus_creutzburgi	extinct	1.3	25.8	Sitia 1
Hippopotamus_creutzburgi	extinct	1.3	25.8	Stavros macro
Hippopotamus_creutzburgi	extinct	1.3	25.8	Stavros micro
Hippopotamus_creutzburgi	extinct	1.3	25.8	Xerokampos (Lasithi)
Apodemus_sp_Crete	extinct	1.3	25.8	Sitia 1
Kritimys_aff_K_kiridus	extinct	1.35	25.8	Sitia 1
Kritimys_catreus	extinct	1.3	25.8	Bali 1
Kritimys_catreus	extinct	1.3	25.8	Bali 2
Kritimys_catreus	extinct	1.3	25.8	Karoumbes 4
Kritimys_catreus	extinct	1.3	25.8	Karoumbes 4
Kritimys_catreus	extinct	1.3	25.8	Karoumbes 5
Kritimys_catreus	extinct	1.3	25.8	Karoumbes A
Kritimys_catreus	extinct	1.3	25.8	Kato Zagros
Kritimys_catreus	extinct	1.3	25.8	Koutalas: upper level
Kritimys_catreus	extinct	1.3	25.8	Milatos 1
Kritimys_catreus	extinct	1.3	25.8	Milatos 3
Kritimys_catreus	extinct	1.3	25.8	Sphinari
Kritimys_catreus	extinct	1.3	25.8	Stavros Cave outside
Kritimys_catreus	extinct	1.3	25.8	Stavros macro
Kritimys_catreus	extinct	1.3	25.8	Xeros
Kritimys_kiridus	extinct	1.35	25.8	Cape Maleka 1
Kritimys_kiridus	extinct	1.35	25.8	Cape Maleka 2
Kritimys_kiridus	extinct	1.35	25.8	Cape Maleka 3
Crocidura_zimmermanni_FOSSIL	extant	1.3	25.8	Bali 2
Crocidura_zimmermanni_FOSSIL	extant	1.35	25.8	Cape Maleka 1
Crocidura_zimmermanni	extant	0.117	25.8	Karoumbes 5
Crocidura_zimmermanni_FOSSIL	extant	1.3	25.8	Karoumbes A
Crocidura_zimmermanni_FOSSIL	extant	0.117	25.8	Milatos 3
Crocidura_zimmermanni_FOSSIL	extant	1.3	25.8	Stavros macro
Crocidura_zimmermanni_FOSSIL	extant	0.117	25.8	unknown cave deposit between Canea and Souda
Crocidura_zimmermanni_FOSSIL	extant	1.3	25.8	Xeros
Leptobos_problematicus	extinct	1.43	25.8	Bumiayu area: unknown stratigraphic level
Anisodon_sivalense	extinct	9.62	25.8	Sangiran: unknown provenance
Stegoloxodon_indonesicus	extinct	9.62	25.8	Semedo
Hemimachairodus_zwierzyckii	extinct	9.62	25.8	Sangiran: unknown provenance
Homotherium_ultimum	extinct	9.62	25.8	Sangiran: unknown provenance
Panthera_tigris_FOSSIL	extant	1.9	25.8	Sangiran: unknown provenance
Panthera_tigris_FOSSIL	extant	0.117	25.8	Jeruk
Sinomastodon_bumiajuensis	extinct	9.62	25.8	Semedo
Stegodon_semedoensis	extinct	9.62	25.8	Semedo
Stegodon_sp_(pygmy)	extinct	16.1	25.8	Cirebon
Stegodon_sp_(pygmy)	extinct	18.06	25.8	Sambungmacan: Kalibeng Fm
Sus_sangiranensis	extinct	9.62	25.8	Sangiran: unknown provenance
Hypnomys_mahonensis	extinct	0.117	25.8	Ses Truqueries (B)
Myotragus_antiquus	extinct	18	25.8	Crulls Cap Farrutx
Hypnomys_waldreni	extinct	18	25.8	Crulls Cap Farrutx
Nesiotites_ponsi	extinct	18	25.8	Crulls Cap Farrutx
Myotragus_antiquus	extinct	18	25.8	Cova des Fum
Myotragus_antiquus	extinct	18	25.8	Cap Farrutx 2
Myotragus_antiquus	extinct	24	25.8	Cova de Canet
Hypnomys_waldreni	extinct	24	25.8	Cova de Canet
Anourosorex_japonicus	extinct	0.5	25.8	Tochikubo Quarry: Inasa City: Shizuoka Prefecture
Axis_japonicus	extinct	7.74	25.8	Kazusa machi: Minami shimabara City: Nagasaki Prefecture
Cervus_kazusensis	extinct	7.74	25.8	Kazusa machi: Minami shimabara City: Nagasaki Prefecture
Cervus_kyushuensis	extinct	7.74	25.8	Kazusa machi: Minami shimabara City: Nagasaki Prefecture
Elaphurus_bifurcatus	extinct	10	25.8	Hayashizaki: Akashi City: Hyogo Prefecture
Stegodon_aurorae	extinct	18	25.8	Yamabe City: Suzuka: Mie Prefecture
Stegodon_protoaurorae	extinct	24	25.8	Takedani: Ichinomiya City: Awaji: Hyogo Prefecture
Stegodon_aurorae	extinct	18	25.8	Kameda: Yamamoto City: Mitoyo: Kagawa Prefecture
Stegodon_aurorae	extinct	18	25.8	Iruhi: Saita City: Mitoyo: Kagawa Prefecture
Bos_primigenius	extinct	0.117	25.8	Nishiginza: Chuo ku: Tokyo Prefecture
Equus_sp_Hondo	extinct	0.117	25.8	Sasagawa: Tounosho City: Yadohama: Katori district: Chiba Prefecture
Anourosorex_japonicus	extinct	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Mogera_wogura	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Urotrichus_talpoides	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Crocidura_dsinezumi	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Sorex_shinto	extant	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
Anourosorex_japonicus	extinct	0.117	25.8	Tokuyama Soda Sekkai Quarry: Isa City: Yamaguchi Prefecture
