mids,counts
-0.025143386,0
-0.075430157,0
-0.125716928,0.899777283
-0.1760037,0.100222717
-0.226290471,0.000523385
-0.276577242,0.001447661
-0.326864014,0.001325167
-0.377150785,0.001347439
-0.427437556,0.002873051
-0.477724328,0.001492205
-0.528011099,0.000701559
-0.57829787,0.001247216
-0.628584641,0.000623608
-0.678871413,0.000701559
-0.729158184,0.000790646
-0.779444955,0.000746102
-0.829731727,0.000857461
-0.880018498,0.000846325
-0.930305269,0.001447661
-0.980592041,0.002249443
-1.030878812,0.003552339
-1.081165583,0.005055679
-1.131452355,0.008619154
-1.181739126,0.028262806
-1.232025897,0.071469933
-1.282312669,0.107427617
-1.33259944,0.108719376
-1.382886211,0.122884187
-1.433172983,0.088563474
-1.483459754,0.064153675
-1.533746525,0.065278396
-1.584033297,0.056358575
-1.634320068,0.038463252
-1.684606839,0.042895323
-1.73489361,0.0272049
-1.785180382,0.02214922
-1.835467153,0.031436526
-1.885753924,0.021291759
-1.936040696,0.018608018
-1.986327467,0.010868597
-2.036614238,0.009766147
-2.08690101,0.006469933
-2.137187781,0.006781737
-2.187474552,0.005155902
-2.237761324,0.006403118
-2.288048095,0.004342984
-2.338334866,0.001971047
-2.388621638,0.002249443
-2.438908409,0.003318486
-2.48919518,0.002138085
-2.539481952,0.003930958
-2.589768723,0.001859688
-2.640055494,0.001492205
-2.690342266,0.00201559
-2.740629037,0.001024499
-2.790915808,0.000979955
-2.841202579,0.00045657
-2.891489351,0.000567929
-2.941776122,0.000512249
-2.992062893,0.000356347
-3.042349665,0.00018931
-3.092636436,0.000256125
-3.142923207,0.000211581
-3.193209979,0.000167038
-3.24349675,0.000111359
-3.293783521,0.000155902
-3.344070293,0.000144766
-3.394357064,0.000167038
-3.444643835,0.000111359
-3.494930607,0.00018931
-3.545217378,0.000111359
-3.595504149,7.7951E-05
-3.645790921,8.90869E-05
-3.696077692,0.000167038
-3.746364463,7.7951E-05
-3.796651234,0.001481069
-3.846938006,8.90869E-05
-3.897224777,0.001458797
-3.947511548,0.000122494
-3.99779832,0.000100223
-4.048085091,7.7951E-05
-4.098371862,8.90869E-05
-4.148658634,4.45434E-05
-4.198945405,8.90869E-05
-4.249232176,0.000122494
-4.299518948,0.000111359
-4.349805719,6.68151E-05
-4.40009249,0.000122494
-4.450379262,0.000111359
-4.500666033,6.68151E-05
-4.550952804,7.7951E-05
-4.601239576,8.90869E-05
-4.651526347,4.45434E-05
-4.701813118,8.90869E-05
-4.75209989,0.000100223
-4.802386661,0.000100223
-4.852673432,7.7951E-05
-4.902960203,0.000100223
-4.953246975,8.90869E-05
-5.003533746,6.68151E-05
-5.053820517,8.90869E-05
-5.104107289,8.90869E-05
-5.15439406,1.11359E-05
-5.204680831,0.000122494
-5.254967603,0.000111359
-5.305254374,0.000100223
-5.355541145,0.00013363
-5.405827917,0.000144766
-5.456114688,0.00018931
-5.506401459,0.000423163
-5.556688231,0.000222717
-5.606975002,0.000400891
-5.657261773,0.000122494
-5.707548545,0.000100223
-5.757835316,0.000478842
-5.808122087,0.000155902
-5.858408859,0.000122494
-5.90869563,0.000100223
-5.958982401,0.00013363
-6.009269172,7.7951E-05
-6.059555944,0.000144766
-6.109842715,0.000111359
-6.160129486,0.000111359
-6.210416258,0.000222717
-6.260703029,0.001080178
-6.3109898,0.000211581
-6.361276572,0.000289532
-6.411563343,0.000155902
-6.461850114,0.000211581
-6.512136886,0.00013363
-6.562423657,0.000178174
-6.612710428,0.00013363
-6.6629972,0.000167038
-6.713283971,0.000222717
-6.763570742,0.000111359
-6.813857514,0.000200445
-6.864144285,0.000122494
-6.914431056,0.000100223
-6.964717828,0.00013363
-7.015004599,0.00018931
-7.06529137,0.000122494
-7.115578141,0.00013363
-7.165864913,0.00018931
-7.216151684,0.000155902
-7.266438455,0.00018931
-7.316725227,0.000167038
-7.367011998,0.000211581
-7.417298769,0.000233853
-7.467585541,0.000334076
-7.517872312,0.000233853
-7.568159083,0.000233853
-7.618445855,0.000200445
-7.668732626,0.000400891
-7.719019397,0.000334076
-7.769306169,0.000289532
-7.81959294,0.000378619
