mids,counts
-0.02502209,0
-0.075066271,0
-0.125110451,0
-0.175154631,0
-0.225198812,0
-0.275242992,0
-0.325287172,0
-0.375331353,0
-0.425375533,0
-0.475419714,0
-0.525463894,0
-0.575508074,0
-0.625552255,0
-0.675596435,0
-0.725640616,0
-0.775684796,0
-0.825728976,0
-0.875773157,0
-0.925817337,0
-0.975861517,0.002962138
-1.025905698,0.940534521
-1.075949878,0.056503341
-1.125994059,0
-1.176038239,0
-1.226082419,0
-1.2761266,0
-1.32617078,0
-1.376214961,0
-1.426259141,0
-1.476303321,0
-1.526347502,0
-1.576391682,0
-1.626435862,0
-1.676480043,0
-1.726524223,0
-1.776568404,0
-1.826612584,0
-1.876656764,0
-1.926700945,0
-1.976745125,0
-2.026789305,0.000378619
-2.076833486,0.012783964
-2.126877666,0.088151448
-2.176921847,0.000122494
-2.226966027,5.57E-05
-2.277010207,6.68E-05
-2.327054388,0.000356347
-2.377098568,3.34E-05
-2.427142749,8.91E-05
-2.477186929,7.80E-05
-2.527231109,4.45E-05
-2.57727529,6.68E-05
-2.62731947,8.91E-05
-2.67736365,0.000122494
-2.727407831,5.57E-05
-2.777452011,3.34E-05
-2.827496192,6.68E-05
-2.877540372,2.23E-05
-2.927584552,7.80E-05
-2.977628733,0.000122494
-3.027672913,6.68E-05
-3.077717093,4.45E-05
-3.127761274,0.000267261
-3.177805454,0.004521158
-3.227849635,0.001314031
-3.277893815,0.000111359
-3.327937995,0.001625835
-3.377982176,0.000122494
-3.428026356,0.000400891
-3.478070537,0.000289532
-3.528114717,0.009487751
-3.578158897,0.001080178
-3.628203078,0.000623608
-3.678247258,0.000400891
-3.728291438,0.080367483
-3.778335619,4.45E-05
-3.828379799,0.000155902
-3.87842398,0.001625835
-3.92846816,0.000679287
-3.97851234,0.00018931
-4.028556521,0.000122494
-4.078600701,0.000178174
-4.128644882,3.34E-05
-4.178689062,5.57E-05
-4.228733242,7.80E-05
-4.278777423,0.00018931
-4.328821603,0.001436526
-4.378865783,0.002383073
-4.428909964,0.004331849
-4.478954144,0.007394209
-4.528998325,0.006581292
-4.579042505,0.003964365
-4.629086685,0.010812918
-4.679130866,0.003140312
-4.729175046,0.005378619
-4.779219226,0.003853007
-4.829263407,0.001971047
-4.879307587,0.002594655
-4.929351768,0.000890869
-4.979395948,0.000979955
-5.029440128,0.000345212
-5.079484309,0.001024499
-5.129528489,0.000567929
-5.17957267,0.000467706
-5.22961685,0.00091314
-5.27966103,0.000155902
-5.329705211,0.000389755
-5.379749391,0.000233853
-5.429793571,0.000345212
-5.479837752,0.000233853
-5.529881932,0.000300668
-5.579926113,0.000222717
-5.629970293,0.001013363
-5.680014473,0.0005902
-5.730058654,0.000122494
-5.780102834,0.000311804
-5.830147014,0.000200445
-5.880191195,0.000200445
-5.930235375,0.000256125
-5.980279556,0.000623608
-6.030323736,0.000556793
-6.080367916,0.000278396
-6.130412097,0.000423163
-6.180456277,0.00032294
-6.230500458,0.000311804
-6.280544638,0.000244989
-6.330588818,0.000445434
-6.380632999,0.000122494
-6.430677179,0.000222717
-6.480721359,7.80E-05
-6.53076554,0.000244989
-6.58080972,0.00013363
-6.630853901,0.000178174
-6.680898081,8.91E-05
-6.730942261,0.00045657
-6.780986442,0.000423163
-6.831030622,0.000233853
-6.881074803,0.000512249
-6.931118983,0.000211581
-6.981163163,0.000155902
-7.031207344,0.000267261
-7.081251524,0.000311804
-7.131295704,0.000523385
-7.181339885,0.000434298
-7.231384065,0.00018931
-7.281428246,0.000501114
-7.331472426,0.001158129
-7.381516606,0.000311804
-7.431560787,0.001191537
-7.481604967,0.000690423
-7.531649147,0.002616927
-7.581693328,0.000935412
-7.631737508,0.002605791
-7.681781689,0.005690423
-7.731825869,0.008585746
-7.781870049,0.002171492
-7.83191423,0.000601336
-7.88195841,0.00403118
-7.932002591,0.001336303
-7.982046771,0.001113586
-8.032090951,0.001091314
-8.082135132,0.001258352
-8.132179312,0.001592428
-8.182223492,0.001280624
-8.232267673,0.002483296
-8.282311853,0.001636971
-8.332356034,0.003151448
-8.382400214,0.002895323
-8.432444394,0.003229399
-8.482488575,0.006726058
-8.532532755,0.002060134
-8.582576935,0.005423163
