mids,counts
-0.380970783,0
-1.142912348,1
-1.904853914,0.132071269
-2.66679548,0.056982183
-3.428737045,0.170267261
-4.190678611,0.047115813
-4.952620177,0.043919822
-5.714561742,0.020902004
-6.476503308,0.021469933
-7.238444874,0.006726058
-8.000386439,0.00545657
-8.762328005,0.027004454
-9.524269571,0.100690423
-10.28621114,0.303084633
-11.0481527,0.216937639
-11.81009427,0.120523385
-12.57203583,0.069732739
-13.3339774,0.105957684
-14.09591896,0.113975501
-14.85786053,0.027973274
-15.6198021,0.087182628
-16.38174366,0.050244989
-17.14368523,0.007394209
-17.90562679,0.005701559
-18.66756836,0.019877506
-19.42950992,0.016926503
-20.19145149,0.042182628
-20.95339306,0.062828508
-21.71533462,0.351815145
-22.47727619,0.055467706
-23.23921775,0.673296214
-24.00115932,0.021013363
-24.76310088,0.010890869
-25.52504245,0.18564588
-26.28698402,0.333062361
-27.04892558,0.161080178
-27.81086715,0.340111359
-28.57280871,0.01169265
-29.33475028,0.143663697
-30.09669184,0.299287305
-30.85863341,0.047216036
-31.62057497,0.002182628
-32.38251654,0.004376392
-33.14445811,0.136514477
-33.90639967,0.087071269
-34.66834124,0.130066815
-35.4302828,0.073741648
-36.19222437,0.02298441
-36.95416593,0.008530067
-37.7161075,0.004933185
-38.47804907,0.002594655
-39.23999063,0.104476615
-40.0019322,0.004587973
-40.76387376,0.003797327
-41.52581533,0.003407572
-42.28775689,0.007260579
-43.04969846,0.004365256
-43.81164003,0.003162584
-44.57358159,0.002728285
-45.33552316,0.003697105
-46.09746472,0.003129176
-46.85940629,0.006982183
-47.62134785,0.042939866
-48.38328942,0.016358575
-49.14523098,0.00623608
-49.90717255,0.004020045
-50.66911412,0.003975501
-51.43105568,0.004020045
-52.19299725,0.002728285
-52.95493881,0.002394209
-53.71688038,0.002115813
-54.47882194,0.002271715
-55.24076351,0.00266147
-56.00270508,0.002438753
-56.76464664,0.002628062
-57.52658821,0.003418708
-58.28852977,0.003697105
-59.05047134,0.005100223
-59.8124129,0.006581292
-60.57435447,0.00863029
-61.33629604,0.00967706
-62.0982376,0.012138085
-62.86017917,0.019699332
-63.62212073,0.020579065
-64.3840623,0.027138085
-65.14600386,0.017561247
-65.90794543,0.023596882
-66.66988699,0.136570156
-67.43182856,0.075579065
-68.19377013,0.18830735
-68.95571169,0.090523385
-69.71765326,0.154131403
-70.47959482,0.109587973
-71.24153639,0.218351893
-72.00347795,0.010478842
-72.76541952,0.049710468
-73.52736109,0.130423163
-74.28930265,0.090657016
-75.05124422,0.122193764
