mids,counts
-0.127961702,0
-0.383885106,0
-0.63980851,0
-0.895731914,0.780512249
-1.151655318,0.119265033
-1.407578722,0.046358575
-1.663502126,0.053864143
-1.91942553,0.042928731
-2.175348934,0.233173719
-2.431272338,0.087761693
-2.687195742,0.017394209
-2.943119146,0.00636971
-3.199042551,0.00636971
-3.454965955,0.011436526
-3.710889359,0.011915367
-3.966812763,0.010734967
-4.222736167,0.008218263
-4.478659571,0.012093541
-4.734582975,0.041124722
-4.990506379,0.010857461
-5.246429783,0.002806236
-5.502353187,0.00155902
-5.758276591,0.001492205
-6.014199995,0.002327394
-6.270123399,0.00435412
-6.526046803,0.008886414
-6.781970207,0.020478842
-7.037893611,0.002449889
-7.293817015,0.001057906
-7.549740419,0.003596882
-7.805663823,0.003028953
-8.061587227,0.003240535
-8.317510631,0.076536748
-8.573434035,0.028184855
-8.829357439,0.01266147
-9.085280843,0.003507795
-9.341204247,0.002951002
-9.597127652,0.002783964
-9.853051056,0.005489978
-10.10897446,0.003273942
-10.36489786,0.003452116
-10.62082127,0.004755011
-10.87674467,0.012672606
-11.13266808,0.081325167
-11.38859148,0.007494432
-11.64451488,0.007483296
-11.90043829,0.013028953
-12.15636169,0.109075724
-12.4122851,0.035712695
-12.6682085,0.023418708
-12.9241319,0.016770601
-13.18005531,0.018296214
-13.43597871,0.023786192
-13.69190212,0.019253898
-13.94782552,0.013797327
-14.20374892,0.014342984
-14.45967233,0.01169265
-14.71559573,0.014376392
-14.97151914,0.037839644
-15.22744254,0.025478842
-15.48336594,0.018151448
-15.73928935,0.012561247
-15.99521275,0.008040089
-16.25113616,0.006069042
-16.50705956,0.004632517
-16.76298296,0.003474388
-17.01890637,0.00325167
-17.27482977,0.006414254
-17.53075318,0.008418708
-17.78667658,0.005434298
-18.04259998,0.005400891
-18.29852339,0.004576837
-18.55444679,0.004465479
-18.8103702,0.004443207
-19.0662936,0.003062361
-19.32221701,0.002750557
-19.57814041,0.002405345
-19.83406381,0.001859688
-20.08998722,0.002071269
-20.34591062,0.001848552
-20.60183403,0.0022049
-20.85775743,0.001536748
-21.11368083,0.001781737
-21.36960424,0.00123608
-21.62552764,0.000924276
-21.88145105,0.000946548
-22.13737445,0.000957684
-22.39329785,0.000902004
-22.64922126,0.00091314
-22.90514466,0.001046771
-23.16106807,0.001113586
-23.41699147,0.00091314
-23.67291487,0.000790646
-23.92883828,0.000723831
-24.18476168,0.000946548
-24.44068509,0.00110245
-24.69660849,0.001347439
-24.95253189,0.001703786
-25.2084553,0.001659243
