time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.025053818,1.851609613,1.160295307,2.355648372
-0.075161453,1.851609613,1.160295307,2.355648372
-0.125269089,1.851609613,1.160295307,2.355648372
-0.175376725,0.119909564,0.039620718,1.414362394
-0.22548436,0.107315804,0.046700688,0.163316821
-0.275591996,0.107337531,0.046765595,0.163250403
-0.325699632,0.107377857,0.046799094,0.163173079
-0.375807267,0.107473491,0.047064463,0.163315223
-0.425914903,0.107607992,0.047051864,0.163170407
-0.476022539,0.10774951,0.047237969,0.163316821
-0.526130174,0.107760951,0.047270008,0.163321131
-0.57623781,0.107736564,0.047646787,0.163596418
-0.626345446,0.107550065,0.047762966,0.163623571
-0.676453081,0.107339372,0.046763085,0.162632209
-0.726560717,0.106833273,0.045389298,0.161875593
-0.776668353,0.106395667,0.045501944,0.163168693
-0.826775988,0.105799432,0.042429372,0.162544783
-0.876883624,0.105386603,0.040469175,0.162161399
-0.92699126,0.104636341,0.034515604,0.15849125
-0.977098895,0.104012579,0.032011274,0.157180639
-1.027206531,0.103194236,0.026897978,0.153329698
-1.077314167,0.102301534,0.025523273,0.152513431
-1.127421802,0.101207567,0.023747494,0.150994753
-1.177529438,0.099821443,0.022244072,0.149646112
-1.227637074,0.096316829,0.019287298,0.145625472
-1.277744709,0.091036095,0.018813498,0.143567171
-1.327852345,0.080092129,0.017370554,0.137015933
-1.377959981,0.06379076,0.016341096,0.130311986
-1.428067616,0.043374602,0.015920007,0.122994048
-1.478175252,0.034124207,0.015730949,0.116602192
-1.528282888,0.030751678,0.015730949,0.110953749
-1.578390523,0.028735422,0.014813973,0.103112637
-1.628498159,0.027587897,0.014879453,0.0953456
-1.678605795,0.027011289,0.01491735,0.089738044
-1.72871343,0.026680449,0.01463065,0.08505488
-1.778821066,0.026460453,0.014785048,0.081452511
-1.828928702,0.026303469,0.014809842,0.078651877
-1.879036337,0.026225606,0.01463065,0.076980348
-1.929143973,0.02619329,0.01479142,0.076417582
-1.979251609,0.026151914,0.014670187,0.075888377
-2.029359244,0.026121015,0.014813973,0.075349743
-2.07946688,0.026097724,0.015101552,0.075397782
-2.129574516,0.026085559,0.015022178,0.075371704
-2.179682151,0.026080795,0.014687901,0.075386529
-2.229789787,0.026076231,0.014794329,0.075885523
-2.279897422,0.026075639,0.014334779,0.07843233
-2.330005058,0.026075639,4.14E-05,0.314539893
-2.380112694,0.026073429,0.000239734,0.525043893
-2.430220329,0.025861518,0.000143941,0.458549404
-2.480327965,0.025005402,0.007345664,0.060285682
-2.530435601,0.024829869,0.011064659,0.05602682
-2.580543236,0.024756717,0.011504757,0.053697389
-2.630650872,0.024702905,0.012108128,0.052786305
-2.680758508,0.024617091,0.012504338,0.05095145
-2.730866143,0.024581525,0.012543369,0.050178319
-2.780973779,0.024549089,0.012371465,0.049358337
-2.831081415,0.02452644,0.012629738,0.049080163
