time_ext,rate_ext,minHPD_ext,maxHPD_ext
-0.025076955,1.569422583,1.074714599,2.366114347
-0.075230866,1.569422583,1.074714599,2.366114347
-0.125384776,1.405188738,0.082161581,2.273401385
-0.175538687,0.977957143,0.055702466,1.475752548
-0.225692597,0.094011281,0.060854774,0.13730108
-0.275846508,0.094023725,0.061341096,0.137748488
-0.326000418,0.094033992,0.061054677,0.137345713
-0.376154329,0.094046045,0.061131064,0.13724171
-0.426308239,0.094061473,0.061324522,0.13730108
-0.47646215,0.094151238,0.06132209,0.137261219
-0.52661606,0.094140652,0.061425952,0.137261219
-0.576769971,0.094028725,0.061954217,0.137233552
-0.626923881,0.094010257,0.061593913,0.136798008
-0.677077792,0.094003095,0.061725467,0.136853396
-0.727231702,0.093990771,0.061341096,0.136375497
-0.777385613,0.093981584,0.061714521,0.136724334
-0.827539523,0.093966238,0.061714521,0.136724334
-0.877693434,0.093906012,0.06133655,0.136482375
-0.927847344,0.093859163,0.06105679,0.136412988
-0.978001255,0.093818423,0.061714521,0.137319577
-1.028155165,0.093774438,0.061341096,0.137300094
-1.078309076,0.093634307,0.060732136,0.137719793
-1.128462986,0.093556103,0.059721503,0.137814275
-1.178616897,0.093198769,0.059652448,0.141118137
-1.228770807,0.09226443,0.052114192,0.15337586
-1.278924718,0.090102049,0.019872292,0.127287044
-1.329078628,0.087170226,0.01869419,0.1234038
-1.379232539,0.083586271,0.017822709,0.119300119
-1.429386449,0.079322876,0.016903942,0.114534175
-1.47954036,0.075698368,0.016997468,0.111727587
-1.52969427,0.072156478,0.01655278,0.109692315
-1.579848181,0.066927338,0.016023081,0.107598711
-1.630002091,0.044663407,0.015720483,0.105744937
-1.680156002,0.029173323,0.015288286,0.103753198
-1.730309912,0.027477224,0.014882194,0.102029282
-1.780463823,0.026721479,0.014588681,0.100926508
-1.830617733,0.025966173,0.014322016,0.099778801
-1.880771644,0.025546382,0.014291436,0.099147157
-1.930925554,0.025067673,0.014063325,0.09816512
-1.981079465,0.024632467,0.013108434,0.096203692
-2.031233375,0.024314676,0.013093998,0.095289425
-2.081387286,0.023921084,0.013065088,0.093903
-2.131541196,0.023666272,0.013043746,0.093075782
-2.181695107,0.023345712,0.012698548,0.091291888
-2.231849018,0.023018958,0.012637789,0.089289437
