taxon,birth,death,ccp,source
‘  TAXONOMY ROOT  ’,0.2746762636487404,0.19071911798925495,0.9999826236921613,computed
Mammalia,0.2746762636487404,0.19071911798925495,0.9999826236921613,computed
Afrosoricida,0.09166015036388973,0.057242354098574734,0.9981203007518797,computed
Chrysochloridae,0.17708056155281127,0.12180205822237009,1.0,computed
Amblysomus,0.17708056155281127,0.12180205822237009,0.0,from Chrysochloridae (not monophyletic)
Calcochloris,0.17708056155281127,0.12180205822237009,1.0,from Chrysochloridae (cherry)
Carpitalpa,0.17708056155281127,0.12180205822237009,0,from Chrysochloridae (singleton)
Chlorotalpa,0.17708056155281127,0.12180205822237009,1.0,from Chrysochloridae (cherry)
Chrysochloris,0.17708056155281127,0.12180205822237009,0.0,from Chrysochloridae (not monophyletic)
Chrysospalax,0.17708056155281127,0.12180205822237009,1.0,from Chrysochloridae (cherry)
Cryptochloris,0.17708056155281127,0.12180205822237009,1.0,from Chrysochloridae (cherry)
Eremitalpa,0.17708056155281127,0.12180205822237009,0,from Chrysochloridae (singleton)
Huetia,0.17708056155281127,0.12180205822237009,0,from Chrysochloridae (singleton)
Neamblysomus,0.17708056155281127,0.12180205822237009,1.0,from Chrysochloridae (cherry)
Incertae sedis in Afrosoricida,0.09166015036388973,0.057242354098574734,0.0,from Afrosoricida (unsampled)
Plesiorycteropus,0.09166015036388973,0.057242354098574734,0.0,from Incertae sedis in Afrosoricida (unsampled)
Tenrecidae,0.05003610500122138,0.0,0.9983193277310924,computed
Echinops,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Geogale,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Hemicentetes,0.05003610500122138,0.0,1.0,from Tenrecidae (cherry)
Limnogale,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Microgale,0.05003610500122138,0.0,0.0,from Tenrecidae (not monophyletic)
Micropotamogale,0.05003610500122138,0.0,1.0,from Tenrecidae (cherry)
Oryzorictes,0.05003610500122138,0.0,1.0,from Tenrecidae (cherry)
Potamogale,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Setifer,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Tenrec,0.05003610500122138,0.0,0,from Tenrecidae (singleton)
Carnivora,0.28433291588045567,0.13931690566976718,0.9994615695248351,computed
Ailuridae,0.28433291588045567,0.13931690566976718,0,from Carnivora (singleton)
Ailurus,0.28433291588045567,0.13931690566976718,0,from Ailuridae (singleton)
Canidae,0.30598233513045936,0.0,0.9928443649373881,computed
Atelocynus,0.30598233513045936,0.0,0,from Canidae (singleton)
Canis,0.30598233513045936,0.0,0.0,from Canidae (not monophyletic)
Cerdocyon,0.30598233513045936,0.0,0,from Canidae (singleton)
Chrysocyon,0.30598233513045936,0.0,0,from Canidae (singleton)
Cuon,0.30598233513045936,0.0,0.0,from Canidae (crown capture probability)
Cynotherium,0.30598233513045936,0.0,0.0,from Canidae (unsampled)
Dusicyon,0.30598233513045936,0.0,1.0,from Canidae (cherry)
Lycaon,0.30598233513045936,0.0,0,from Canidae (singleton)
Nyctereutes,0.30598233513045936,0.0,0,from Canidae (singleton)
Otocyon,0.30598233513045936,0.0,0,from Canidae (singleton)
Pseudalopex,0.30598233513045936,0.0,0.0,from Canidae (not monophyletic)
Speothos,0.30598233513045936,0.0,0,from Canidae (singleton)
Urocyon,0.30598233513045936,0.0,1.0,from Canidae (cherry)
Vulpes,0.30598233513045936,0.0,0.0,from Canidae (not monophyletic)
Xenocyon,0.30598233513045936,0.0,0.0,from Canidae (unsampled)
Eupleridae,0.3633579514907811,0.3146716870440959,0.9669421487603306,computed
Cryptoprocta,0.3633579514907811,0.3146716870440959,0.6666666666666667,from Eupleridae (crown capture probability)
Eupleres,0.3633579514907811,0.3146716870440959,0.0,from Eupleridae (cherry)
Fossa,0.3633579514907811,0.3146716870440959,0,from Eupleridae (singleton)
Galidia,0.3633579514907811,0.3146716870440959,0,from Eupleridae (singleton)
Galidictis,0.3633579514907811,0.3146716870440959,1.0,from Eupleridae (cherry)
Mungotictis,0.3633579514907811,0.3146716870440959,0,from Eupleridae (singleton)
Salanoia,0.3633579514907811,0.3146716870440959,1.0,from Eupleridae (cherry)
Felidae,0.34243441311292405,0.0,0.9966777408637874,computed
Acinonyx,0.34243441311292405,0.0,0,from Felidae (singleton)
Caracal,0.34243441311292405,0.0,1.0,from Felidae (cherry)
Catopuma,0.34243441311292405,0.0,0.0,from Felidae (not monophyletic)
Felis,0.559866135413261,0.0,1.0,computed
Hemimachairodus,0.34243441311292405,0.0,0.0,from Felidae (unsampled)
Herpailurus,0.34243441311292405,0.0,0,from Felidae (singleton)
Homotherium,0.34243441311292405,0.0,0,from Felidae (singleton)
Leopardus,1.305489121626795,1.2994205990304,1.0,computed
Leptailurus,0.34243441311292405,0.0,0,from Felidae (singleton)
Lynx,0.28701233120494585,0.15942246042939076,1.0,computed
Miracinonyx,0.34243441311292405,0.0,0,from Felidae (singleton)
