series,order,family,genus,genus.species
Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus_preussi_insularis
Mammalia,Rodentia,Muridae,Uromys,Uromys_vika
Mammalia,Primates,Cercopithecidae,Colobus,Colobus_satanas_satanas
Mammalia,Primates,Galagidae,Euoticus,Euoticus_pallidus_pallidus
Mammalia,Carnivora,Eupleridae,Eupleres,Eupleres_major
Mammalia,Primates,Cercopithecidae,Mandrillus,Mandrillus_leucophaeus_poensis
Mammalia,Carnivora,Felidae,Neofelis,Neofelis_diardi_borneensis
Mammalia,Primates,Cercopithecidae,Presbytis,Presbytis_siberu
Mammalia,Primates,Galagidae,Sciurocheirus,Sciurocheirus_alleni_alleni
Mammalia,Rodentia,Muridae,Apomys,Apomys_hylocoetes
Mammalia,Carnivora,Mustelidae,Arctonyx,Arctonyx_hoevenii
Mammalia,Rodentia,Cricetidae,Microtus,Microtus_nebrodensis
Mammalia,Eulipotyphla,Soricidae,Crocidura,Crocidura_umbra
Mammalia,Primates,Cercopithecidae,Macaca,Macaca_fascicularis_philippensis
Mammalia,Primates,Atelidae,Alouatta,Alouatta_palliata_coibensis
Mammalia,Primates,Cebidae,Cebus,Cebus_capucinus_curtus
Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus_pogonias_pogonias
Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis_nyctor
Mammalia,Primates,Galagidae,Otolemur,Otolemur_garnettii_garnettii
Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon_jubatus_lucifer
Mammalia,Pilosa,Megalocnidae,Acratocnus,Acratocnus_antillensis
Mammalia,Pilosa,Megalocnidae,Acratocnus,Acratocnus_simorhynchus
Mammalia,Pilosa,Megalocnidae,Acratocnus,Acratocnus_odontrigonus
Mammalia,Pilosa,Megalocnidae,Acratocnus,Acratocnus_ye
Mammalia,Rodentia,Cricetidae,Agathaeromys,Agathaeromys_donovani
Mammalia,Rodentia,Cricetidae,Agathaeromys,Agathaeromys_praeuniversitatis
